,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5610225.0,2189605.0,-1308407.0
Repayment Of Debt,-32708709.0,-60644502.0,-3603071.0
Issuance Of Debt,23252573.0,58262555.0,45503413.0
Issuance Of Capital Stock,4925403.0,1198800.0,0.0
Interest Paid Supplemental Data,262661.0,842228.0,415676.0
Income Tax Paid Supplemental Data,74533.0,46196.0,296.0
End Cash Position,432998.0,58381.0,500977.0
Beginning Cash Position,58381.0,500977.0,8434.0
Changes In Cash,374617.0,-442596.0,492543.0
Financing Cash Flow,-4563108.0,-2632201.0,13576580.0
Cash Flow From Continuing Financing Activities,-4563108.0,-2632201.0,35287790.0
Net Other Financing Charges,-32375.0,-1449054.0,-28323762.0
Net Common Stock Issuance,4925403.0,1198800.0,0.0
Common Stock Issuance,4925403.0,1198800.0,0.0
Net Issuance Payments Of Debt,-9456136.0,-2381947.0,41900342.0
Net Short Term Debt Issuance,-9428076.0,-2800158.0,35351486.0
Short Term Debt Payments,-32245555.0,-60399249.0,-2536262.0
Short Term Debt Issuance,22817479.0,57599091.0,37887748.0
Net Long Term Debt Issuance,-28060.0,418211.0,6548856.0
Long Term Debt Payments,-463154.0,-245253.0,-1066809.0
Long Term Debt Issuance,435094.0,663464.0,7615665.0
Investing Cash Flow,-672500.0,0.0,
Cash Flow From Continuing Investing Activities,-672500.0,0.0,
Net Other Investing Changes,-672500.0,,
Operating Cash Flow,5610225.0,2189605.0,-1308407.0
Cash Flow From Continuing Operating Activities,5610225.0,2189605.0,-1437307.0
Change In Working Capital,5297381.0,1137873.0,-2513971.0
Change In Other Working Capital,,-1805073.0,-770822.0
Change In Other Current Liabilities,-149458.0,-163550.0,-101961.0
Change In Payables And Accrued Expense,-272266.0,-30566.0,442373.0
Change In Payable,-272266.0,-30566.0,442373.0
Change In Prepaid Assets,186674.0,-478828.0,-2000.0
Change In Inventory,4450665.0,10452396.0,-1294083.0
Change In Receivables,1081766.0,-6836506.0,-787478.0
Changes In Account Receivables,591956.0,-7066535.0,86563.0
Other Non Cash Items,,,128900.0
Provisionand Write Offof Assets,0.0,-92811.0,-34067.0
Asset Impairment Charge,,-92811.0,-34067.0
Deferred Tax,38829.0,158060.0,180528.0
Deferred Income Tax,38829.0,158060.0,180528.0
Depreciation Amortization Depletion,140145.0,169503.0,87794.0
Depreciation And Amortization,140145.0,169503.0,87794.0
Depreciation,140145.0,169503.0,87794.0
Operating Gains Losses,,,-327796.0
Net Income From Continuing Operations,133870.0,816980.0,1170205.0
