,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,21560082.0,20122325.0,-277623836.0,-37815982.0
Repurchase Of Capital Stock,0.0,0.0,-14400000.0,0.0
Repayment Of Debt,-53864500.0,-24493000.0,-10178500.0,-2050000.0
Issuance Of Debt,0.0,77500000.0,79190000.0,0.0
Issuance Of Capital Stock,50881827.0,0.0,265307807.0,48553325.0
Capital Expenditure,-623283.0,-75553224.0,-237352647.0,-35472173.0
Interest Paid Supplemental Data,10153448.0,5669627.0,1922726.0,654555.0
End Cash Position,120901147.0,152307420.0,43386468.0,9426903.0
Beginning Cash Position,152307420.0,43386468.0,9426903.0,5058939.0
Changes In Cash,-31406273.0,108920952.0,33959565.0,4367964.0
Cash Flow From Discontinued Operation,-42479594.0,36816183.0,5663410.0,
Financing Cash Flow,-2141740.0,51954994.0,305919991.0,42183946.0
Cash Flow From Continuing Financing Activities,-2141740.0,51954994.0,305919991.0,42183946.0
Net Other Financing Charges,2261726.0,-1052006.0,-13999316.0,-4319379.0
Proceeds From Stock Option Exercised,-941626.0,0.0,0.0,
Cash Dividends Paid,-479167.0,0.0,0.0,
Preferred Stock Dividend Paid,-479167.0,0.0,0.0,
Net Preferred Stock Issuance,50000000.0,0.0,-14400000.0,0.0
Preferred Stock Payments,0.0,0.0,-14400000.0,0.0
Preferred Stock Issuance,50000000.0,0.0,0.0,
Net Common Stock Issuance,881827.0,0.0,265307807.0,48553325.0
Common Stock Issuance,881827.0,0.0,265307807.0,48553325.0
Net Issuance Payments Of Debt,-53864500.0,53007000.0,69011500.0,-2050000.0
Net Long Term Debt Issuance,-53864500.0,53007000.0,69011500.0,-2050000.0
Long Term Debt Payments,-53864500.0,-24493000.0,-10178500.0,-2050000.0
Long Term Debt Issuance,0.0,77500000.0,79190000.0,0.0
Investing Cash Flow,-8968304.0,-75525774.0,-237352647.0,-35472173.0
Cash Flow From Continuing Investing Activities,-8968304.0,-75525774.0,-237352647.0,-35472173.0
Net Investment Purchase And Sale,-71952451.0,27450.0,0.0,0.0
Sale Of Investment,258999.0,88200.0,0.0,0.0
Purchase Of Investment,-72211450.0,-60750.0,0.0,0.0
Net PPE Purchase And Sale,62984147.0,-75553224.0,-237352647.0,-35472173.0
Sale Of PPE,63607430.0,0.0,0.0,0.0
Purchase Of PPE,-623283.0,-75553224.0,-237352647.0,-35472173.0
Operating Cash Flow,22183365.0,95675549.0,-40271189.0,-2343809.0
Cash Flow From Continuing Operating Activities,22183365.0,95675549.0,-40271189.0,-2343809.0
Change In Working Capital,-10411606.0,12667457.0,-99297919.0,-2094734.0
Change In Other Working Capital,-5501905.0,6892459.0,-97880547.0,-725207.0
Change In Payables And Accrued Expense,-5154623.0,4752458.0,4042871.0,1210421.0
Change In Accrued Expense,-1894102.0,1407618.0,1020416.0,625894.0
Change In Payable,-3260521.0,3344840.0,3022455.0,584527.0
Change In Account Payable,-3260521.0,3344840.0,3022455.0,584527.0
Change In Prepaid Assets,-86333.0,247377.0,-2053565.0,-885828.0
Change In Inventory,539742.0,-640665.0,-584206.0,-571284.0
Change In Receivables,-208487.0,1415828.0,-2822472.0,-1122836.0
Changes In Account Receivables,-208487.0,1415828.0,-2822472.0,-1122836.0
Other Non Cash Items,735491.0,-2040620.0,-4316247.0,-437608.0
Unrealized Gain Loss On Investment Securities,-5134013.0,0.0,0.0,
Provisionand Write Offof Assets,0.0,0.0,2483.0,37103.0
Depreciation Amortization Depletion,22076831.0,18535237.0,10528711.0,1904963.0
Depreciation And Amortization,22076831.0,18535237.0,10528711.0,1904963.0
Operating Gains Losses,-6386494.0,-27450.0,,
Gain Loss On Investment Securities,-2636.0,-27450.0,,
Gain Loss On Sale Of PPE,-6383858.0,0.0,0.0,0.0
Net Income From Continuing Operations,21303156.0,66540925.0,52811783.0,-1753533.0
