,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,1640201.0,7839466.0,-7450215.0,17749427.0,
Net Interest Income,,,,123.0,4678.0
Interest Income,,,,123.0,4678.0
Normalized Income,1640201.0,7839466.0,-7450215.0,17749427.0,
Net Income From Continuing And Discontinued Operation,1640201.0,7839466.0,-7450215.0,17749427.0,
Diluted Average Shares,,6937581.0,6157202.0,6099459.0,6129713.0
Basic Average Shares,,6937581.0,6157202.0,6099459.0,6129713.0
Diluted EPS,,1.13,-1.21,2.91,-1.82
Basic EPS,,1.13,-1.21,2.91,-1.82
Diluted NI Availto Com Stockholders,1640201.0,7839466.0,-7450215.0,17749427.0,
Net Income Common Stockholders,1640201.0,7839466.0,-7450215.0,17749427.0,
Net Income,1640201.0,7839466.0,-7450215.0,17749427.0,
Net Income Including Noncontrolling Interests,1640201.0,7839466.0,-7450215.0,17749427.0,
Net Income Continuous Operations,1640201.0,7839466.0,-7450215.0,17749427.0,
Pretax Income,1640201.0,7839466.0,-7450215.0,17749427.0,
Gain On Sale Of Security,1820929.0,725551.0,2250124.0,1030179.0,
Operating Expense,727451.0,612992.0,751134.0,628608.0,
Other Operating Expenses,5016.0,9253.0,-8429.0,-5198.0,
Selling General And Administration,722435.0,603739.0,759563.0,633806.0,
General And Administrative Expense,722435.0,603739.0,759563.0,633806.0,
Total Revenue,2367652.0,8452458.0,-6699081.0,18378035.0,
Operating Revenue,2367652.0,8452458.0,-6699081.0,18378035.0,
