,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,83387000.0,-134172000.0,238213000.0,123231000.0
Repurchase Of Capital Stock,-39806000.0,-33162000.0,-110159000.0,0.0
Repayment Of Debt,-1865000000.0,-100000000.0,-4415016000.0,0.0
Issuance Of Debt,2565000000.0,500000000.0,98799000.0,4415016000.0
Issuance Of Capital Stock,3112000.0,533000.0,27762000.0,923000.0
Capital Expenditure,-41342000.0,-113347000.0,-32951000.0,-28792000.0
Interest Paid Supplemental Data,649544000.0,226993000.0,107916000.0,131363000.0
Income Tax Paid Supplemental Data,44972000.0,80054000.0,94093000.0,3253000.0
End Cash Position,3846346000.0,455806000.0,518032000.0,693354000.0
Beginning Cash Position,455806000.0,518032000.0,693354000.0,212505000.0
Changes In Cash,3390540000.0,-62226000.0,-175322000.0,480849000.0
Financing Cash Flow,108088000.0,1257011000.0,754775000.0,6753793000.0
Cash From Discontinued Financing Activities,,0.0,0.0,-19000000.0
Cash Flow From Continuing Financing Activities,108088000.0,1257011000.0,754775000.0,6772793000.0
Net Other Financing Charges,-2433000.0,-5063000.0,21227000.0,-2063000.0
Proceeds From Stock Option Exercised,,,,0.0
Cash Dividends Paid,-14636000.0,-9326000.0,-10833000.0,-14076000.0
Preferred Stock Dividend Paid,-14636000.0,-9326000.0,-10833000.0,-14076000.0
Net Preferred Stock Issuance,0.0,0.0,-82497000.0,0.0
Preferred Stock Payments,0.0,0.0,-82497000.0,0.0
Net Common Stock Issuance,-36694000.0,-32629000.0,100000.0,923000.0
Common Stock Payments,-39806000.0,-33162000.0,-27662000.0,0.0
Common Stock Issuance,3112000.0,533000.0,27762000.0,923000.0
Net Issuance Payments Of Debt,400000000.0,0.0,-4466217000.0,4415016000.0
Net Short Term Debt Issuance,-300000000.0,-400000000.0,-150000000.0,0.0
Net Long Term Debt Issuance,700000000.0,400000000.0,-4316217000.0,4415016000.0
Long Term Debt Payments,-1865000000.0,-100000000.0,-4415016000.0,0.0
Long Term Debt Issuance,2565000000.0,500000000.0,98799000.0,4415016000.0
Investing Cash Flow,3157723000.0,-1298412000.0,-1201261000.0,-6424967000.0
Cash From Discontinued Investing Activities,,0.0,0.0,-72000.0
Cash Flow From Continuing Investing Activities,3157723000.0,-1298412000.0,-1201261000.0,-6424895000.0
Net Other Investing Changes,21528000.0,8633000.0,-37679000.0,12943000.0
Net Investment Purchase And Sale,798653000.0,149788000.0,-2619475000.0,-578002000.0
Sale Of Investment,873152000.0,1507142000.0,1006902000.0,623911000.0
Purchase Of Investment,-74499000.0,-1357354000.0,-3626377000.0,-1201913000.0
Net Investment Properties Purchase And Sale,33000.0,0.0,45000.0,97000.0
Sale Of Investment Properties,33000.0,0.0,45000.0,97000.0
Net Business Purchase And Sale,0.0,0.0,3765000.0,0.0
Sale Of Business,0.0,0.0,3765000.0,0.0
Net Intangibles Purchase And Sale,,,,0.0
Purchase Of Intangibles,,,,0.0
Net PPE Purchase And Sale,-38728000.0,-105862000.0,-22859000.0,-28792000.0
Sale Of PPE,2614000.0,7485000.0,10092000.0,0.0
Purchase Of PPE,-41342000.0,-113347000.0,-32951000.0,-28792000.0
Operating Cash Flow,124729000.0,-20825000.0,271164000.0,152023000.0
Cash From Discontinued Operating Activities,0.0,0.0,-24376000.0,18605000.0
Cash Flow From Continuing Operating Activities,124729000.0,-20825000.0,295540000.0,133418000.0
Change In Working Capital,42264000.0,-24585000.0,149640000.0,-57711000.0
Change In Payables And Accrued Expense,18680000.0,-20994000.0,102985000.0,50436000.0
Change In Payable,18680000.0,-20994000.0,102985000.0,50436000.0
Change In Account Payable,18680000.0,-20994000.0,102985000.0,50436000.0
Change In Receivables,23584000.0,-3591000.0,46655000.0,-108147000.0
Changes In Account Receivables,23584000.0,-3591000.0,46655000.0,-108147000.0
Other Non Cash Items,-213241000.0,-322599000.0,-45398000.0,-6273000.0
Stock Based Compensation,12585000.0,14150000.0,13860000.0,12883000.0
Unrealized Gain Loss On Investment Securities,-62000.0,710000.0,-2720000.0,-1447000.0
Asset Impairment Charge,124000.0,1362000.0,0.0,0.0
Deferred Tax,22177000.0,6907000.0,17754000.0,-15852000.0
Deferred Income Tax,22177000.0,6907000.0,17754000.0,-15852000.0
Depreciation Amortization Depletion,31813000.0,27157000.0,21667000.0,18514000.0
Depreciation And Amortization,31813000.0,27157000.0,21667000.0,18514000.0
Operating Gains Losses,6478000.0,40006000.0,-20148000.0,-19685000.0
Gain Loss On Investment Securities,574000.0,23164000.0,-31392000.0,-20078000.0
Gain Loss On Sale Of Business,0.0,0.0,2840000.0,0.0
Net Income From Continuing Operations,250143000.0,228034000.0,354268000.0,143039000.0
