,2023-01-31,2022-01-31,2021-01-31
Free Cash Flow,29942000.0,103668000.0,140251000.0
Repurchase Of Capital Stock,-31700000.0,-23352000.0,0.0
Repayment Of Debt,-846130000.0,-218475000.0,-96625000.0
Issuance Of Debt,832635000.0,346209000.0,50700000.0
Capital Expenditure,-23369000.0,-17552000.0,-11570000.0
Interest Paid Supplemental Data,29564000.0,24120000.0,21258000.0
Income Tax Paid Supplemental Data,15601000.0,58134000.0,3921000.0
End Cash Position,13935000.0,29287000.0,123215000.0
Beginning Cash Position,29287000.0,123215000.0,28999000.0
Effect Of Exchange Rate Changes,-177000.0,213000.0,-110000.0
Changes In Cash,-15175000.0,-94141000.0,94326000.0
Financing Cash Flow,-45117000.0,-197809000.0,-45925000.0
Cash Flow From Continuing Financing Activities,-45117000.0,-197809000.0,-45925000.0
Net Other Financing Charges,-668000.0,-2760000.0,
Proceeds From Stock Option Exercised,746000.0,569000.0,0.0
Cash Dividends Paid,0.0,-300000000.0,0.0
Net Common Stock Issuance,-31700000.0,-23352000.0,0.0
Common Stock Payments,-31700000.0,-23352000.0,0.0
Net Issuance Payments Of Debt,-13495000.0,127734000.0,-45925000.0
Net Short Term Debt Issuance,8380000.0,0.0,0.0
Short Term Debt Payments,-824255000.0,-5700000.0,-50700000.0
Short Term Debt Issuance,832635000.0,5700000.0,50700000.0
Net Long Term Debt Issuance,-21875000.0,127734000.0,-45925000.0
Long Term Debt Payments,-21875000.0,-212775000.0,-45925000.0
Long Term Debt Issuance,0.0,340509000.0,0.0
Investing Cash Flow,-23369000.0,-17552000.0,-11570000.0
Cash Flow From Continuing Investing Activities,-23369000.0,-17552000.0,-11570000.0
Net PPE Purchase And Sale,-23369000.0,-17552000.0,-11570000.0
Purchase Of PPE,-23369000.0,-17552000.0,-11570000.0
Operating Cash Flow,53311000.0,121220000.0,151821000.0
Cash Flow From Continuing Operating Activities,53311000.0,121220000.0,151821000.0
Change In Working Capital,-89260000.0,-93722000.0,42055000.0
Change In Other Working Capital,-2627000.0,342000.0,1316000.0
Change In Other Current Liabilities,-39012000.0,-48375000.0,-33351000.0
Change In Payables And Accrued Expense,-32781000.0,30955000.0,64365000.0
Change In Accrued Expense,-29659000.0,28090000.0,19748000.0
Change In Payable,-3122000.0,2865000.0,44617000.0
Change In Account Payable,-1241000.0,5639000.0,37849000.0
Change In Tax Payable,0.0,-9336000.0,7394000.0
Change In Income Tax Payable,0.0,-9336000.0,7394000.0
Change In Prepaid Assets,-2812000.0,-10935000.0,1845000.0
Change In Inventory,-12028000.0,-65709000.0,7880000.0
Other Non Cash Items,-1209000.0,-457000.0,-1226000.0
Stock Based Compensation,9980000.0,159754000.0,7791000.0
Asset Impairment Charge,2297000.0,5927000.0,6099000.0
Deferred Tax,1863000.0,1266000.0,-2325000.0
Deferred Income Tax,1863000.0,1266000.0,-2325000.0
Depreciation Amortization Depletion,79431000.0,78396000.0,74895000.0
Depreciation And Amortization,79431000.0,78396000.0,74895000.0
Amortization Cash Flow,,,40316000.0
Amortization Of Intangibles,,,40316000.0
Depreciation,79431000.0,78396000.0,74895000.0
Net Income From Continuing Operations,50209000.0,-29944000.0,24532000.0
