,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,147502000.0,88843000.0,22925000.0,389478000.0,
Repurchase Of Capital Stock,-1111000.0,0.0,0.0,,
Repayment Of Debt,-1700153000.0,-262673000.0,-769001000.0,-1218869000.0,
Issuance Of Debt,2344692000.0,382900000.0,870818000.0,1205500000.0,
Issuance Of Capital Stock,468004000.0,443000.0,103634000.0,0.0,
Capital Expenditure,-252731000.0,-279519000.0,-342241000.0,,
Interest Paid Supplemental Data,107676000.0,100553000.0,70087000.0,,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,,
End Cash Position,7349000.0,6047000.0,5145000.0,10168000.0,
Beginning Cash Position,6047000.0,5145000.0,10168000.0,6138000.0,
Changes In Cash,1302000.0,902000.0,-5023000.0,4030000.0,
Financing Cash Flow,906471000.0,-71725000.0,-35690000.0,-194382000.0,
Cash Flow From Continuing Financing Activities,906471000.0,-71725000.0,-35690000.0,-194382000.0,
Net Other Financing Charges,-9548000.0,1953000.0,-48866000.0,1827000.0,
Cash Dividends Paid,-195413000.0,-194348000.0,-192275000.0,-182840000.0,
Common Stock Dividend Paid,-195413000.0,-194348000.0,-192275000.0,-182840000.0,
Net Common Stock Issuance,466893000.0,443000.0,103634000.0,0.0,
Common Stock Payments,-1111000.0,0.0,0.0,,
Common Stock Issuance,468004000.0,443000.0,103634000.0,0.0,
Net Issuance Payments Of Debt,644539000.0,120227000.0,101817000.0,-13369000.0,
Net Short Term Debt Issuance,,128500000.0,-171900000.0,-3900000.0,-19100000.0
Short Term Debt Payments,,-254400000.0,-600600000.0,-859400000.0,-594600000.0
Short Term Debt Issuance,,382900000.0,428700000.0,855500000.0,575500000.0
Net Long Term Debt Issuance,644539000.0,120227000.0,101817000.0,-13369000.0,
Long Term Debt Payments,-1700153000.0,-262673000.0,-769001000.0,-1218869000.0,
Long Term Debt Issuance,2344692000.0,382900000.0,870818000.0,1205500000.0,
Investing Cash Flow,-1305402000.0,-295735000.0,-334499000.0,-191066000.0,
Cash Flow From Continuing Investing Activities,-1305402000.0,-295735000.0,-334499000.0,-191066000.0,
Net Other Investing Changes,,,,,-161000.0
Dividends Received Cfi,0.0,10924000.0,16805000.0,39422000.0,
Net Investment Purchase And Sale,-167219000.0,0.0,0.0,,
Purchase Of Investment,-167219000.0,0.0,0.0,,
Net Investment Properties Purchase And Sale,-837956000.0,4248000.0,0.0,-232477000.0,
Sale Of Investment Properties,,4248000.0,0.0,555333000.0,435833000.0
Purchase Of Investment Properties,-837956000.0,0.0,0.0,-787810000.0,
Net Business Purchase And Sale,-47496000.0,-31388000.0,-9063000.0,1989000.0,
Sale Of Business,0.0,0.0,38831000.0,67066000.0,
Purchase Of Business,-47496000.0,-31388000.0,-47894000.0,-65077000.0,
Capital Expenditure Reported,-252731000.0,-279519000.0,-342241000.0,,
Operating Cash Flow,400233000.0,368362000.0,365166000.0,389478000.0,
Cash Flow From Continuing Operating Activities,400233000.0,368362000.0,365166000.0,389478000.0,
Dividend Received Cfo,3611000.0,3664000.0,5399000.0,11542000.0,
Change In Working Capital,22074000.0,748000.0,-7446000.0,15730000.0,
Change In Other Working Capital,,,,,-5345000.0
Change In Other Current Liabilities,24204000.0,8473000.0,-9169000.0,10230000.0,
Change In Receivables,-2130000.0,-7725000.0,1723000.0,5500000.0,
Other Non Cash Items,-54564000.0,-43926000.0,-41830000.0,-39910000.0,
Stock Based Compensation,14788000.0,11966000.0,10138000.0,7459000.0,
Asset Impairment Charge,,,0.0,0.0,14829000.0
Depreciation Amortization Depletion,365045000.0,314897000.0,295587000.0,288092000.0,
Depreciation And Amortization,365045000.0,314897000.0,295587000.0,288092000.0,
Operating Gains Losses,2698000.0,-2803000.0,-64127000.0,-172431000.0,
Earnings Losses From Equity Investments,2796000.0,-2299000.0,-7700000.0,-6801000.0,
Gain Loss On Investment Securities,-98000.0,-504000.0,9000.0,-152547000.0,
Gain Loss On Sale Of Business,0.0,0.0,-56267000.0,-13083000.0,
Net Income From Continuing Operations,46581000.0,83816000.0,167445000.0,278996000.0,
