,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.207,0.215,0.067,0.209118
Normalized EBITDA,219354000.0,324576000.0,223708000.0,103974000.0
Net Income From Continuing Operation Net Minority Interest,157817000.0,240554000.0,197699000.0,76646000.0
Reconciled Depreciation,18525000.0,16903000.0,11017000.0,6324000.0
Reconciled Cost Of Revenue,1367890000.0,1587781000.0,1218409000.0,869074000.0
EBITDA,219354000.0,324576000.0,223708000.0,103974000.0
EBIT,200829000.0,307673000.0,212691000.0,97650000.0
Net Interest Income,19349000.0,9769000.0,2835000.0,1406000.0
Interest Expense,1649000.0,910000.0,702000.0,738000.0
Interest Income,20998000.0,10679000.0,3537000.0,2144000.0
Normalized Income,157817000.0,240554000.0,197699000.0,76646000.0
Net Income From Continuing And Discontinued Operation,157817000.0,240554000.0,197699000.0,76646000.0
Total Expenses,1615810000.0,1846104000.0,1424662000.0,1019226000.0
Total Operating Income As Reported,178982000.0,296609000.0,202496000.0,88825000.0
Diluted Average Shares,8591911.0,8924452.0,9264153.0,9293134.0
Basic Average Shares,8506673.0,8844326.0,9178593.0,9189052.0
Diluted EPS,18.37,26.95,21.34,8.25
Basic EPS,18.55,27.2,21.54,8.34
Diluted NI Availto Com Stockholders,157817000.0,240554000.0,197699000.0,76646000.0
Net Income Common Stockholders,157817000.0,240554000.0,197699000.0,76646000.0
Net Income,157817000.0,240554000.0,197699000.0,76646000.0
Minority Interests,-88000.0,-287000.0,-43000.0,0.0
Net Income Including Noncontrolling Interests,157905000.0,240841000.0,197742000.0,76646000.0
Net Income Continuous Operations,157905000.0,240841000.0,197742000.0,76646000.0
Tax Provision,41275000.0,65922000.0,14247000.0,20266000.0
Pretax Income,199180000.0,306763000.0,211989000.0,96912000.0
Other Income Expense,849000.0,385000.0,6658000.0,6681000.0
Other Non Operating Income Expenses,849000.0,385000.0,6658000.0,6681000.0
Net Non Operating Interest Income Expense,19349000.0,9769000.0,2835000.0,1406000.0
Interest Expense Non Operating,1649000.0,910000.0,702000.0,738000.0
Interest Income Non Operating,20998000.0,10679000.0,3537000.0,2144000.0
Operating Income,178982000.0,296609000.0,202496000.0,88825000.0
Operating Expense,247920000.0,258323000.0,206253000.0,150152000.0
Selling General And Administration,247920000.0,258323000.0,206253000.0,150152000.0
Gross Profit,426902000.0,554932000.0,408749000.0,238977000.0
Cost Of Revenue,1367890000.0,1587781000.0,1218409000.0,869074000.0
Total Revenue,1794792000.0,2142713000.0,1627158000.0,1108051000.0
Operating Revenue,1794792000.0,2142713000.0,1627158000.0,1108051000.0
