,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,64932000.0,66352000.0,72963000.0,107278000.0
Repurchase Of Capital Stock,-11634000.0,-44762000.0,-4649000.0,0.0
Repayment Of Debt,-278329000.0,-323521000.0,-474278000.0,-487769000.0
Issuance Of Debt,210584000.0,289705000.0,397952000.0,377604000.0
Capital Expenditure,-31633000.0,-25421000.0,-15571000.0,-10083000.0
Interest Paid Supplemental Data,10250000.0,9226000.0,9991000.0,12597000.0
Income Tax Paid Supplemental Data,251000.0,220000.0,0.0,600000.0
End Cash Position,3323000.0,7954000.0,6282000.0,6155000.0
Beginning Cash Position,7954000.0,6282000.0,6155000.0,3331000.0
Effect Of Exchange Rate Changes,127000.0,-1500000.0,-1194000.0,1443000.0
Changes In Cash,-4758000.0,3172000.0,1321000.0,1381000.0
Financing Cash Flow,-86802000.0,-79656000.0,-86507000.0,-114206000.0
Cash Flow From Continuing Financing Activities,-86802000.0,-79656000.0,-86507000.0,-114206000.0
Net Other Financing Charges,,-1078000.0,-5532000.0,-4041000.0
Cash Dividends Paid,-7423000.0,0.0,0.0,
Common Stock Dividend Paid,-7423000.0,0.0,0.0,
Net Preferred Stock Issuance,0.0,-30553000.0,0.0,0.0
Preferred Stock Payments,0.0,-30553000.0,0.0,0.0
Net Common Stock Issuance,-11634000.0,-14209000.0,-4649000.0,0.0
Common Stock Payments,-11634000.0,-14209000.0,-4649000.0,0.0
Net Issuance Payments Of Debt,-67745000.0,-33816000.0,-76326000.0,-110165000.0
Net Short Term Debt Issuance,,,49157000.0,-70310000.0
Short Term Debt Payments,,,-348795000.0,-447914000.0
Short Term Debt Issuance,,,397952000.0,377604000.0
Net Long Term Debt Issuance,-67745000.0,-33816000.0,-76326000.0,-110165000.0
Long Term Debt Payments,-278329000.0,-323521000.0,-474278000.0,-487769000.0
Long Term Debt Issuance,210584000.0,289705000.0,397952000.0,377604000.0
Investing Cash Flow,-14521000.0,-8945000.0,-706000.0,-1774000.0
Cash Flow From Continuing Investing Activities,-14521000.0,-8945000.0,-706000.0,-1774000.0
Net Other Investing Changes,372000.0,190000.0,559000.0,4619000.0
Net Business Purchase And Sale,,,0.0,0.0
Purchase Of Business,,,0.0,0.0
Net PPE Purchase And Sale,16740000.0,16286000.0,14306000.0,3690000.0
Sale Of PPE,16740000.0,16286000.0,14306000.0,3690000.0
Capital Expenditure Reported,-31633000.0,-25421000.0,-15571000.0,-10083000.0
Operating Cash Flow,96565000.0,91773000.0,88534000.0,117361000.0
Cash Flow From Continuing Operating Activities,96565000.0,91773000.0,88534000.0,117361000.0
Change In Working Capital,-1567000.0,-13924000.0,-8765000.0,19881000.0
Change In Other Working Capital,9725000.0,-9960000.0,4485000.0,-725000.0
Change In Payables And Accrued Expense,11014000.0,12328000.0,15407000.0,6756000.0
Change In Payable,11014000.0,12328000.0,15407000.0,6756000.0
Change In Account Payable,7438000.0,12323000.0,15435000.0,6890000.0
Change In Tax Payable,3576000.0,5000.0,-28000.0,-134000.0
Change In Income Tax Payable,3576000.0,5000.0,-28000.0,-134000.0
Change In Inventory,5000.0,-1845000.0,-526000.0,171000.0
Change In Receivables,-22311000.0,-14447000.0,-28131000.0,13679000.0
Changes In Account Receivables,-22311000.0,-14447000.0,-28131000.0,13679000.0
Other Non Cash Items,1660000.0,3223000.0,2200000.0,-2873000.0
Stock Based Compensation,4460000.0,3787000.0,4127000.0,6066000.0
Provisionand Write Offof Assets,135000.0,162000.0,141000.0,44000.0
Asset Impairment Charge,1395000.0,5721000.0,7935000.0,144120000.0
Deferred Tax,6806000.0,4177000.0,3070000.0,-11122000.0
Deferred Income Tax,6806000.0,4177000.0,3070000.0,-11122000.0
Depreciation Amortization Depletion,75142000.0,87214000.0,83101000.0,96547000.0
Depreciation And Amortization,75142000.0,87214000.0,83101000.0,96547000.0
Operating Gains Losses,-21196000.0,-4917000.0,-5772000.0,-2522000.0
Net Income From Continuing Operations,29730000.0,6330000.0,2497000.0,-132780000.0
