,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,98610.0,98610.0,98610.0,98610.0
Ordinary Shares Number,100530599.0,100530599.0,100530599.0,100530599.0
Share Issued,100629209.0,100629209.0,100629209.0,100629209.0
Net Debt,1567000000.0,1039000000.0,1096000000.0,963000000.0
Total Debt,2199000000.0,1606000000.0,1673000000.0,1705000000.0
Tangible Book Value,847000000.0,531000000.0,553000000.0,1019000000.0
Invested Capital,2995000000.0,2080000000.0,2159000000.0,2649000000.0
Working Capital,497000000.0,154000000.0,213000000.0,743000000.0
Net Tangible Assets,847000000.0,531000000.0,553000000.0,1019000000.0
Capital Lease Obligations,51000000.0,57000000.0,67000000.0,75000000.0
Common Stock Equity,847000000.0,531000000.0,553000000.0,1019000000.0
Total Capitalization,2389000000.0,2074000000.0,2159000000.0,2647000000.0
Total Equity Gross Minority Interest,1038000000.0,791000000.0,770000000.0,1219000000.0
Minority Interest,191000000.0,260000000.0,217000000.0,200000000.0
Stockholders Equity,847000000.0,531000000.0,553000000.0,1019000000.0
Treasury Stock,2000000.0,2000000.0,2000000.0,2000000.0
Retained Earnings,-660000000.0,-976000000.0,-956000000.0,-490000000.0
Additional Paid In Capital,1508000000.0,1508000000.0,1510000000.0,1510000000.0
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Total Liabilities Net Minority Interest,3669000000.0,3328000000.0,3136000000.0,2759000000.0
Total Non Current Liabilities Net Minority Interest,1987000000.0,1889000000.0,1980000000.0,2100000000.0
Other Non Current Liabilities,81000000.0,55000000.0,58000000.0,49000000.0
Non Current Deferred Liabilities,327000000.0,249000000.0,268000000.0,368000000.0
Non Current Deferred Taxes Liabilities,327000000.0,249000000.0,268000000.0,368000000.0
Long Term Debt And Capital Lease Obligation,1579000000.0,1585000000.0,1654000000.0,1683000000.0
Long Term Capital Lease Obligation,37000000.0,42000000.0,48000000.0,55000000.0
Long Term Debt,1542000000.0,1543000000.0,1606000000.0,1628000000.0
Current Liabilities,1682000000.0,1439000000.0,1156000000.0,659000000.0
Other Current Liabilities,,4000000.0,2000000.0,17000000.0
Current Deferred Liabilities,16000000.0,48000000.0,87000000.0,31000000.0
Current Deferred Revenue,16000000.0,48000000.0,87000000.0,31000000.0
Current Debt And Capital Lease Obligation,620000000.0,21000000.0,19000000.0,22000000.0
Current Capital Lease Obligation,14000000.0,15000000.0,19000000.0,20000000.0
Current Debt,606000000.0,6000000.0,,2000000.0
Other Current Borrowings,606000000.0,6000000.0,,2000000.0
Pensionand Other Post Retirement Benefit Plans Current,13000000.0,31000000.0,15000000.0,4000000.0
Payables And Accrued Expenses,1033000000.0,1335000000.0,1033000000.0,585000000.0
Current Accrued Expenses,431000000.0,787000000.0,579000000.0,271000000.0
Interest Payable,26000000.0,24000000.0,24000000.0,25000000.0
Payables,602000000.0,548000000.0,454000000.0,314000000.0
Total Tax Payable,72000000.0,51000000.0,45000000.0,32000000.0
Income Tax Payable,25000000.0,0.0,,0.0
Accounts Payable,530000000.0,497000000.0,409000000.0,282000000.0
Total Assets,4707000000.0,4119000000.0,3906000000.0,3978000000.0
Total Non Current Assets,2528000000.0,2526000000.0,2537000000.0,2576000000.0
Other Non Current Assets,307000000.0,279000000.0,264000000.0,336000000.0
Net PPE,2221000000.0,2247000000.0,2273000000.0,2240000000.0
Accumulated Depreciation,-2586000000.0,-2379000000.0,-2194000000.0,-2009000000.0
Gross PPE,4807000000.0,4626000000.0,4467000000.0,4249000000.0
Construction In Progress,193000000.0,143000000.0,142000000.0,100000000.0
Other Properties,96000000.0,94000000.0,96000000.0,95000000.0
Machinery Furniture Equipment,4320000000.0,4231000000.0,4070000000.0,3919000000.0
Buildings And Improvements,124000000.0,86000000.0,88000000.0,88000000.0
Land And Improvements,74000000.0,72000000.0,71000000.0,47000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2179000000.0,1593000000.0,1369000000.0,1402000000.0
Other Current Assets,708000000.0,101000000.0,76000000.0,259000000.0
Prepaid Assets,,,76000000.0,259000000.0
Inventory,604000000.0,624000000.0,484000000.0,298000000.0
Finished Goods,260000000.0,297000000.0,215000000.0,133000000.0
Work In Process,21000000.0,35000000.0,20000000.0,16000000.0
Raw Materials,323000000.0,292000000.0,249000000.0,149000000.0
Receivables,286000000.0,358000000.0,299000000.0,178000000.0
Accounts Receivable,286000000.0,358000000.0,299000000.0,178000000.0
Cash Cash Equivalents And Short Term Investments,581000000.0,510000000.0,510000000.0,667000000.0
Cash And Cash Equivalents,581000000.0,510000000.0,510000000.0,667000000.0
