,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-132766000.0,58762000.0,37933000.0,-31009000.0
Repurchase Of Capital Stock,-25430000.0,-84723000.0,-10348000.0,-17486000.0
Repayment Of Debt,-164267000.0,-77698000.0,-715536000.0,-1636595000.0
Issuance Of Debt,293930000.0,155377000.0,644874000.0,1418108000.0
Capital Expenditure,-217607000.0,-100468000.0,-35285000.0,-94049000.0
Interest Paid Supplemental Data,5319000.0,3306000.0,2762000.0,7365000.0
Income Tax Paid Supplemental Data,4186000.0,16653000.0,10236000.0,870000.0
End Cash Position,2294000.0,68665000.0,8412000.0,8407000.0
Beginning Cash Position,68665000.0,8412000.0,8407000.0,43591000.0
Changes In Cash,-66371000.0,60253000.0,5000.0,-35184000.0
Financing Cash Flow,84709000.0,-12769000.0,-83557000.0,-236270000.0
Cash Flow From Continuing Financing Activities,84709000.0,-12769000.0,-83557000.0,-236270000.0
Net Other Financing Charges,-13979000.0,-1606000.0,-1332000.0,-297000.0
Proceeds From Stock Option Exercised,236000.0,384000.0,0.0,
Cash Dividends Paid,-5781000.0,-4287000.0,0.0,
Common Stock Dividend Paid,-5781000.0,-4287000.0,0.0,
Net Common Stock Issuance,-25430000.0,-84723000.0,-10348000.0,-17486000.0
Common Stock Payments,-25430000.0,-84723000.0,-10348000.0,-17486000.0
Net Issuance Payments Of Debt,129663000.0,77463000.0,-71877000.0,-218487000.0
Net Short Term Debt Issuance,0.0,-216000.0,-1215000.0,15839000.0
Short Term Debt Payments,,-216000.0,-696728000.0,-1326678000.0
Short Term Debt Issuance,,,644874000.0,1342517000.0
Net Long Term Debt Issuance,129663000.0,77679000.0,-70662000.0,-234326000.0
Long Term Debt Payments,-164267000.0,-77698000.0,-715536000.0,-309917000.0
Long Term Debt Issuance,293930000.0,155377000.0,644874000.0,75591000.0
Investing Cash Flow,-235921000.0,-86208000.0,10344000.0,138046000.0
Cash Flow From Continuing Investing Activities,-235921000.0,-86208000.0,10344000.0,138046000.0
Net Investment Purchase And Sale,-2204000.0,-241000.0,1495000.0,1442000.0
Sale Of Investment,0.0,0.0,1508000.0,1442000.0
Purchase Of Investment,-2204000.0,-241000.0,-13000.0,1442000.0
Net Business Purchase And Sale,-107934000.0,-38501000.0,0.0,108375000.0
Sale Of Business,,,0.0,108375000.0
Purchase Of Business,-107934000.0,-38501000.0,0.0,0.0
Net PPE Purchase And Sale,-125783000.0,-47466000.0,8849000.0,28229000.0
Sale Of PPE,91824000.0,53002000.0,44134000.0,122278000.0
Purchase Of PPE,-217607000.0,-100468000.0,-35285000.0,-94049000.0
Operating Cash Flow,84841000.0,159230000.0,73218000.0,63040000.0
Cash Flow From Continuing Operating Activities,84841000.0,159230000.0,73218000.0,63040000.0
Change In Working Capital,-39463000.0,23494000.0,-56178000.0,-7193000.0
Change In Payables And Accrued Expense,-12733000.0,-11946000.0,-18720000.0,52034000.0
Change In Accrued Expense,-3542000.0,-5729000.0,-31653000.0,32203000.0
Change In Payable,-9191000.0,-6217000.0,12933000.0,19831000.0
Change In Account Payable,-9191000.0,-6217000.0,12933000.0,19831000.0
Change In Prepaid Assets,-3997000.0,-3832000.0,-710000.0,531000.0
Change In Inventory,-317000.0,-193000.0,-204000.0,1091000.0
Change In Receivables,-22416000.0,39465000.0,-36544000.0,-60849000.0
Changes In Account Receivables,,,,-60849000.0
Other Non Cash Items,,,,154000.0
Stock Based Compensation,7100000.0,6587000.0,9059000.0,2270000.0
Provisionand Write Offof Assets,-258000.0,367000.0,1338000.0,3134000.0
Asset Impairment Charge,,,0.0,26569000.0
Deferred Tax,16475000.0,13442000.0,18079000.0,-14925000.0
Deferred Income Tax,16475000.0,13442000.0,18079000.0,-14925000.0
Depreciation Amortization Depletion,69943000.0,57512000.0,53881000.0,65480000.0
Depreciation And Amortization,69943000.0,57512000.0,53881000.0,65480000.0
Operating Gains Losses,-24185000.0,-50854000.0,-13692000.0,30269000.0
Earnings Losses From Equity Investments,-11584000.0,-10493000.0,-9882000.0,-2460000.0
Gain Loss On Investment Securities,,,-63000.0,-25000.0
Gain Loss On Sale Of PPE,-12585000.0,-40322000.0,-3799000.0,-7677000.0
Gain Loss On Sale Of Business,-16000.0,-39000.0,52000.0,40431000.0
Net Income From Continuing Operations,55229000.0,108682000.0,60731000.0,-42718000.0
