,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,78978000.0,50247000.0,-1667000.0,-10292000.0
Repurchase Of Capital Stock,0.0,0.0,-626000.0,-567000.0
Repayment Of Debt,-2749000.0,-2750000.0,-434919000.0,-21557000.0
Issuance Of Debt,0.0,0.0,55000000.0,202688000.0
Issuance Of Capital Stock,0.0,0.0,582188000.0,0.0
Capital Expenditure,-5624000.0,-7758000.0,-5025000.0,-3806000.0
Interest Paid Supplemental Data,3454000.0,1395000.0,26113000.0,22182000.0
Income Tax Paid Supplemental Data,2432000.0,2044000.0,802000.0,429000.0
End Cash Position,221765000.0,250724000.0,254597000.0,61088000.0
Beginning Cash Position,250724000.0,254597000.0,61088000.0,20254000.0
Effect Of Exchange Rate Changes,785000.0,-1556000.0,-112000.0,85000.0
Changes In Cash,-29744000.0,-2317000.0,193621000.0,40749000.0
Financing Cash Flow,-19291000.0,16229000.0,195288000.0,51041000.0
Cash Flow From Continuing Financing Activities,-19291000.0,16229000.0,195288000.0,51041000.0
Net Other Financing Charges,-25868000.0,-3520000.0,-10745000.0,43237000.0
Proceeds From Stock Option Exercised,9326000.0,22499000.0,4390000.0,424000.0
Cash Dividends Paid,,0.0,0.0,-173184000.0
Common Stock Dividend Paid,,0.0,0.0,-173184000.0
Net Common Stock Issuance,0.0,0.0,581562000.0,-567000.0
Common Stock Payments,0.0,0.0,-626000.0,-567000.0
Common Stock Issuance,0.0,0.0,582188000.0,0.0
Net Issuance Payments Of Debt,-2749000.0,-2750000.0,-379919000.0,181131000.0
Net Long Term Debt Issuance,-2749000.0,-2750000.0,-379919000.0,181131000.0
Long Term Debt Payments,-2749000.0,-2750000.0,-434919000.0,-21557000.0
Long Term Debt Issuance,0.0,0.0,55000000.0,202688000.0
Investing Cash Flow,-95055000.0,-76551000.0,-5025000.0,-3806000.0
Cash Flow From Continuing Investing Activities,-95055000.0,-76551000.0,-5025000.0,-3806000.0
Net Investment Purchase And Sale,-89431000.0,-3000000.0,0.0,0.0
Sale Of Investment,37751000.0,0.0,0.0,
Purchase Of Investment,-127182000.0,-3000000.0,0.0,0.0
Net Business Purchase And Sale,0.0,-65793000.0,0.0,0.0
Purchase Of Business,0.0,-65793000.0,0.0,0.0
Net PPE Purchase And Sale,-5624000.0,-7758000.0,-5025000.0,-3806000.0
Purchase Of PPE,-5624000.0,-7758000.0,-5025000.0,-3806000.0
Operating Cash Flow,84602000.0,58005000.0,3358000.0,-6486000.0
Cash Flow From Continuing Operating Activities,84602000.0,58005000.0,3358000.0,-6486000.0
Change In Working Capital,-16125000.0,-15883000.0,-43294000.0,6025000.0
Change In Other Working Capital,-5067000.0,-5845000.0,-5161000.0,-4092000.0
Change In Other Current Liabilities,,,0.0,75000.0
Change In Payables And Accrued Expense,7089000.0,14016000.0,-7689000.0,17209000.0
Change In Accrued Expense,1204000.0,207000.0,-8050000.0,8040000.0
Change In Interest Payable,,,-2297000.0,-1776000.0
Change In Payable,5885000.0,13809000.0,361000.0,9169000.0
Change In Account Payable,-115000.0,1609000.0,361000.0,67000.0
Change In Tax Payable,6000000.0,12200000.0,0.0,9102000.0
Change In Income Tax Payable,6000000.0,12200000.0,0.0,9102000.0
Change In Prepaid Assets,1151000.0,-4956000.0,-13136000.0,-767000.0
Change In Receivables,-19298000.0,-19098000.0,-17308000.0,-6325000.0
Changes In Account Receivables,-19298000.0,-19098000.0,-17308000.0,-6325000.0
Other Non Cash Items,12662000.0,10556000.0,4930000.0,4846000.0
Stock Based Compensation,104447000.0,65691000.0,36695000.0,24602000.0
Amortization Of Securities,-1474000.0,0.0,0.0,
Deferred Tax,-1665000.0,-803000.0,-675000.0,0.0
Deferred Income Tax,-1665000.0,-803000.0,-675000.0,0.0
Depreciation Amortization Depletion,9929000.0,5139000.0,3493000.0,2271000.0
Depreciation And Amortization,9929000.0,5139000.0,3493000.0,2271000.0
Depreciation,,,,2271000.0
Operating Gains Losses,-89000.0,,10303000.0,
Gain Loss On Investment Securities,-89000.0,,,
Net Income From Continuing Operations,-23083000.0,-6695000.0,-8094000.0,-44230000.0
