,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,-2781810.0,0.0
Tax Rate For Calcs,0.21,0.21,0.27,0.27
Normalized EBITDA,-6816000.0,10256000.0,42257000.0,-18147000.0
Total Unusual Items,0.0,0.0,-10303000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-10303000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-21627000.0,-7967000.0,-8213000.0,0.0
Reconciled Depreciation,9929000.0,5139000.0,3493000.0,2271000.0
Reconciled Cost Of Revenue,107127000.0,87784000.0,67864000.0,53263000.0
EBITDA,-6816000.0,10256000.0,31954000.0,-18147000.0
EBIT,-16745000.0,5117000.0,28461000.0,-20418000.0
Net Interest Income,6401000.0,1137000.0,-25682000.0,-22854000.0
Interest Expense,,,25682000.0,22910000.0
Normalized Income,-21627000.0,-7967000.0,-691810.0,0.0
Net Income From Continuing And Discontinued Operation,-21627000.0,-7967000.0,-8213000.0,0.0
Total Expenses,384913000.0,298309000.0,223561000.0,223640000.0
Total Operating Income As Reported,-16745000.0,5117000.0,28461000.0,-20418000.0
Diluted Average Shares,199691873.0,185560683.0,236209204.0,172949844.0
Basic Average Shares,199691873.0,185560683.0,177680507.0,172949844.0
Diluted EPS,-0.11,-0.04,-0.05,0.0
Basic EPS,-0.11,-0.04,-0.05,0.0
Diluted NI Availto Com Stockholders,-21627000.0,-7967000.0,-8213000.0,0.0
Net Income Common Stockholders,-21627000.0,-7967000.0,-8213000.0,0.0
Net Income,-21627000.0,-7967000.0,-8213000.0,0.0
Minority Interests,1456000.0,-1272000.0,-119000.0,0.0
Net Income Including Noncontrolling Interests,-23083000.0,-6695000.0,-8094000.0,-44230000.0
Net Income Continuous Operations,-23083000.0,-6695000.0,-8094000.0,-44230000.0
Tax Provision,217000.0,1360000.0,487000.0,902000.0
Pretax Income,-22866000.0,-5335000.0,-7607000.0,-43328000.0
Other Income Expense,-12522000.0,-11589000.0,-10386000.0,-56000.0
Other Non Operating Income Expenses,-12522000.0,-11589000.0,-83000.0,-56000.0
Special Income Charges,0.0,0.0,-10303000.0,0.0
Other Special Charges,,,10303000.0,
Net Non Operating Interest Income Expense,6401000.0,1137000.0,-25682000.0,-22854000.0
Total Other Finance Cost,-6401000.0,-1137000.0,25682000.0,22854000.0
Interest Expense Non Operating,,,25682000.0,22910000.0
Operating Income,-16745000.0,5117000.0,28461000.0,-20418000.0
Operating Expense,277786000.0,210525000.0,155697000.0,170377000.0
Other Operating Expenses,,,,48998000.0
Research And Development,123925000.0,94120000.0,72690000.0,55262000.0
Selling General And Administration,153861000.0,116405000.0,83007000.0,66117000.0
Selling And Marketing Expense,60365000.0,52638000.0,39065000.0,22243000.0
General And Administrative Expense,93496000.0,63767000.0,43942000.0,43874000.0
Other Gand A,93496000.0,63767000.0,43942000.0,43874000.0
Salaries And Wages,,38698000.0,21500000.0,18725000.0
Gross Profit,261041000.0,215642000.0,184158000.0,149959000.0
Cost Of Revenue,107127000.0,87784000.0,67864000.0,53263000.0
Total Revenue,368168000.0,303426000.0,252022000.0,203222000.0
Operating Revenue,368168000.0,303426000.0,252022000.0,203222000.0
