,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,18620.0,-50820.0,-47817.0,-38608.0
Tax Rate For Calcs,0.245,0.242,0.253,0.254
Total Unusual Items,76000.0,-210000.0,-189000.0,-152000.0
Total Unusual Items Excluding Goodwill,76000.0,-210000.0,-189000.0,-152000.0
Net Income From Continuing Operation Net Minority Interest,25536000.0,26645000.0,28401000.0,20347000.0
Reconciled Depreciation,9896000.0,10417000.0,8999000.0,5503000.0
Net Interest Income,82429000.0,79566000.0,72554000.0,64423000.0
Interest Expense,19989000.0,3422000.0,1302000.0,1595000.0
Interest Income,102418000.0,82988000.0,73856000.0,66018000.0
Normalized Income,25478620.0,26804180.0,28542183.0,20460392.0
Net Income From Continuing And Discontinued Operation,25536000.0,26645000.0,28401000.0,20347000.0
Diluted Average Shares,11752872.0,11739074.0,12547137.0,12576319.0
Basic Average Shares,11728858.0,11715376.0,12495606.0,12534078.0
Diluted EPS,2.17,2.27,2.31,1.62
Basic EPS,2.17,2.27,2.32,1.62
Diluted NI Availto Com Stockholders,25536000.0,26645000.0,28401000.0,20347000.0
Net Income Common Stockholders,25536000.0,26645000.0,28401000.0,20347000.0
Net Income,25536000.0,26645000.0,28401000.0,20347000.0
Net Income Including Noncontrolling Interests,25536000.0,26645000.0,28401000.0,20347000.0
Net Income Continuous Operations,25536000.0,26645000.0,28401000.0,20347000.0
Tax Provision,8304000.0,8496000.0,9616000.0,6914000.0
Pretax Income,33840000.0,35141000.0,38017000.0,27261000.0
Special Income Charges,-326000.0,-225000.0,-197000.0,-152000.0
Other Special Charges,326000.0,225000.0,197000.0,152000.0
Restructuring And Mergern Acquisition,,,,0.0
Gain On Sale Of Security,-907000.0,-1730000.0,501000.0,4252000.0
Depreciation Amortization Depletion Income Statement,68000.0,454000.0,661000.0,818000.0
Depreciation And Amortization In Income Statement,68000.0,454000.0,661000.0,818000.0
Amortization,68000.0,454000.0,661000.0,818000.0
Amortization Of Intangibles Income Statement,68000.0,454000.0,661000.0,818000.0
Selling General And Administration,33182000.0,30290000.0,30225000.0,30213000.0
Selling And Marketing Expense,542000.0,557000.0,527000.0,663000.0
General And Administrative Expense,32640000.0,29733000.0,29698000.0,29550000.0
Other Gand A,,,7265000.0,6170000.0
Insurance And Claims,255000.0,211000.0,182000.0,171000.0
Salaries And Wages,32385000.0,29522000.0,29516000.0,29379000.0
Total Revenue,88113000.0,83233000.0,80148000.0,76458000.0
Operating Revenue,88113000.0,83233000.0,80148000.0,76458000.0
Occupancy And Equipment,5726000.0,5131000.0,4882000.0,4626000.0
Professional Expense And Contract Services Expense,3425000.0,1519000.0,1665000.0,2398000.0
Other Non Interest Expense,11237000.0,9478000.0,8936000.0,7715000.0
