,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,15771545.0,15322875.0,15243693.0,15143683.0
Share Issued,15771545.0,15322875.0,15243693.0,15143683.0
Total Debt,2667391.0,2468474.0,2944257.0,1606413.0
Tangible Book Value,170586045.0,146402682.0,143735025.0,143417059.0
Invested Capital,187183858.0,159977664.0,157776231.0,161058954.0
Working Capital,88809729.0,69917671.0,69376065.0,65993090.0
Net Tangible Assets,170612623.0,146423312.0,143752206.0,143435700.0
Capital Lease Obligations,2284167.0,2137393.0,2729730.0,1437864.0
Common Stock Equity,186800634.0,159646583.0,157561704.0,160890405.0
Preferred Stock Equity,26578.0,20630.0,17181.0,18641.0
Total Capitalization,187018402.0,159883330.0,157730923.0,161035384.0
Total Equity Gross Minority Interest,191830674.0,167764189.0,165665423.0,169012549.0
Minority Interest,5003462.0,8096976.0,8086538.0,8103503.0
Stockholders Equity,186827212.0,159667213.0,157578885.0,160909046.0
Retained Earnings,85148820.0,61247699.0,60603056.0,64910709.0
Additional Paid In Capital,92188887.0,89205159.0,87812432.0,86893486.0
Capital Stock,9489505.0,9214355.0,9163397.0,9104851.0
Common Stock,9462927.0,9193725.0,9146216.0,9086210.0
Preferred Stock,26578.0,20630.0,17181.0,18641.0
Total Liabilities Net Minority Interest,26606918.0,25242660.0,10689434.0,10543003.0
Total Non Current Liabilities Net Minority Interest,2702272.0,2586075.0,3002777.0,3603887.0
Other Non Current Liabilities,153000.0,219110.0,141000.0,362165.0
Liabilities Heldfor Sale Non Current,0.0,0.0,7819.0,2499.0
Derivative Product Liabilities,,,0.0,690000.0
Non Current Deferred Liabilities,530780.0,560306.0,564526.0,1440809.0
Non Current Deferred Taxes Liabilities,530780.0,560306.0,564526.0,1440809.0
Long Term Debt And Capital Lease Obligation,2018492.0,1806659.0,2289432.0,1108414.0
Long Term Capital Lease Obligation,1827302.0,1590542.0,2137394.0,982076.0
Long Term Debt,191190.0,216117.0,152038.0,126338.0
Current Liabilities,23904646.0,22656585.0,7686657.0,6939116.0
Other Current Liabilities,364665.0,389884.0,182322.0,188434.0
Current Deferred Liabilities,6554028.0,9119746.0,1097524.0,577806.0
Current Deferred Revenue,6554028.0,9119746.0,1097524.0,577806.0
Current Debt And Capital Lease Obligation,648899.0,661815.0,654825.0,497999.0
Current Capital Lease Obligation,456865.0,546851.0,592336.0,455788.0
Current Debt,192034.0,114964.0,62489.0,42211.0
Other Current Borrowings,192034.0,114964.0,62489.0,42211.0
Pensionand Other Post Retirement Benefit Plans Current,3160030.0,2267583.0,1435542.0,1434106.0
Payables And Accrued Expenses,13177024.0,10217557.0,4316444.0,4240771.0
Payables,13177024.0,10217557.0,4316444.0,4240771.0
Dueto Related Parties Current,0.0,403839.0,163947.0,200558.0
Dividends Payable,1572655.0,1375403.0,1320572.0,1300022.0
Accounts Payable,11604369.0,8438315.0,2831925.0,2740191.0
Total Assets,218437592.0,193006849.0,176354857.0,179555552.0
Total Non Current Assets,105723217.0,100432593.0,99292135.0,106623346.0
Other Non Current Assets,29583032.0,27349652.0,27411012.0,27599925.0
Financial Assets,,,128000.0,0.0
Investments And Advances,1412158.0,1545430.0,1715905.0,2092146.0
Long Term Equity Investment,1412158.0,1545430.0,1715905.0,2092146.0
Investmentsin Associatesat Cost,1412158.0,1545430.0,1715905.0,2092146.0
Goodwill And Other Intangible Assets,16214589.0,13243901.0,13826679.0,17473346.0
Other Intangible Assets,3353185.0,2818888.0,3401666.0,4148333.0
Goodwill,12861404.0,10425013.0,10425013.0,13325013.0
Net PPE,58513438.0,58293610.0,56338539.0,59457929.0
Accumulated Depreciation,-89288904.0,-87252682.0,-83162696.0,-77383279.0
Gross PPE,147802342.0,145546292.0,139501235.0,136841208.0
Leases,306545.0,287980.0,287980.0,274230.0
Construction In Progress,495471.0,3705681.0,710863.0,440384.0
Other Properties,147000326.0,141552631.0,138502392.0,136126594.0
Current Assets,112714375.0,92574256.0,77062722.0,72932206.0
Other Current Assets,4056370.0,5643279.0,2558822.0,2412282.0
Hedging Assets Current,,0.0,128000.0,
Assets Held For Sale Current,211517.0,531480.0,1173741.0,1511099.0
Prepaid Assets,,,2558822.0,2412282.0
Inventory,6044642.0,5727842.0,2504832.0,3214178.0
Receivables,59779948.0,29959904.0,27839268.0,22000497.0
Receivables Adjustments Allowances,-583401.0,-183214.0,-183020.0,-270110.0
Other Receivables,,,,269133.0
Duefrom Related Parties Current,41129.0,37293.0,40877.0,62171.0
Accounts Receivable,38769163.0,27192103.0,27491450.0,21691915.0
Cash Cash Equivalents And Short Term Investments,42621898.0,50711751.0,42858059.0,43794150.0
Other Short Term Investments,,0.0,2500000.0,0.0
Cash And Cash Equivalents,42621898.0,50711751.0,40358059.0,43794150.0
Cash Equivalents,11912286.0,5484328.0,7738216.0,9275893.0
Cash Financial,30709612.0,45227423.0,32619843.0,34518257.0
