,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,403423000.0,256559000.0,346560000.0,213681000.0
Repurchase Of Capital Stock,-50141000.0,-56870000.0,-343129000.0,-200018000.0
Repayment Of Debt,-840616000.0,-1791547000.0,-462050000.0,-570675000.0
Issuance Of Debt,638116000.0,1997647000.0,455950000.0,870675000.0
Capital Expenditure,-44666000.0,-38217000.0,-41108000.0,-47499000.0
End Cash Position,406867000.0,256974000.0,171004000.0,198248000.0
Beginning Cash Position,256974000.0,171004000.0,198248000.0,391033000.0
Effect Of Exchange Rate Changes,10726000.0,-12367000.0,-3380000.0,-3516000.0
Changes In Cash,139167000.0,98337000.0,-23864000.0,-189269000.0
Financing Cash Flow,-273403000.0,129428000.0,-369129000.0,82081000.0
Cash Flow From Continuing Financing Activities,-273403000.0,129428000.0,-369129000.0,82081000.0
Net Other Financing Charges,-1097000.0,-1020000.0,-945000.0,-874000.0
Proceeds From Stock Option Exercised,10584000.0,9997000.0,9705000.0,11148000.0
Cash Dividends Paid,-30249000.0,-28779000.0,-28660000.0,-28175000.0
Common Stock Dividend Paid,-30249000.0,-28779000.0,-28660000.0,-28175000.0
Net Common Stock Issuance,-50141000.0,-56870000.0,-343129000.0,-200018000.0
Common Stock Payments,-50141000.0,-56870000.0,-343129000.0,-200018000.0
Net Issuance Payments Of Debt,-202500000.0,206100000.0,-6100000.0,300000000.0
Net Short Term Debt Issuance,0.0,-93900000.0,93900000.0,0.0
Short Term Debt Payments,-638116000.0,-1791547000.0,-362050000.0,-570675000.0
Short Term Debt Issuance,638116000.0,1697647000.0,455950000.0,570675000.0
Net Long Term Debt Issuance,-202500000.0,300000000.0,-100000000.0,300000000.0
Long Term Debt Payments,-202500000.0,0.0,-100000000.0,0.0
Long Term Debt Issuance,0.0,300000000.0,0.0,300000000.0
Investing Cash Flow,-35519000.0,-325867000.0,-42403000.0,-532530000.0
Cash Flow From Continuing Investing Activities,-35519000.0,-325867000.0,-42403000.0,-532530000.0
Net Other Investing Changes,,,,-17000.0
Net Investment Purchase And Sale,0.0,-10000000.0,0.0,
Purchase Of Investment,0.0,-10000000.0,0.0,
Net Business Purchase And Sale,0.0,-287491000.0,-5340000.0,-487944000.0
Purchase Of Business,0.0,-287491000.0,-5340000.0,-487944000.0
Net PPE Purchase And Sale,-35519000.0,-28376000.0,-37063000.0,-44569000.0
Sale Of PPE,9147000.0,9841000.0,4045000.0,2930000.0
Purchase Of PPE,-44666000.0,-38217000.0,-41108000.0,-47499000.0
Operating Cash Flow,448089000.0,294776000.0,387668000.0,261180000.0
Cash Flow From Continuing Operating Activities,448089000.0,294776000.0,387668000.0,261180000.0
Change In Working Capital,-39420000.0,-103328000.0,-11315000.0,-113837000.0
Change In Other Working Capital,-27029000.0,-7304000.0,18590000.0,-145006000.0
Change In Payables And Accrued Expense,11571000.0,42493000.0,17713000.0,-55513000.0
Change In Payable,,,,-55513000.0
Change In Account Payable,,,,-55513000.0
Change In Tax Payable,,,,15171000.0
Change In Income Tax Payable,,,,15171000.0
Change In Inventory,-21568000.0,-62562000.0,13554000.0,15535000.0
Change In Receivables,-2394000.0,-75955000.0,-61172000.0,71147000.0
Other Non Cash Items,,-3099000.0,-3672000.0,7939000.0
Stock Based Compensation,16803000.0,15384000.0,13450000.0,14437000.0
Asset Impairment Charge,0.0,0.0,19088000.0,33043000.0
Deferred Tax,2908000.0,-23635000.0,-10200000.0,-7048000.0
Deferred Income Tax,2908000.0,-23635000.0,-10200000.0,-7048000.0
Depreciation Amortization Depletion,116172000.0,112027000.0,114384000.0,115903000.0
Depreciation And Amortization,116172000.0,112027000.0,114384000.0,115903000.0
Operating Gains Losses,-2883000.0,-20000.0,-568000.0,9351000.0
Net Foreign Currency Exchange Gain Loss,,0.0,0.0,9351000.0
Gain Loss On Sale Of PPE,-2883000.0,-4671000.0,-568000.0,0.0
Gain Loss On Sale Of Business,0.0,4651000.0,0.0,0.0
Net Income From Continuing Operations,354509000.0,294348000.0,262829000.0,201392000.0
