,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,7253132.0,1572930.0,-18339136.0,4948185.0,
Net Interest Income,3225444.0,3248917.0,3922094.0,4858084.0,
Interest Expense,1994126.0,2132449.0,1023676.0,604148.0,
Interest Income,5219570.0,5381366.0,4945770.0,5462232.0,
Normalized Income,7253132.0,1572930.0,-18339136.0,4948185.0,
Net Income From Continuing And Discontinued Operation,7253132.0,1572930.0,-18339136.0,4948185.0,
Diluted Average Shares,8242195.0,6838826.0,9169568.0,9163306.0,
Basic Average Shares,,6838826.0,9169568.0,9163306.0,9094204.0
Diluted EPS,,0.23,-2.0,0.54,0.48
Basic EPS,,0.23,-2.0,0.54,0.48
Diluted NI Availto Com Stockholders,7253132.0,1572930.0,-18339136.0,4948185.0,
Net Income Common Stockholders,7253132.0,1572930.0,-18339136.0,4948185.0,
Net Income,7253132.0,1572930.0,-18339136.0,4948185.0,
Net Income Including Noncontrolling Interests,7253132.0,1572930.0,-18339136.0,4948185.0,
Net Income Continuous Operations,7253132.0,1572930.0,-18339136.0,4948185.0,
Pretax Income,7253132.0,1572930.0,-18339136.0,4948185.0,
Gain On Sale Of Security,-529716.0,-3767735.0,-2757447.0,610498.0,
Operating Expense,79490.0,289185.0,172093.0,192771.0,
Other Operating Expenses,-199390.0,-117676.0,-89333.0,-51935.0,
Selling General And Administration,278880.0,406861.0,261426.0,244706.0,
General And Administrative Expense,278880.0,406861.0,261426.0,244706.0,
Total Revenue,7332622.0,1862115.0,-18167043.0,5140956.0,
Operating Revenue,7332622.0,1862115.0,-18167043.0,5140956.0,
