,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,-2520000.0,0.0
Tax Rate For Calcs,0.151,0.21,0.21,0.27
Normalized EBITDA,49411000.0,-39173000.0,-67412000.0,-19887000.0
Total Unusual Items,0.0,0.0,-12000000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-12000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,51403000.0,-55742000.0,-111470000.0,-37970000.0
Reconciled Depreciation,15466000.0,12051000.0,8058000.0,5690000.0
Reconciled Cost Of Revenue,179401000.0,163725000.0,147551000.0,122082000.0
EBITDA,49411000.0,-39173000.0,-79412000.0,-19887000.0
EBIT,33945000.0,-51224000.0,-87470000.0,-25577000.0
Normalized Income,51403000.0,-55742000.0,-101990000.0,-37970000.0
Net Income From Continuing And Discontinued Operation,51403000.0,-55742000.0,-111470000.0,-37970000.0
Total Expenses,698415000.0,669414000.0,579864000.0,412507000.0
Total Operating Income As Reported,33945000.0,-51224000.0,-99470000.0,-25577000.0
Diluted Average Shares,287093000.0,259530000.0,195020000.0,231464126.0
Basic Average Shares,269974000.0,259530000.0,195020000.0,231464126.0
Diluted EPS,0.18,-0.21,-0.57,-0.166635
Basic EPS,0.19,-0.21,-0.57,-0.166635
Diluted NI Availto Com Stockholders,51403000.0,-55742000.0,-111470000.0,-38570000.0
Net Income Common Stockholders,51403000.0,-55742000.0,-111470000.0,-38570000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,600000.0
Net Income,51403000.0,-55742000.0,-111470000.0,-37970000.0
Minority Interests,,,0.0,0.0
Net Income Including Noncontrolling Interests,51403000.0,-55742000.0,-111470000.0,-37970000.0
Net Income Continuous Operations,51403000.0,-55742000.0,-111470000.0,-37970000.0
Tax Provision,9119000.0,8274000.0,6916000.0,3777000.0
Pretax Income,60522000.0,-47468000.0,-104554000.0,-34193000.0
Other Income Expense,26577000.0,3756000.0,-17084000.0,-8616000.0
Other Non Operating Income Expenses,26577000.0,3756000.0,-5084000.0,-8616000.0
Special Income Charges,0.0,0.0,-12000000.0,0.0
Other Special Charges,,,12000000.0,
Operating Income,33945000.0,-51224000.0,-87470000.0,-25577000.0
Operating Expense,519014000.0,505689000.0,432313000.0,290425000.0
Research And Development,91292000.0,76658000.0,60591000.0,40280000.0
Selling General And Administration,427722000.0,429031000.0,371722000.0,250145000.0
Selling And Marketing Expense,321849000.0,336719000.0,286963000.0,185797000.0
General And Administrative Expense,105873000.0,92312000.0,84759000.0,64348000.0
Other Gand A,105873000.0,92312000.0,84759000.0,64348000.0
Gross Profit,552959000.0,454465000.0,344843000.0,264848000.0
Cost Of Revenue,179401000.0,163725000.0,147551000.0,122082000.0
Total Revenue,732360000.0,618190000.0,492394000.0,386930000.0
Operating Revenue,732360000.0,618190000.0,492394000.0,386930000.0
