,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Preferred Shares Number,335273.0,335273.0,335273.0,335273.0
Ordinary Shares Number,1058892.0,835945.0,666209.0,416459.0
Share Issued,1058892.0,835945.0,666209.0,416459.0
Total Debt,37000.0,106000.0,30000.0,1057000.0
Tangible Book Value,607000.0,20433000.0,37693000.0,33259000.0
Invested Capital,607000.0,20433000.0,37693000.0,33259000.0
Working Capital,-717000.0,16900000.0,35529000.0,32983000.0
Net Tangible Assets,607000.0,20433000.0,37693000.0,33259000.0
Capital Lease Obligations,37000.0,106000.0,30000.0,1057000.0
Common Stock Equity,607000.0,20433000.0,37693000.0,33259000.0
Total Capitalization,607000.0,20433000.0,37693000.0,33259000.0
Total Equity Gross Minority Interest,607000.0,20433000.0,37693000.0,33259000.0
Stockholders Equity,607000.0,20433000.0,37693000.0,33259000.0
Gains Losses Not Affecting Retained Earnings,-908000.0,-1316000.0,-748000.0,-746000.0
Other Equity Adjustments,-908000.0,-1316000.0,-748000.0,-746000.0
Retained Earnings,-428282000.0,-405727000.0,-384529000.0,-366072000.0
Additional Paid In Capital,429796000.0,422981000.0,422960000.0,400071000.0
Capital Stock,1000.0,4495000.0,10000.0,6000.0
Common Stock,1000.0,4495000.0,10000.0,6000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,8198000.0,7617000.0,5443000.0,3543000.0
Total Non Current Liabilities Net Minority Interest,37000.0,106000.0,30000.0,1057000.0
Long Term Debt And Capital Lease Obligation,37000.0,106000.0,30000.0,1057000.0
Long Term Capital Lease Obligation,37000.0,106000.0,30000.0,1057000.0
Current Liabilities,8161000.0,7511000.0,5413000.0,2486000.0
Other Current Liabilities,380000.0,1006000.0,753000.0,866000.0
Payables And Accrued Expenses,7781000.0,6505000.0,4660000.0,1620000.0
Current Accrued Expenses,4238000.0,3944000.0,2543000.0,1106000.0
Payables,3543000.0,2561000.0,2117000.0,514000.0
Accounts Payable,3543000.0,2561000.0,2117000.0,514000.0
Total Assets,8805000.0,28050000.0,43136000.0,36802000.0
Total Non Current Assets,1361000.0,3639000.0,2194000.0,1332000.0
Non Current Prepaid Assets,1259000.0,3465000.0,2100000.0,0.0
Net PPE,102000.0,174000.0,94000.0,1332000.0
Accumulated Depreciation,-420000.0,-383000.0,-361000.0,-886000.0
Gross PPE,522000.0,557000.0,455000.0,2218000.0
Leases,6000.0,6000.0,6000.0,409000.0
Other Properties,93000.0,142000.0,30000.0,1227000.0
Machinery Furniture Equipment,423000.0,409000.0,419000.0,582000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,7444000.0,24411000.0,40942000.0,35469000.0
Other Current Assets,341000.0,426000.0,79000.0,66000.0
Prepaid Assets,,,577000.0,684000.0
Receivables,3725000.0,5640000.0,4304000.0,1313000.0
Taxes Receivable,3725000.0,5640000.0,4304000.0,1313000.0
Cash Cash Equivalents And Short Term Investments,3378000.0,18345000.0,36559000.0,33406000.0
Cash And Cash Equivalents,3378000.0,18345000.0,36559000.0,33406000.0
Cash Equivalents,75000.0,4547000.0,4477000.0,5326000.0
Cash Financial,3303000.0,13798000.0,32082000.0,28080000.0
