,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,818605000.0,-716668000.0,-354971000.0,330545000.0
Repayment Of Debt,-3082536000.0,-1934597000.0,-1989041000.0,-2091643000.0
Issuance Of Debt,3240294000.0,2048432000.0,1938920000.0,2230000000.0
Capital Expenditure,-407433000.0,-597249000.0,-859527000.0,-1084823000.0
End Cash Position,5544376000.0,4451489000.0,4788219000.0,5877647000.0
Beginning Cash Position,4451489000.0,4788219000.0,5877647000.0,5753268000.0
Effect Of Exchange Rate Changes,13847000.0,56102000.0,-16573000.0,-43404000.0
Changes In Cash,1079040000.0,-392832000.0,-1072855000.0,167783000.0
Financing Cash Flow,-33742000.0,-140365000.0,-838563000.0,-461832000.0
Cash Flow From Continuing Financing Activities,-33742000.0,-140365000.0,-838563000.0,-461832000.0
Net Other Financing Charges,-15008000.0,-48799000.0,-223917000.0,-205525000.0
Interest Paid Cff,-96254000.0,-95717000.0,-115813000.0,-148793000.0
Cash Dividends Paid,-80238000.0,-109684000.0,-448712000.0,-245871000.0
Net Issuance Payments Of Debt,157758000.0,113835000.0,-50121000.0,138357000.0
Net Long Term Debt Issuance,157758000.0,113835000.0,-50121000.0,138357000.0
Long Term Debt Payments,-3082536000.0,-1934597000.0,-1989041000.0,-2091643000.0
Long Term Debt Issuance,3240294000.0,2048432000.0,1938920000.0,2230000000.0
Investing Cash Flow,-113256000.0,-133048000.0,-738848000.0,-785753000.0
Cash Flow From Continuing Investing Activities,-113256000.0,-133048000.0,-738848000.0,-785753000.0
Net Other Investing Changes,257449000.0,193156000.0,51862000.0,123178000.0
Interest Received Cfi,155179000.0,131331000.0,125004000.0,171556000.0
Dividends Received Cfi,2795000.0,47000.0,135000.0,166000.0
Net Investment Purchase And Sale,-84333000.0,124200000.0,-73210000.0,-3987000.0
Sale Of Investment,0.0,124200000.0,6485000.0,1354000.0
Purchase Of Investment,-84333000.0,,-79695000.0,-5341000.0
Net Business Purchase And Sale,-37556000.0,-950000.0,-17640000.0,0.0
Sale Of Business,1000000.0,1000000.0,0.0,0.0
Purchase Of Business,-38556000.0,-1950000.0,-17640000.0,0.0
Net Intangibles Purchase And Sale,-169591000.0,-166283000.0,-287480000.0,-500147000.0
Purchase Of Intangibles,-169591000.0,-166283000.0,-287480000.0,-500147000.0
Net PPE Purchase And Sale,-237199000.0,-414549000.0,-537519000.0,-576519000.0
Sale Of PPE,643000.0,16417000.0,34528000.0,8157000.0
Purchase Of PPE,-237842000.0,-430966000.0,-572047000.0,-584676000.0
Operating Cash Flow,1226038000.0,-119419000.0,504556000.0,1415368000.0
Cash Flow From Continuing Operating Activities,1226038000.0,-119419000.0,504556000.0,1415368000.0
Taxes Refund Paid,-109905000.0,-21010000.0,-170720000.0,-234876000.0
Change In Working Capital,352821000.0,-962954000.0,-243305000.0,315042000.0
Change In Payables And Accrued Expense,1090875000.0,-1141397000.0,-802738000.0,2241327000.0
Change In Payable,1090875000.0,-1141397000.0,-802738000.0,2241327000.0
Change In Inventory,221649000.0,185854000.0,-741037000.0,-1687714000.0
Change In Receivables,-959703000.0,-7411000.0,1300470000.0,-238571000.0
Other Non Cash Items,-601801000.0,-557832000.0,-468484000.0,-225593000.0
Unrealized Gain Loss On Investment Securities,0.0,0.0,-138000.0,1196000.0
Provisionand Write Offof Assets,414021000.0,312247000.0,283347000.0,11323000.0
Asset Impairment Charge,120275000.0,75989000.0,906000.0,25092000.0
Depreciation Amortization Depletion,665065000.0,624692000.0,573596000.0,494607000.0
Depreciation And Amortization,665065000.0,624692000.0,573596000.0,494607000.0
Amortization Cash Flow,109913000.0,64939000.0,38957000.0,1012000.0
Amortization Of Intangibles,109913000.0,64939000.0,38957000.0,1012000.0
Depreciation,555152000.0,559753000.0,534639000.0,493595000.0
Operating Gains Losses,-185790000.0,14723000.0,77644000.0,56713000.0
Earnings Losses From Equity Investments,-62078000.0,25473000.0,90479000.0,58096000.0
Gain Loss On Investment Securities,,-13000.0,-168000.0,-1165000.0
Net Foreign Currency Exchange Gain Loss,-2260000.0,-273000.0,3271000.0,-1827000.0
Gain Loss On Sale Of PPE,-8410000.0,-10464000.0,-15938000.0,-2574000.0
Gain Loss On Sale Of Business,-113042000.0,0.0,0.0,58970000.0
Net Income From Continuing Operations,571352000.0,394726000.0,451710000.0,971864000.0
