,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,,200000.0,,
Ordinary Shares Number,48971026.0,48334280.0,49616154.0,39837058.0
Share Issued,48971026.0,48334280.0,49616154.0,39837058.0
Net Debt,333691000.0,370528000.0,266156000.0,79383000.0
Total Debt,416003000.0,435908000.0,427055000.0,130919000.0
Tangible Book Value,159963000.0,195437000.0,283172000.0,20664000.0
Invested Capital,842785000.0,944686000.0,1036810000.0,496110000.0
Working Capital,489502000.0,563325000.0,650871000.0,112137000.0
Net Tangible Assets,186238000.0,213712000.0,293447000.0,23508000.0
Capital Lease Obligations,35966000.0,28785000.0,21798000.0,14663000.0
Common Stock Equity,462748000.0,537563000.0,631553000.0,379854000.0
Preferred Stock Equity,26275000.0,18275000.0,10275000.0,2844000.0
Total Capitalization,868911000.0,962901000.0,1047085000.0,498954000.0
Total Equity Gross Minority Interest,489023000.0,555838000.0,641828000.0,382698000.0
Stockholders Equity,489023000.0,555838000.0,641828000.0,382698000.0
Gains Losses Not Affecting Retained Earnings,-26065000.0,-34549000.0,-1243000.0,5376000.0
Other Equity Adjustments,-26065000.0,-34549000.0,-1243000.0,5376000.0
Retained Earnings,-642419000.0,-542832000.0,-467541000.0,-192013000.0
Additional Paid In Capital,1131183000.0,1114896000.0,1100287000.0,566451000.0
Capital Stock,26324000.0,18323000.0,10325000.0,2884000.0
Common Stock,49000.0,48000.0,50000.0,40000.0
Preferred Stock,26275000.0,18275000.0,10275000.0,2844000.0
Total Liabilities Net Minority Interest,468721000.0,482908000.0,471142000.0,169707000.0
Total Non Current Liabilities Net Minority Interest,423111000.0,442057000.0,428497000.0,134687000.0
Other Non Current Liabilities,10098000.0,5128000.0,1027000.0,176000.0
Non Current Deferred Liabilities,2816000.0,4929000.0,4018000.0,5882000.0
Non Current Deferred Taxes Liabilities,2816000.0,4929000.0,4018000.0,5882000.0
Long Term Debt And Capital Lease Obligation,410197000.0,432000000.0,423452000.0,128629000.0
Long Term Capital Lease Obligation,30309000.0,24937000.0,18195000.0,12373000.0
Long Term Debt,379888000.0,407063000.0,405257000.0,116256000.0
Current Liabilities,45610000.0,40851000.0,42645000.0,35020000.0
Other Current Liabilities,92000.0,,,
Current Deferred Liabilities,1308000.0,439000.0,547000.0,445000.0
Current Deferred Revenue,1308000.0,439000.0,547000.0,445000.0
Current Debt And Capital Lease Obligation,5806000.0,3908000.0,3603000.0,2290000.0
Current Capital Lease Obligation,5657000.0,3848000.0,3603000.0,2290000.0
Current Debt,149000.0,60000.0,,
Other Current Borrowings,149000.0,60000.0,,
Pensionand Other Post Retirement Benefit Plans Current,2770000.0,2451000.0,1909000.0,1393000.0
Payables And Accrued Expenses,35634000.0,34053000.0,36586000.0,30892000.0
Current Accrued Expenses,8639000.0,6007000.0,8003000.0,6048000.0
Payables,26995000.0,28046000.0,28583000.0,24844000.0
Accounts Payable,26995000.0,28046000.0,28583000.0,24844000.0
Total Assets,957744000.0,1038746000.0,1112970000.0,552405000.0
Total Non Current Assets,422631000.0,434570000.0,419454000.0,405248000.0
Other Non Current Assets,,,419000.0,794000.0
Non Current Prepaid Assets,1680000.0,1017000.0,950000.0,1184000.0
Non Current Deferred Assets,656000.0,947000.0,419000.0,
Non Current Deferred Taxes Assets,656000.0,947000.0,419000.0,
Goodwill And Other Intangible Assets,302785000.0,342126000.0,348381000.0,359190000.0
Other Intangible Assets,194382000.0,191009000.0,201427000.0,213908000.0
Goodwill,108403000.0,151117000.0,146954000.0,145282000.0
Net PPE,117510000.0,90480000.0,69704000.0,44080000.0
Accumulated Depreciation,-36588000.0,-27335000.0,-19999000.0,-15511000.0
Gross PPE,154098000.0,117815000.0,89703000.0,59591000.0
Leases,33688000.0,27083000.0,21657000.0,4599000.0
Construction In Progress,24224000.0,15947000.0,8583000.0,8070000.0
Other Properties,55824000.0,45570000.0,35359000.0,25209000.0
Machinery Furniture Equipment,31019000.0,23076000.0,16993000.0,15127000.0
Buildings And Improvements,6652000.0,4473000.0,5808000.0,5359000.0
Land And Improvements,813000.0,813000.0,806000.0,790000.0
Current Assets,535112000.0,604176000.0,693516000.0,147157000.0
Other Current Assets,10077000.0,9317000.0,8804000.0,11928000.0
Prepaid Assets,,,8804000.0,11928000.0
Inventory,26206000.0,27678000.0,16501000.0,10535000.0
Receivables,42074000.0,43858000.0,39412000.0,31377000.0
Accounts Receivable,42074000.0,43858000.0,39412000.0,31377000.0
Allowance For Doubtful Accounts Receivable,-2000000.0,-1300000.0,-1200000.0,-1100000.0
Gross Accounts Receivable,44074000.0,45158000.0,40612000.0,32477000.0
Cash Cash Equivalents And Short Term Investments,456755000.0,523323000.0,628799000.0,93317000.0
Other Short Term Investments,410409000.0,486728000.0,489698000.0,56444000.0
Cash And Cash Equivalents,46346000.0,36595000.0,139101000.0,36873000.0
Cash Equivalents,5367000.0,1843000.0,111313000.0,11820000.0
Cash Financial,40979000.0,34752000.0,27788000.0,25053000.0
