,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-415749000.0,-310851000.0,-191394000.0,-2109000.0
Repayment Of Debt,-858000.0,-188925000.0,0.0,0.0
Issuance Of Debt,0.0,523586000.0,0.0,0.0
Issuance Of Capital Stock,164233000.0,0.0,312049000.0,225108000.0
Capital Expenditure,-1416000.0,-11335000.0,-48872000.0,-11052000.0
Interest Paid Supplemental Data,10295000.0,15165000.0,9175000.0,9620000.0
End Cash Position,113399000.0,67182000.0,112666000.0,82985000.0
Beginning Cash Position,67182000.0,112666000.0,82985000.0,36433000.0
Effect Of Exchange Rate Changes,-20000.0,0.0,0.0,
Changes In Cash,46237000.0,-45484000.0,29681000.0,46552000.0
Financing Cash Flow,221317000.0,516166000.0,319980000.0,234124000.0
Cash Flow From Continuing Financing Activities,221317000.0,516166000.0,319980000.0,234124000.0
Net Other Financing Charges,39483000.0,163962000.0,-4449000.0,-104000.0
Proceeds From Stock Option Exercised,18459000.0,17543000.0,12380000.0,9120000.0
Net Common Stock Issuance,164233000.0,0.0,312049000.0,225108000.0
Common Stock Issuance,164233000.0,0.0,312049000.0,225108000.0
Net Issuance Payments Of Debt,-858000.0,334661000.0,0.0,0.0
Net Long Term Debt Issuance,-858000.0,334661000.0,0.0,0.0
Long Term Debt Payments,-858000.0,-188925000.0,0.0,0.0
Long Term Debt Issuance,0.0,523586000.0,0.0,0.0
Investing Cash Flow,239253000.0,-262134000.0,-147777000.0,-196515000.0
Cash Flow From Continuing Investing Activities,239253000.0,-262134000.0,-147777000.0,-196515000.0
Net Investment Purchase And Sale,240669000.0,-250799000.0,-98905000.0,-185463000.0
Sale Of Investment,875880000.0,604594000.0,426137000.0,250362000.0
Purchase Of Investment,-635211000.0,-855393000.0,-525042000.0,-435825000.0
Net PPE Purchase And Sale,-1416000.0,-11335000.0,-48872000.0,-11052000.0
Sale Of PPE,,,,0.0
Purchase Of PPE,-1416000.0,-11335000.0,-48872000.0,-11052000.0
Operating Cash Flow,-414333000.0,-299516000.0,-142522000.0,8943000.0
Cash Flow From Continuing Operating Activities,-414333000.0,-299516000.0,-142522000.0,8943000.0
Change In Working Capital,3089000.0,-24704000.0,8456000.0,84896000.0
Change In Other Working Capital,,-87000000.0,,87000000.0
Change In Other Current Liabilities,-10991000.0,-2330000.0,47121000.0,-4692000.0
Change In Other Current Assets,,,,1242000.0
Change In Payables And Accrued Expense,13620000.0,15368000.0,16115000.0,7007000.0
Change In Accrued Expense,17103000.0,10844000.0,15060000.0,7117000.0
Change In Payable,-3483000.0,4524000.0,1055000.0,-110000.0
Change In Account Payable,-3483000.0,4524000.0,1055000.0,-110000.0
Change In Prepaid Assets,1596000.0,-7414000.0,-7381000.0,-5162000.0
Change In Receivables,-1136000.0,56672000.0,-47399000.0,743000.0
Changes In Account Receivables,-1136000.0,56672000.0,-47399000.0,743000.0
Other Non Cash Items,24830000.0,57676000.0,32384000.0,32459000.0
Stock Based Compensation,72065000.0,47853000.0,26832000.0,17620000.0
Asset Impairment Charge,0.0,0.0,2844000.0,0.0
Depreciation Amortization Depletion,11892000.0,5814000.0,2276000.0,1831000.0
Depreciation And Amortization,11892000.0,5814000.0,2276000.0,1831000.0
Depreciation,11892000.0,5814000.0,2276000.0,1831000.0
Operating Gains Losses,35000.0,2800000.0,,-573000.0
Gain Loss On Investment Securities,35000.0,107000.0,,-573000.0
Net Income From Continuing Operations,-526244000.0,-388955000.0,-215314000.0,-127290000.0
