,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,23920000.0,31606000.0,37588000.0,10880000.0
Repurchase Of Capital Stock,-265000.0,-1279000.0,-1374000.0,-2122000.0
Repayment Of Debt,0.0,-4725000.0,-26800000.0,-15000000.0
Issuance Of Debt,40000000.0,0.0,9869000.0,20000000.0
Issuance Of Capital Stock,,,,126000.0
Capital Expenditure,-2617000.0,-1634000.0,-1105000.0,-942000.0
Interest Paid Supplemental Data,44677000.0,10703000.0,7411000.0,8175000.0
Income Tax Paid Supplemental Data,5100000.0,6600000.0,5500000.0,4750000.0
End Cash Position,52818000.0,26211000.0,172833000.0,68707000.0
Beginning Cash Position,26211000.0,172833000.0,68707000.0,18520000.0
Changes In Cash,26607000.0,-146622000.0,104126000.0,50187000.0
Financing Cash Flow,-59395000.0,182590000.0,223665000.0,149099000.0
Cash Flow From Continuing Financing Activities,-59395000.0,182590000.0,223665000.0,149099000.0
Proceeds From Stock Option Exercised,34000.0,112000.0,0.0,126000.0
Cash Dividends Paid,-8503000.0,-7588000.0,-7383000.0,-6539000.0
Common Stock Dividend Paid,-8503000.0,-7588000.0,-7383000.0,-6539000.0
Net Common Stock Issuance,-265000.0,-1279000.0,-1374000.0,-2122000.0
Common Stock Payments,-265000.0,-1279000.0,-1374000.0,-2122000.0
Common Stock Issuance,,,,126000.0
Net Issuance Payments Of Debt,5431000.0,183288000.0,-14871000.0,-11280000.0
Net Short Term Debt Issuance,-34569000.0,188013000.0,2060000.0,-16280000.0
Net Long Term Debt Issuance,40000000.0,-4725000.0,-16931000.0,5000000.0
Long Term Debt Payments,0.0,-4725000.0,-26800000.0,-15000000.0
Long Term Debt Issuance,40000000.0,0.0,9869000.0,20000000.0
Investing Cash Flow,59465000.0,-362452000.0,-158232000.0,-110734000.0
Cash Flow From Continuing Investing Activities,59465000.0,-362452000.0,-158232000.0,-110734000.0
Net Other Investing Changes,1433000.0,1126000.0,-2549000.0,1805000.0
Net Investment Purchase And Sale,99180000.0,-84399000.0,-125199000.0,-49677000.0
Sale Of Investment,138553000.0,48837000.0,89707000.0,103045000.0
Purchase Of Investment,-39373000.0,-133236000.0,-214906000.0,-152722000.0
Net Business Purchase And Sale,3435000.0,-1123000.0,0.0,1022000.0
Sale Of Business,4905000.0,0.0,0.0,1022000.0
Purchase Of Business,-1470000.0,-1123000.0,0.0,0.0
Net PPE Purchase And Sale,-2617000.0,-1634000.0,-1105000.0,-942000.0
Sale Of PPE,,,0.0,0.0
Purchase Of PPE,-2617000.0,-1634000.0,-1105000.0,-942000.0
Operating Cash Flow,26537000.0,33240000.0,38693000.0,11822000.0
Cash Flow From Continuing Operating Activities,26537000.0,33240000.0,38693000.0,11822000.0
Change In Working Capital,696000.0,-1576000.0,458000.0,-1092000.0
Change In Payables And Accrued Expense,2181000.0,521000.0,-306000.0,-235000.0
Change In Payable,2181000.0,521000.0,-306000.0,-235000.0
Change In Account Payable,2181000.0,521000.0,-306000.0,-235000.0
Change In Receivables,-1485000.0,-2097000.0,764000.0,-857000.0
Changes In Account Receivables,-1485000.0,-2097000.0,764000.0,-857000.0
Other Non Cash Items,-246000.0,848000.0,4770000.0,-15290000.0
Stock Based Compensation,309000.0,336000.0,614000.0,473000.0
Amortization Of Securities,1581000.0,1889000.0,2215000.0,1155000.0
Deferred Tax,595000.0,-36000.0,689000.0,367000.0
Deferred Income Tax,595000.0,-36000.0,689000.0,367000.0
Depreciation Amortization Depletion,1520000.0,1033000.0,1113000.0,1138000.0
Depreciation And Amortization,1520000.0,1033000.0,1113000.0,1138000.0
Operating Gains Losses,-1257000.0,3000.0,-1834000.0,-2432000.0
Earnings Losses From Equity Investments,,,,41000.0
Gain Loss On Investment Securities,195000.0,261000.0,-551000.0,-264000.0
Net Income From Continuing Operations,17811000.0,29060000.0,29118000.0,25103000.0
