,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2872815.0,0.0,0.0,0.0
Tax Rate For Calcs,0.003,0.002,0.005,0.003
Normalized EBITDA,-488419000.0,-1504942000.0,-2276312000.0,-1497217000.0
Total Unusual Items,-957605000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-957605000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-1957543000.0,-2008005000.0,-2471127000.0,-1705176000.0
Reconciled Depreciation,515724000.0,496958000.0,192567000.0,201272000.0
Reconciled Cost Of Revenue,6530343000.0,5743010000.0,5139102000.0,4721311000.0
EBITDA,-1446024000.0,-1504942000.0,-2276312000.0,-1497217000.0
EBIT,-1961748000.0,-2001900000.0,-2468879000.0,-1698489000.0
Net Interest Income,-807000.0,-10946000.0,-13806000.0,-11830000.0
Interest Expense,807000.0,10946000.0,13806000.0,11830000.0
Interest Income,,,110954000.0,65596000.0
Normalized Income,-1002810815.0,-2008005000.0,-2471127000.0,-1705176000.0
Net Income From Continuing And Discontinued Operation,-1957543000.0,-2008005000.0,-2471127000.0,-1705176000.0
Total Expenses,11657175000.0,11487120000.0,9444969000.0,7504074000.0
Total Operating Income As Reported,-2108530000.0,-2119525000.0,-2578707000.0,-1764085000.0
Diluted Average Shares,260170098.0,253816422.0,237674389.0,166961211.0
Basic Average Shares,260170098.0,253816422.0,237674389.0,166961211.0
Diluted EPS,-7.52,-7.92,-10.4,-12.48
Basic EPS,-7.52,-7.92,-10.4,-12.48
Diluted NI Availto Com Stockholders,-1957543000.0,-2008005000.0,-2471127000.0,-2080825000.0
Net Income Common Stockholders,-1957543000.0,-2008005000.0,-2471127000.0,-2080825000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,375649000.0
Net Income,-1957543000.0,-2008005000.0,-2471127000.0,-1705176000.0
Net Income Including Noncontrolling Interests,-1957543000.0,-2008005000.0,-2471127000.0,-1705176000.0
Net Income Continuous Operations,-1957543000.0,-2008005000.0,-2471127000.0,-1705176000.0
Tax Provision,-5012000.0,-4841000.0,-11558000.0,-5143000.0
Pretax Income,-1962555000.0,-2012846000.0,-2482685000.0,-1710319000.0
Other Income Expense,-810823000.0,117625000.0,109828000.0,65596000.0
Other Non Operating Income Expenses,146782000.0,117625000.0,109828000.0,65596000.0
Special Income Charges,-957605000.0,0.0,0.0,
Impairment Of Capital Assets,957605000.0,0.0,0.0,
Gain On Sale Of Security,,,-1126000.0,
Net Non Operating Interest Income Expense,-807000.0,-10946000.0,-13806000.0,-11830000.0
Interest Expense Non Operating,807000.0,10946000.0,13806000.0,11830000.0
Interest Income Non Operating,,,110954000.0,65596000.0
Operating Income,-1150925000.0,-2119525000.0,-2578707000.0,-1764085000.0
Operating Expense,5126832000.0,5744110000.0,4305867000.0,2782763000.0
Other Operating Expenses,-16403000.0,-43498000.0,-96388000.0,6358000.0
Research And Development,416346000.0,630911000.0,573949000.0,428849000.0
Selling General And Administration,4726889000.0,5156697000.0,3828306000.0,2347556000.0
Selling And Marketing Expense,4474087000.0,4747926000.0,3427909000.0,1848730000.0
General And Administrative Expense,252802000.0,408771000.0,400397000.0,498826000.0
Other Gand A,252802000.0,408771000.0,400397000.0,498826000.0
Gross Profit,3975907000.0,3624585000.0,1727160000.0,1018678000.0
Cost Of Revenue,6530343000.0,5743010000.0,5139102000.0,4721311000.0
Total Revenue,10506250000.0,9367595000.0,6866262000.0,5739989000.0
Operating Revenue,10506250000.0,9367595000.0,6866262000.0,5739989000.0
