,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,478465.0,478465.0,478465.0,478465.0
Ordinary Shares Number,5352490.0,5352490.0,5352490.0,5352549.0
Share Issued,5830955.0,5830955.0,5830955.0,5831014.0
Total Debt,16924000.0,16546000.0,19181000.0,21890000.0
Tangible Book Value,2958000.0,12363000.0,42577000.0,46344000.0
Invested Capital,2958000.0,12363000.0,42577000.0,46408000.0
Working Capital,13010000.0,25166000.0,48610000.0,56622000.0
Net Tangible Assets,2958000.0,12363000.0,42577000.0,46344000.0
Capital Lease Obligations,16924000.0,16546000.0,19181000.0,21890000.0
Common Stock Equity,2958000.0,12363000.0,42577000.0,46408000.0
Total Capitalization,2958000.0,12363000.0,42577000.0,46408000.0
Total Equity Gross Minority Interest,2958000.0,12363000.0,42577000.0,46408000.0
Stockholders Equity,2958000.0,12363000.0,42577000.0,46408000.0
Gains Losses Not Affecting Retained Earnings,-40247000.0,-41380000.0,-32406000.0,-32468000.0
Other Equity Adjustments,-40247000.0,-41380000.0,-32406000.0,-32468000.0
Treasury Stock,13443000.0,13443000.0,13443000.0,13443000.0
Retained Earnings,-437973000.0,-427435000.0,-406195000.0,-402303000.0
Additional Paid In Capital,494563000.0,494563000.0,494563000.0,494389000.0
Capital Stock,58000.0,58000.0,58000.0,233000.0
Common Stock,58000.0,58000.0,58000.0,233000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,59276000.0,59902000.0,62875000.0,76807000.0
Total Non Current Liabilities Net Minority Interest,35353000.0,37143000.0,34957000.0,45323000.0
Other Non Current Liabilities,80000.0,160000.0,152000.0,3541000.0
Employee Benefits,18349000.0,20437000.0,15624000.0,19892000.0
Non Current Pension And Other Postretirement Benefit Plans,18349000.0,20437000.0,15624000.0,19892000.0
Long Term Debt And Capital Lease Obligation,16924000.0,16546000.0,19181000.0,21890000.0
Long Term Capital Lease Obligation,16924000.0,16546000.0,19181000.0,21890000.0
Current Liabilities,23923000.0,22759000.0,27918000.0,31484000.0
Current Deferred Liabilities,9511000.0,9504000.0,10592000.0,12896000.0
Current Deferred Revenue,9511000.0,9504000.0,10592000.0,12896000.0
Pensionand Other Post Retirement Benefit Plans Current,3901000.0,4154000.0,4932000.0,5754000.0
Payables And Accrued Expenses,10511000.0,9101000.0,12394000.0,12834000.0
Current Accrued Expenses,6548000.0,4060000.0,4573000.0,5075000.0
Payables,3963000.0,5041000.0,7821000.0,7759000.0
Accounts Payable,3963000.0,5041000.0,7821000.0,7759000.0
Total Assets,62234000.0,72265000.0,105452000.0,123215000.0
Total Non Current Assets,25301000.0,24340000.0,28924000.0,35109000.0
Other Non Current Assets,1790000.0,1809000.0,2197000.0,2604000.0
Non Current Deferred Assets,271000.0,282000.0,257000.0,76000.0
Non Current Deferred Taxes Assets,271000.0,282000.0,257000.0,76000.0
Non Current Note Receivables,,,,0.0
Goodwill And Other Intangible Assets,,,0.0,64000.0
Other Intangible Assets,,,,64000.0
Net PPE,23240000.0,22249000.0,26470000.0,32365000.0
Accumulated Depreciation,-300337000.0,-306002000.0,-304157000.0,-300573000.0
Gross PPE,323577000.0,328251000.0,330627000.0,332938000.0
Construction In Progress,225000.0,773000.0,741000.0,139000.0
Other Properties,235663000.0,239793000.0,242515000.0,245360000.0
Buildings And Improvements,85718000.0,85714000.0,85400000.0,85468000.0
Land And Improvements,1971000.0,1971000.0,1971000.0,1971000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,36933000.0,47925000.0,76528000.0,88106000.0
Other Current Assets,2602000.0,3352000.0,3485000.0,4780000.0
Prepaid Assets,,,3485000.0,4780000.0
Inventory,1930000.0,2725000.0,2192000.0,1974000.0
Receivables,9923000.0,14023000.0,38412000.0,39337000.0
Notes Receivable,,0.0,22400000.0,22775000.0
Accounts Receivable,9923000.0,14023000.0,16012000.0,16562000.0
Allowance For Doubtful Accounts Receivable,-207000.0,-490000.0,-551000.0,-712000.0
Gross Accounts Receivable,10130000.0,14513000.0,16563000.0,17274000.0
Cash Cash Equivalents And Short Term Investments,22478000.0,27825000.0,32439000.0,42015000.0
Other Short Term Investments,10781000.0,0.0,,
Cash And Cash Equivalents,11697000.0,27825000.0,32439000.0,42015000.0
Cash Financial,11697000.0,27825000.0,32439000.0,42015000.0
