,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-1174000.0,-13933000.0,-5760000.0,-1490000.0
Repurchase Of Capital Stock,,0.0,-1000.0,0.0
Income Tax Paid Supplemental Data,594000.0,619000.0,666000.0,
End Cash Position,11697000.0,27825000.0,32439000.0,42015000.0
Beginning Cash Position,27825000.0,32439000.0,42015000.0,48626000.0
Changes In Cash,-16128000.0,-4614000.0,-9576000.0,-6611000.0
Financing Cash Flow,-3426000.0,-11454000.0,-3426000.0,-5139000.0
Cash Flow From Continuing Financing Activities,-3426000.0,-11454000.0,-3426000.0,-5139000.0
Cash Dividends Paid,-3426000.0,-11454000.0,-3425000.0,-5139000.0
Common Stock Dividend Paid,-3426000.0,-11454000.0,-3425000.0,-5139000.0
Net Common Stock Issuance,,0.0,-1000.0,0.0
Common Stock Payments,,0.0,-1000.0,0.0
Investing Cash Flow,-11528000.0,20773000.0,-390000.0,18000.0
Cash Flow From Continuing Investing Activities,-11528000.0,20773000.0,-390000.0,18000.0
Net Other Investing Changes,-1148000.0,20773000.0,-390000.0,-732000.0
Net Investment Purchase And Sale,-10380000.0,0.0,0.0,750000.0
Sale Of Investment,120000.0,0.0,0.0,750000.0
Purchase Of Investment,-10500000.0,0.0,,
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Operating Cash Flow,-1174000.0,-13933000.0,-5760000.0,-1490000.0
Cash Flow From Continuing Operating Activities,-1174000.0,-13933000.0,-5760000.0,-1490000.0
Change In Working Capital,5874000.0,-3217000.0,-2458000.0,2160000.0
Change In Other Working Capital,-302000.0,-1937000.0,-3191000.0,-896000.0
Change In Other Current Assets,19000.0,388000.0,407000.0,1026000.0
Change In Payables And Accrued Expense,447000.0,-2950000.0,-1117000.0,70000.0
Change In Accrued Expense,1525000.0,-170000.0,-1179000.0,-1586000.0
Change In Payable,-1078000.0,-2780000.0,62000.0,1656000.0
Change In Account Payable,-1078000.0,-2780000.0,62000.0,1656000.0
Change In Inventory,1545000.0,-400000.0,1077000.0,881000.0
Change In Receivables,4165000.0,1682000.0,366000.0,1079000.0
Changes In Account Receivables,4165000.0,1682000.0,366000.0,1079000.0
Provisionand Write Offof Assets,-102000.0,9000.0,-3025000.0,258000.0
Asset Impairment Charge,-65000.0,409000.0,416000.0,988000.0
Deferred Tax,11000.0,-25000.0,-180000.0,-26000.0
Deferred Income Tax,11000.0,-25000.0,-180000.0,-26000.0
Depreciation Amortization Depletion,1520000.0,2709000.0,4066000.0,7271000.0
Depreciation And Amortization,1520000.0,2709000.0,4066000.0,7271000.0
Depreciation,1520000.0,2709000.0,,
Operating Gains Losses,-1300000.0,-4032000.0,-4112000.0,-5269000.0
Pension And Employee Benefit Expense,-899000.0,-4090000.0,-4141000.0,-4627000.0
Gain Loss On Investment Securities,-401000.0,,,-732000.0
Net Income From Continuing Operations,-7112000.0,-9786000.0,-467000.0,-6872000.0
