,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,,0.0,0.0,0.0
Tax Rate For Calcs,,0.0,0.0,0.0
Normalized EBITDA,,-9924737.0,-10789494.0,-1053376.0
Total Unusual Items,,-1024428.0,6127.0,143353.0
Total Unusual Items Excluding Goodwill,,-1024428.0,6127.0,143353.0
Net Income From Continuing Operation Net Minority Interest,,-12138572.0,-10829034.0,-979470.0
Reconciled Depreciation,,177284.0,45540.0,23948.0
Reconciled Cost Of Revenue,4760180.0,6551776.0,2963294.0,494002.0
EBITDA,,-10949165.0,-10783367.0,-910023.0
EBIT,,-11126449.0,-10828907.0,-933971.0
Net Interest Income,,12305.0,3389.0,-45392.0
Interest Expense,,0.0,127.0,45499.0
Interest Income,,12305.0,3516.0,107.0
Normalized Income,,-11114144.0,-10835161.0,-1122823.0
Net Income From Continuing And Discontinued Operation,,-12138572.0,-10829034.0,-979470.0
Total Expenses,,11172663.0,10842995.0,1084431.0
Total Operating Income As Reported,,-12226725.0,-10838550.0,
Diluted Average Shares,2028584.0,2010427.0,1533433.0,1628065.0
Basic Average Shares,2028584.0,2010427.0,1533433.0,1628065.0
Diluted EPS,-4.14,-6.04,-7.1,-0.601616
Basic EPS,-4.14,-6.04,-7.1,-0.601616
Diluted NI Availto Com Stockholders,,-12138572.0,-10829034.0,-979470.0
Net Income Common Stockholders,,-12138572.0,-10829034.0,-979470.0
Net Income,,-12138572.0,-10829034.0,-979470.0
Net Income Including Noncontrolling Interests,,-12138572.0,-10829034.0,-979470.0
Net Income Continuous Operations,,-12138572.0,-10829034.0,-979470.0
Pretax Income,,-12138572.0,-10829034.0,-979470.0
Other Income Expense,,-1024428.0,6127.0,150353.0
Other Non Operating Income Expenses,,,,7000.0
Special Income Charges,,-1100276.0,6127.0,143353.0
Other Special Charges,,,-6127.0,-143353.0
Impairment Of Capital Assets,,1100276.0,0.0,
Gain On Sale Of Security,,75848.0,,
Net Non Operating Interest Income Expense,,12305.0,3389.0,-45392.0
Interest Expense Non Operating,,0.0,127.0,45499.0
Interest Income Non Operating,,12305.0,3516.0,107.0
Operating Income,,-11126449.0,-10838550.0,-1084431.0
Operating Expense,3957471.0,4620887.0,7879701.0,590429.0
Research And Development,,514957.0,0.0,
Selling General And Administration,2606056.0,4105930.0,7879701.0,590429.0
Selling And Marketing Expense,,828736.0,5090763.0,220881.0
General And Administrative Expense,2217612.0,3277194.0,2788938.0,369548.0
Other Gand A,,3277194.0,2788938.0,369548.0
Salaries And Wages,,6551776.0,2963294.0,494002.0
Gross Profit,-4759508.0,-6505562.0,-2958849.0,-494002.0
Cost Of Revenue,4760180.0,6551776.0,2963294.0,494002.0
Total Revenue,,46214.0,4445.0,0.0
Operating Revenue,,46214.0,4445.0,0.0
