,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,87227132.0,73458176.0,61952292.0,60337415.0
Share Issued,87227132.0,73458176.0,61952292.0,60337415.0
Total Debt,408000.0,813000.0,220000.0,402000.0
Tangible Book Value,346540000.0,332039000.0,281148000.0,-54205000.0
Invested Capital,346540000.0,332039000.0,281148000.0,-54205000.0
Working Capital,345766000.0,331259000.0,280711000.0,43075000.0
Net Tangible Assets,346540000.0,332039000.0,281148000.0,-54205000.0
Capital Lease Obligations,408000.0,813000.0,220000.0,402000.0
Common Stock Equity,346540000.0,332039000.0,281148000.0,-54205000.0
Preferred Stock Equity,,,,5702000.0
Total Capitalization,346540000.0,332039000.0,281148000.0,-54205000.0
Total Equity Gross Minority Interest,346540000.0,332039000.0,281148000.0,-48503000.0
Minority Interest,,,0.0,5702000.0
Stockholders Equity,346540000.0,332039000.0,281148000.0,-54205000.0
Other Equity Interest,,,,637000.0
Gains Losses Not Affecting Retained Earnings,9000.0,-71000.0,0.0,
Other Equity Adjustments,9000.0,-71000.0,,
Retained Earnings,-458585000.0,-269668000.0,-127487000.0,-56842000.0
Additional Paid In Capital,805107000.0,601771000.0,408629000.0,0.0
Capital Stock,9000.0,7000.0,6000.0,2000000.0
Common Stock,9000.0,7000.0,6000.0,2000000.0
Preferred Stock,,,0.0,0.0
Total Liabilities Net Minority Interest,29508000.0,17023000.0,8673000.0,94164000.0
Total Non Current Liabilities Net Minority Interest,0.0,408000.0,16000.0,92168000.0
Preferred Securities Outside Stock Equity,,,,91964000.0
Long Term Debt And Capital Lease Obligation,0.0,408000.0,16000.0,204000.0
Long Term Capital Lease Obligation,0.0,408000.0,16000.0,204000.0
Current Liabilities,29508000.0,16615000.0,8657000.0,1996000.0
Other Current Liabilities,1041000.0,179000.0,104000.0,27000.0
Current Debt And Capital Lease Obligation,408000.0,405000.0,204000.0,198000.0
Current Capital Lease Obligation,408000.0,405000.0,204000.0,198000.0
Payables And Accrued Expenses,28059000.0,16031000.0,8349000.0,1771000.0
Current Accrued Expenses,25483000.0,15771000.0,6605000.0,1569000.0
Payables,2576000.0,260000.0,1744000.0,202000.0
Accounts Payable,2576000.0,260000.0,1744000.0,202000.0
Total Assets,376048000.0,349062000.0,289821000.0,45661000.0
Total Non Current Assets,774000.0,1188000.0,453000.0,590000.0
Other Non Current Assets,214000.0,469000.0,169000.0,107000.0
Non Current Prepaid Assets,,469000.0,169000.0,107000.0
Net PPE,560000.0,719000.0,284000.0,483000.0
Accumulated Depreciation,,-6000.0,-36000.0,-16000.0
Gross PPE,560000.0,719000.0,320000.0,499000.0
Leases,,26000.0,15000.0,15000.0
Other Properties,560000.0,719000.0,227000.0,406000.0
Machinery Furniture Equipment,,0.0,78000.0,78000.0
Properties,,0.0,0.0,0.0
Current Assets,375274000.0,347874000.0,289368000.0,45071000.0
Other Current Assets,2352000.0,1006000.0,1015000.0,43000.0
Prepaid Assets,6575000.0,4599000.0,4044000.0,1300000.0
Cash Cash Equivalents And Short Term Investments,366347000.0,342269000.0,284309000.0,43728000.0
Other Short Term Investments,135563000.0,257007000.0,0.0,
Cash And Cash Equivalents,230784000.0,85262000.0,284309000.0,43728000.0
Cash Financial,,,,43728000.0
