,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,42560000.0,32882000.0,22169000.0,22169000.0
Ordinary Shares Number,57223733.0,63654000.0,73357000.0,72399000.0
Share Issued,99783733.0,96536000.0,95526000.0,94568000.0
Net Debt,377921000.0,222269000.0,152845000.0,275238000.0
Total Debt,1239786000.0,1102533000.0,1021193000.0,1257340000.0
Tangible Book Value,152634000.0,303920000.0,303214000.0,133727000.0
Invested Capital,786314000.0,713936000.0,637932000.0,577836000.0
Working Capital,155161000.0,153805000.0,155299000.0,27902000.0
Net Tangible Assets,152634000.0,303920000.0,303214000.0,133727000.0
Capital Lease Obligations,812692000.0,821498000.0,795657000.0,922521000.0
Common Stock Equity,359220000.0,432901000.0,412396000.0,243017000.0
Total Capitalization,779564000.0,713936000.0,637932000.0,515336000.0
Total Equity Gross Minority Interest,362508000.0,436056000.0,412396000.0,243017000.0
Minority Interest,3288000.0,3155000.0,0.0,
Stockholders Equity,359220000.0,432901000.0,412396000.0,243017000.0
Gains Losses Not Affecting Retained Earnings,-5639000.0,-5350000.0,-3617000.0,-3286000.0
Other Equity Adjustments,-5639000.0,-5350000.0,-3617000.0,-3286000.0
Treasury Stock,764802000.0,662614000.0,515065000.0,515065000.0
Retained Earnings,98896000.0,81993000.0,-74304000.0,-228785000.0
Additional Paid In Capital,,,,990153000.0
Capital Stock,1030765000.0,1018872000.0,1005382000.0,990153000.0
Common Stock,1030765000.0,1018872000.0,1005382000.0,990153000.0
Total Liabilities Net Minority Interest,1713724000.0,1573562000.0,1602238000.0,1733578000.0
Total Non Current Liabilities Net Minority Interest,1091453000.0,937436000.0,843321000.0,980895000.0
Other Non Current Liabilities,24948000.0,24989000.0,24356000.0,30841000.0
Long Term Debt And Capital Lease Obligation,1066505000.0,912447000.0,818965000.0,950054000.0
Long Term Capital Lease Obligation,646161000.0,631412000.0,593429000.0,677735000.0
Long Term Debt,420344000.0,281035000.0,225536000.0,272319000.0
Current Liabilities,622271000.0,636126000.0,758917000.0,752683000.0
Current Deferred Liabilities,47633000.0,52021000.0,52519000.0,45821000.0
Current Deferred Revenue,47633000.0,52021000.0,52519000.0,45821000.0
Current Debt And Capital Lease Obligation,173281000.0,190086000.0,202228000.0,307286000.0
Current Capital Lease Obligation,166531000.0,190086000.0,202228000.0,244786000.0
Current Debt,6750000.0,,,62500000.0
Other Current Borrowings,6750000.0,,,62500000.0
Pensionand Other Post Retirement Benefit Plans Current,19342000.0,45019000.0,41603000.0,49864000.0
Current Provisions,19569000.0,19337000.0,20671000.0,21912000.0
Payables And Accrued Expenses,362446000.0,329663000.0,441896000.0,327800000.0
Current Accrued Expenses,49944000.0,54880000.0,72692000.0,58523000.0
Payables,312502000.0,274783000.0,369204000.0,269277000.0
Total Tax Payable,23134000.0,19419000.0,28327000.0,24206000.0
Accounts Payable,289368000.0,255364000.0,340877000.0,245071000.0
Total Assets,2076232000.0,2009618000.0,2014634000.0,1976595000.0
Total Non Current Assets,1298800000.0,1219687000.0,1100418000.0,1196010000.0
Other Non Current Assets,49016000.0,42798000.0,31295000.0,31172000.0
Non Current Deferred Assets,39067000.0,48285000.0,356000.0,0.0
Non Current Deferred Taxes Assets,39067000.0,48285000.0,356000.0,0.0
Investments And Advances,62857000.0,63820000.0,55578000.0,58598000.0
Long Term Equity Investment,62857000.0,63820000.0,55578000.0,58598000.0
Goodwill And Other Intangible Assets,206586000.0,128981000.0,109182000.0,109290000.0
Other Intangible Assets,82827000.0,31866000.0,15527000.0,15635000.0
Goodwill,123759000.0,97115000.0,93655000.0,93655000.0
Net PPE,941274000.0,935803000.0,904007000.0,996950000.0
Accumulated Depreciation,-939931000.0,-889582000.0,-894190000.0,-840372000.0
Gross PPE,1881205000.0,1825385000.0,1798197000.0,1837322000.0
Construction In Progress,10541000.0,21368000.0,17239000.0,10659000.0
Other Properties,721335000.0,700373000.0,647221000.0,700481000.0
Machinery Furniture Equipment,688019000.0,655091000.0,672984000.0,665650000.0
Buildings And Improvements,460200000.0,447443000.0,459643000.0,459422000.0
Land And Improvements,1110000.0,1110000.0,1110000.0,1110000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,777432000.0,789931000.0,914216000.0,780585000.0
Other Current Assets,73338000.0,47750000.0,55270000.0,51772000.0
Prepaid Assets,,,55270000.0,51772000.0
Inventory,571331000.0,605652000.0,586429000.0,473183000.0
Receivables,83590000.0,77763000.0,199826000.0,196049000.0
Receivables Adjustments Allowances,-484000.0,-312000.0,-1132000.0,-1194000.0
Other Receivables,13093000.0,9274000.0,8026000.0,12865000.0
Taxes Receivable,44476000.0,44021000.0,162240000.0,149824000.0
Accounts Receivable,26505000.0,24780000.0,30692000.0,34554000.0
Cash Cash Equivalents And Short Term Investments,49173000.0,58766000.0,72691000.0,59581000.0
Other Short Term Investments,,,,0.0
Cash And Cash Equivalents,49173000.0,58766000.0,72691000.0,59581000.0
