,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,45573912.0,14909153.0,-52207026.0,23906007.0,
Net Interest Income,17478234.0,8222733.0,19592211.0,25242528.0,
Interest Expense,2606049.0,2894412.0,929204.0,620732.0,
Interest Income,20084283.0,11117145.0,20521415.0,25863260.0,
Normalized Income,45573912.0,14909153.0,-52207026.0,23906007.0,
Net Income From Continuing And Discontinued Operation,45573912.0,14909153.0,-52207026.0,23906007.0,
Diluted Average Shares,,16205601.0,15630846.0,14941254.0,14328700.0
Basic Average Shares,,16205601.0,15630846.0,14941254.0,14328700.0
Diluted EPS,,0.92,-3.34,1.6,0.13
Basic EPS,,0.92,-3.34,1.6,0.13
Diluted NI Availto Com Stockholders,45573912.0,14909153.0,-52207026.0,23906007.0,
Net Income Common Stockholders,45573912.0,14909153.0,-52207026.0,23906007.0,
Net Income,45573912.0,14909153.0,-52207026.0,23906007.0,
Net Income Including Noncontrolling Interests,45573912.0,14909153.0,-52207026.0,23906007.0,
Net Income Continuous Operations,45573912.0,14909153.0,-52207026.0,23906007.0,
Pretax Income,45573912.0,14909153.0,-52207026.0,23906007.0,
Gain On Sale Of Security,-751944.0,-3776695.0,-2398473.0,3640265.0,
Operating Expense,726893.0,518611.0,537597.0,660132.0,
Other Operating Expenses,,,,,881.0
Selling General And Administration,726893.0,518611.0,537597.0,660132.0,
General And Administrative Expense,726893.0,518611.0,537597.0,660132.0,
Total Revenue,46300805.0,15427764.0,-51669429.0,24566139.0,
Operating Revenue,46300805.0,15427764.0,-51669429.0,24566139.0,
