,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,222988.0,149793.0,153631.0,102302.0
Ordinary Shares Number,96208782.0,93987352.0,54942131.0,54826885.0
Share Issued,96431770.0,94137145.0,55095762.0,54929187.0
Total Debt,6553000.0,4152000.0,11985000.0,16470000.0
Tangible Book Value,140128000.0,194444000.0,99253000.0,205449000.0
Invested Capital,141069000.0,195585000.0,101110000.0,207756000.0
Working Capital,121576000.0,193553000.0,82989000.0,154662000.0
Net Tangible Assets,140128000.0,194444000.0,99253000.0,205449000.0
Capital Lease Obligations,5670000.0,3021000.0,10150000.0,14204000.0
Common Stock Equity,140186000.0,194454000.0,99275000.0,205490000.0
Total Capitalization,140186000.0,194454000.0,99275000.0,206033000.0
Total Equity Gross Minority Interest,140187000.0,194453000.0,99274000.0,205491000.0
Stockholders Equity,140186000.0,194454000.0,99275000.0,205490000.0
Gains Losses Not Affecting Retained Earnings,-8129000.0,-13800000.0,-5618000.0,6642000.0
Other Equity Adjustments,742000.0,781000.0,519000.0,484000.0
Foreign Currency Translation Adjustments,-8871000.0,-14581000.0,-6137000.0,6158000.0
Treasury Stock,1263000.0,1109000.0,1232000.0,1169000.0
Retained Earnings,-238862000.0,-259578000.0,-258528000.0,-958543000.0
Additional Paid In Capital,377468000.0,458221000.0,358115000.0,1152042000.0
Capital Stock,10972000.0,10720000.0,6538000.0,6518000.0
Common Stock,10972000.0,10720000.0,6538000.0,6518000.0
Total Liabilities Net Minority Interest,42799000.0,52065000.0,47449000.0,66755000.0
Total Non Current Liabilities Net Minority Interest,5460000.0,22544000.0,16052000.0,14042000.0
Other Non Current Liabilities,934000.0,21417000.0,8905000.0,3003000.0
Long Term Debt And Capital Lease Obligation,4526000.0,1127000.0,7147000.0,11039000.0
Long Term Capital Lease Obligation,4526000.0,1127000.0,7147000.0,10496000.0
Long Term Debt,,,,543000.0
Current Liabilities,37339000.0,29521000.0,31397000.0,52713000.0
Other Current Liabilities,11787000.0,9817000.0,10802000.0,21677000.0
Current Deferred Liabilities,0.0,2137000.0,4146000.0,4687000.0
Current Deferred Revenue,0.0,2137000.0,4146000.0,4687000.0
Current Debt And Capital Lease Obligation,2027000.0,3025000.0,4838000.0,5431000.0
Current Capital Lease Obligation,1144000.0,1894000.0,3003000.0,3708000.0
Current Debt,883000.0,1131000.0,1835000.0,1723000.0
Other Current Borrowings,883000.0,1131000.0,1835000.0,1723000.0
Payables And Accrued Expenses,23525000.0,14542000.0,11611000.0,20918000.0
Payables,23525000.0,14542000.0,11611000.0,20918000.0
Total Tax Payable,223000.0,69000.0,182000.0,580000.0
Accounts Payable,23302000.0,14473000.0,11429000.0,20338000.0
Total Assets,182986000.0,246518000.0,146723000.0,272246000.0
Total Non Current Assets,24071000.0,23444000.0,32338000.0,64871000.0
Other Non Current Assets,6144000.0,3740000.0,3970000.0,4298000.0
Non Current Prepaid Assets,,1773000.0,2665000.0,2704000.0
Non Current Accounts Receivable,,312000.0,199000.0,22931000.0
Investments And Advances,,1773000.0,2665000.0,2704000.0
Investmentin Financial Assets,,1773000.0,2665000.0,2704000.0
Available For Sale Securities,,1773000.0,2665000.0,2704000.0
Goodwill And Other Intangible Assets,58000.0,10000.0,22000.0,41000.0
Net PPE,17869000.0,17609000.0,25482000.0,34897000.0
Accumulated Depreciation,-18954000.0,-14788000.0,-13799000.0,-16690000.0
Gross PPE,36823000.0,32397000.0,39281000.0,51587000.0
Construction In Progress,1433000.0,4468000.0,4390000.0,7828000.0
Other Properties,30086000.0,22972000.0,28770000.0,33176000.0
Machinery Furniture Equipment,1977000.0,1743000.0,2163000.0,2816000.0
Buildings And Improvements,3327000.0,3214000.0,3958000.0,7767000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,158915000.0,223074000.0,114386000.0,207375000.0
Other Current Assets,-1000.0,1000.0,1000.0,1000.0
Prepaid Assets,2103000.0,2680000.0,4149000.0,3162000.0
Inventory,,,,0.0
Inventories Adjustments Allowances,,,,-11720000.0
Other Inventories,,,,1000.0
Work In Process,,,,11591000.0
Raw Materials,,,,128000.0
Receivables,15446000.0,11199000.0,32935000.0,7860000.0
Other Receivables,1353000.0,1504000.0,1282000.0,581000.0
Taxes Receivable,14093000.0,9695000.0,31653000.0,5049000.0
Accounts Receivable,0.0,0.0,0.0,2230000.0
Cash Cash Equivalents And Short Term Investments,141367000.0,209194000.0,77301000.0,196352000.0
Cash And Cash Equivalents,141367000.0,209194000.0,77301000.0,196352000.0
Cash Equivalents,130826000.0,179090000.0,45874000.0,154011000.0
Cash Financial,10530000.0,30104000.0,31427000.0,42341000.0
