,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-74348100.0,23372109.0,-8604965.0,-16970938.0
Repurchase Of Capital Stock,0.0,-3731712.0,-479331.0,0.0
Repayment Of Debt,-4296479.0,-3936600.0,-10821135.0,-2278093.0
Issuance Of Debt,25000000.0,0.0,8000000.0,0.0
Issuance Of Capital Stock,0.0,0.0,178102313.0,0.0
Capital Expenditure,-10126222.0,-5497792.0,-6657545.0,-6316246.0
Interest Paid Supplemental Data,850339.0,756601.0,840748.0,1049114.0
Income Tax Paid Supplemental Data,4251658.0,1505235.0,615697.0,117443.0
End Cash Position,72217986.0,164109074.0,179105730.0,34457273.0
Beginning Cash Position,164109074.0,179105730.0,34457273.0,51767735.0
Effect Of Exchange Rate Changes,1093633.0,761232.0,-21414.0,196345.0
Changes In Cash,-92984721.0,-15757888.0,144669871.0,-17506807.0
Financing Cash Flow,1118687.0,-6179818.0,155206476.0,-812093.0
Cash Flow From Continuing Financing Activities,1118687.0,-6179818.0,155206476.0,-812093.0
Net Other Financing Charges,-21166017.0,-492091.0,-20223963.0,1466000.0
Proceeds From Stock Option Exercised,1581183.0,1980585.0,628592.0,0.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Issuance,,,,0.0
Net Common Stock Issuance,0.0,-3731712.0,177622982.0,0.0
Common Stock Payments,0.0,-3731712.0,-479331.0,0.0
Common Stock Issuance,0.0,0.0,178102313.0,0.0
Net Issuance Payments Of Debt,20703521.0,-3936600.0,-2821135.0,-2278093.0
Net Short Term Debt Issuance,25000000.0,-25881.0,0.0,0.0
Short Term Debt Payments,0.0,-25881.0,-8000000.0,0.0
Short Term Debt Issuance,25000000.0,0.0,8000000.0,0.0
Net Long Term Debt Issuance,-4296479.0,-3910719.0,-2821135.0,-2278093.0
Long Term Debt Payments,-4296479.0,-3910719.0,-2821135.0,-2278093.0
Long Term Debt Issuance,,1000000.0,0.0,
Investing Cash Flow,-29881530.0,-38447971.0,-8589185.0,-6040022.0
Cash Flow From Continuing Investing Activities,-29881530.0,-38447971.0,-8589185.0,-6040022.0
Net Other Investing Changes,,,-50504.0,
Net Business Purchase And Sale,-20502396.0,-32953179.0,-1955876.0,0.0
Purchase Of Business,-20502396.0,-32953179.0,-1955876.0,0.0
Net Intangibles Purchase And Sale,-2541661.0,-2299558.0,-1849136.0,-1954745.0
Purchase Of Intangibles,-2541661.0,-2299558.0,-1849136.0,-1954745.0
Net PPE Purchase And Sale,-6837473.0,-3195234.0,-4733669.0,-4085277.0
Sale Of PPE,747088.0,3000.0,74740.0,276224.0
Purchase Of PPE,-7584561.0,-3198234.0,-4808409.0,-4361501.0
Operating Cash Flow,-64221878.0,28869901.0,-1947420.0,-10654692.0
Cash Flow From Continuing Operating Activities,-64221878.0,28869901.0,-1947420.0,-10654692.0
Change In Working Capital,-113120778.0,-13175620.0,-28801769.0,-3605118.0
Change In Other Current Assets,1059605.0,1747967.0,-2490564.0,-218099.0
Change In Payables And Accrued Expense,57188441.0,-2326759.0,32646573.0,12672838.0
Change In Accrued Expense,58968844.0,-5964064.0,20766723.0,9666651.0
Change In Payable,-1780403.0,3637305.0,11879850.0,3006187.0
Change In Account Payable,-1780403.0,3637305.0,11879850.0,3006187.0
Change In Prepaid Assets,-10843890.0,-4181035.0,-961165.0,94091.0
Change In Receivables,-160524934.0,-8415793.0,-57996613.0,-16153948.0
Changes In Account Receivables,-160524934.0,-8415793.0,-57996613.0,-16153948.0
Other Non Cash Items,-1436659.0,-2981885.0,-142667.0,-300000.0
Stock Based Compensation,20969174.0,8054571.0,1376353.0,687072.0
Asset Impairment Charge,3601520.0,6737145.0,4467956.0,1585457.0
Deferred Tax,-1981519.0,-9957967.0,0.0,
Deferred Income Tax,-1981519.0,-9957967.0,0.0,
Depreciation Amortization Depletion,16431892.0,10565578.0,7071555.0,5507655.0
Depreciation And Amortization,16431892.0,10565578.0,7071555.0,5507655.0
Amortization Cash Flow,5249358.0,3214814.0,1845193.0,1451214.0
Amortization Of Intangibles,5249358.0,3214814.0,1845193.0,1451214.0
Depreciation,11182534.0,7350764.0,5226362.0,4056441.0
Operating Gains Losses,1266164.0,-1115134.0,-5098336.0,-30546.0
Earnings Losses From Equity Investments,343336.0,-8919.0,66818.0,0.0
Gain Loss On Investment Securities,,-1127388.0,-5199496.0,
Gain Loss On Sale Of PPE,852544.0,21173.0,34342.0,-30546.0
Gain Loss On Sale Of Business,70284.0,0.0,0.0,0.0
Net Income From Continuing Operations,10048328.0,30743213.0,19179488.0,-14799212.0
