,2024-07-31,2023-07-31,2022-07-31,2021-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.227,0.234,0.241,0.247
Normalized EBITDA,655100000.0,580200000.0,547100000.0,489300000.0
Net Income From Continuing Operation Net Minority Interest,414000000.0,358800000.0,332800000.0,286900000.0
Reconciled Depreciation,98400000.0,92300000.0,93800000.0,95300000.0
Reconciled Cost Of Revenue,2311900000.0,2270200000.0,2239200000.0,1882200000.0
EBITDA,655100000.0,580200000.0,547100000.0,489300000.0
EBIT,556700000.0,487900000.0,453300000.0,394000000.0
Net Interest Income,-21400000.0,-19200000.0,-14900000.0,-13000000.0
Interest Expense,21400000.0,19200000.0,14900000.0,13000000.0
Normalized Income,414000000.0,358800000.0,332800000.0,286900000.0
Net Income From Continuing And Discontinued Operation,414000000.0,358800000.0,332800000.0,286900000.0
Total Expenses,3042200000.0,2950600000.0,2863100000.0,2469200000.0
Total Operating Income As Reported,544100000.0,480200000.0,443500000.0,384700000.0
Diluted Average Shares,122600000.0,123600000.0,125200000.0,128200000.0
Basic Average Shares,120700000.0,121800000.0,123700000.0,126400000.0
Diluted EPS,3.38,2.9,2.66,2.24
Basic EPS,3.43,2.95,2.69,2.27
Diluted NI Availto Com Stockholders,414000000.0,358800000.0,332800000.0,286900000.0
Net Income Common Stockholders,414000000.0,358800000.0,332800000.0,286900000.0
Net Income,414000000.0,358800000.0,332800000.0,286900000.0
Net Income Including Noncontrolling Interests,414000000.0,358800000.0,332800000.0,286900000.0
Net Income Continuous Operations,414000000.0,358800000.0,332800000.0,286900000.0
Tax Provision,121300000.0,109900000.0,105600000.0,94100000.0
Pretax Income,535300000.0,468700000.0,438400000.0,381000000.0
Other Income Expense,12600000.0,7700000.0,9800000.0,9300000.0
Other Non Operating Income Expenses,12600000.0,7700000.0,9800000.0,9300000.0
Net Non Operating Interest Income Expense,-21400000.0,-19200000.0,-14900000.0,-13000000.0
Interest Expense Non Operating,21400000.0,19200000.0,14900000.0,13000000.0
Operating Income,544100000.0,480200000.0,443500000.0,384700000.0
Operating Expense,730300000.0,680400000.0,623900000.0,587000000.0
Research And Development,93600000.0,78100000.0,69100000.0,67800000.0
Selling General And Administration,636700000.0,602300000.0,554800000.0,519200000.0
Gross Profit,1274400000.0,1160600000.0,1067400000.0,971700000.0
Cost Of Revenue,2311900000.0,2270200000.0,2239200000.0,1882200000.0
Total Revenue,3586300000.0,3430800000.0,3306600000.0,2853900000.0
Operating Revenue,3586300000.0,3430800000.0,3306600000.0,2853900000.0
