,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2814602.0,3048772.0,1733106.0,208245.0
Preferred Shares Number,5299200.0,5299200.0,5299200.0,5299200.0
Ordinary Shares Number,38822654.0,38573000.0,39877833.0,19743710.0
Share Issued,41637256.0,41621772.0,41610939.0,19951955.0
Net Debt,1055649000.0,1161986000.0,,1194459000.0
Total Debt,1568650000.0,1391623000.0,288199000.0,1477936000.0
Tangible Book Value,948800000.0,890733000.0,911892000.0,528889000.0
Invested Capital,2622852000.0,2384297000.0,1298147000.0,2022589000.0
Net Tangible Assets,1065369000.0,1007302000.0,1028461000.0,645458000.0
Capital Lease Obligations,55454000.0,60340000.0,66103000.0,39874000.0
Common Stock Equity,1109656000.0,1053014000.0,1076051000.0,584527000.0
Preferred Stock Equity,116569000.0,116569000.0,116569000.0,116569000.0
Total Capitalization,2739421000.0,2500866000.0,1414716000.0,2139158000.0
Total Equity Gross Minority Interest,1226225000.0,1169583000.0,1192620000.0,701096000.0
Stockholders Equity,1226225000.0,1169583000.0,1192620000.0,701096000.0
Other Equity Interest,-8622000.0,-8078000.0,-7842000.0,-1496000.0
Gains Losses Not Affecting Retained Earnings,-91579000.0,-94379000.0,-6181000.0,-5924000.0
Other Equity Adjustments,-91579000.0,-94379000.0,-6181000.0,-5924000.0
Treasury Stock,98020000.0,103117000.0,59193000.0,287337000.0
Retained Earnings,813007000.0,762762000.0,654726000.0,600641000.0
Additional Paid In Capital,494454000.0,495410000.0,494125000.0,278295000.0
Capital Stock,116985000.0,116985000.0,116985000.0,116917000.0
Common Stock,416000.0,416000.0,416000.0,348000.0
Preferred Stock,116569000.0,116569000.0,116569000.0,116569000.0
Total Liabilities Net Minority Interest,12409780000.0,12020338000.0,10873744000.0,6080514000.0
Derivative Product Liabilities,229365000.0,290375000.0,45278000.0,37374000.0
Long Term Debt And Capital Lease Obligation,1568650000.0,1391623000.0,288199000.0,1477936000.0
Long Term Capital Lease Obligation,55454000.0,60340000.0,66103000.0,39874000.0
Long Term Debt,1513196000.0,1331283000.0,222096000.0,1438062000.0
Total Assets,13636005000.0,13189921000.0,12066364000.0,6781610000.0
Investments And Advances,1480879000.0,1536385000.0,1743020000.0,544831000.0
Held To Maturity Securities,594639000.0,585798000.0,179309000.0,0.0
Available For Sale Securities,,,,5970000.0
Goodwill And Other Intangible Assets,160856000.0,162281000.0,164159000.0,55638000.0
Other Intangible Assets,5059000.0,6484000.0,8362000.0,3378000.0
Goodwill,155797000.0,155797000.0,155797000.0,55638000.0
Net PPE,97597000.0,104606000.0,114626000.0,52951000.0
Accumulated Depreciation,-41345000.0,-38375000.0,-33009000.0,-37202000.0
Gross PPE,138942000.0,142981000.0,147635000.0,90153000.0
Leases,28307000.0,26862000.0,26120000.0,23445000.0
Other Properties,52729000.0,57857000.0,64258000.0,33898000.0
Machinery Furniture Equipment,25909000.0,25750000.0,25110000.0,20945000.0
Buildings And Improvements,21173000.0,21688000.0,21323000.0,10265000.0
Land And Improvements,10824000.0,10824000.0,10824000.0,1600000.0
Prepaid Assets,,,,10313000.0
Receivables,55666000.0,48561000.0,40149000.0,34815000.0
Accounts Receivable,55666000.0,48561000.0,40149000.0,34815000.0
Other Short Term Investments,886240000.0,950587000.0,1563711000.0,538861000.0
Cash And Cash Equivalents,457547000.0,169297000.0,393722000.0,243603000.0
Cash Financial,,,,107729000.0
Cash Cash Equivalents And Federal Funds Sold,556297000.0,258042000.0,431454000.0,304310000.0
