,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,1173927.398248,4132315.796684,5135104.0,-3500820.0
Tax Rate For Calcs,0.193941,0.196338,0.208,0.27
Normalized EBITDA,1132386000.0,1321804000.0,1310049000.0,125490000.0
Total Unusual Items,6053000.0,21047000.0,24688000.0,-12966000.0
Total Unusual Items Excluding Goodwill,6053000.0,21047000.0,24688000.0,-12966000.0
Net Income From Continuing Operation Net Minority Interest,738847000.0,891637000.0,862473000.0,-71654000.0
Reconciled Depreciation,181182000.0,190030000.0,201435000.0,216315000.0
Reconciled Cost Of Revenue,4029499000.0,3982008000.0,3745551000.0,3066126000.0
EBITDA,1138439000.0,1342851000.0,1334737000.0,112524000.0
EBIT,957257000.0,1152821000.0,1133302000.0,-103791000.0
Net Interest Income,4600000.0,-30527000.0,-43092000.0,-49108000.0
Interest Expense,40640000.0,43354000.0,44939000.0,49613000.0
Interest Income,45240000.0,12827000.0,1847000.0,505000.0
Normalized Income,733967927.398248,874722315.796684,842920104.0,-62188820.0
Net Income From Continuing And Discontinued Operation,738847000.0,891637000.0,862473000.0,-71654000.0
Total Expenses,5949665000.0,5869524000.0,5506134000.0,4516098000.0
Rent Expense Supplemental,21569000.0,23169000.0,22594000.0,22174000.0
Diluted Average Shares,16517000.0,17500000.0,20600000.0,22700000.0
Basic Average Shares,16517000.0,17500000.0,20600000.0,22700000.0
Diluted EPS,44.73,50.81,41.88,-3.16
Basic EPS,44.73,50.81,41.88,-3.16
Diluted NI Availto Com Stockholders,738847000.0,891637000.0,862473000.0,-71654000.0
Net Income Common Stockholders,738847000.0,891637000.0,862473000.0,-71654000.0
Net Income,738847000.0,891637000.0,862473000.0,-71654000.0
Net Income Including Noncontrolling Interests,738847000.0,891637000.0,862473000.0,-71654000.0
Net Income Continuous Operations,738847000.0,891637000.0,862473000.0,-71654000.0
Earnings From Equity Interest Net Of Tax,,,,0.0
Tax Provision,177770000.0,217830000.0,225890000.0,-81750000.0
Pretax Income,916617000.0,1109467000.0,1088363000.0,-153404000.0
Other Income Expense,-12738000.0,13303000.0,13322000.0,-21383000.0
Other Non Operating Income Expenses,-18791000.0,-7744000.0,-11366000.0,-8417000.0
Special Income Charges,6053000.0,21047000.0,24688000.0,-12966000.0
Gain On Sale Of Ppe,6053000.0,21047000.0,24688000.0,-2230000.0
Write Off,,0.0,0.0,10736000.0
Net Non Operating Interest Income Expense,4600000.0,-30527000.0,-43092000.0,-49108000.0
Total Other Finance Cost,,,1211000.0,1995000.0
Interest Expense Non Operating,40640000.0,43354000.0,44939000.0,49613000.0
Interest Income Non Operating,45240000.0,12827000.0,1847000.0,505000.0
Operating Income,924755000.0,1126691000.0,1118133000.0,-82913000.0
Operating Expense,1918557000.0,1885926000.0,1758469000.0,1447035000.0
Depreciation Amortization Depletion Income Statement,179573000.0,188440000.0,199321000.0,213378000.0
Depreciation And Amortization In Income Statement,179573000.0,188440000.0,199321000.0,213378000.0
Selling General And Administration,1738984000.0,1697486000.0,1559148000.0,1233657000.0
General And Administrative Expense,1738984000.0,1697486000.0,1559148000.0,1233657000.0
Other Gand A,1717415000.0,1674317000.0,1536554000.0,1211483000.0
Rent And Landing Fees,21569000.0,23169000.0,22594000.0,22174000.0
Gross Profit,2843312000.0,3012617000.0,2876602000.0,1364122000.0
Cost Of Revenue,4031108000.0,3983598000.0,3747665000.0,3069063000.0
Total Revenue,6874420000.0,6996215000.0,6624267000.0,4433185000.0
Operating Revenue,6874420000.0,6996215000.0,6624267000.0,4433185000.0
