,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-462000000.0,-74000000.0,-853000000.0,2831000000.0
Repurchase Of Capital Stock,-2000000000.0,-4375000000.0,-2143000000.0,-232000000.0
Repayment Of Debt,-300000000.0,-3250000000.0,-5000000000.0,-2031000000.0
Issuance Of Debt,0.0,600000000.0,150000000.0,8275000000.0
Issuance Of Capital Stock,27000000.0,88000000.0,115000000.0,57000000.0
Capital Expenditure,-2380000000.0,-662000000.0,-3134000000.0,-1264000000.0
Interest Paid Supplemental Data,408000000.0,494000000.0,204000000.0,647000000.0
Income Tax Paid Supplemental Data,394000000.0,844000000.0,561000000.0,495000000.0
End Cash Position,2803000000.0,3772000000.0,2076000000.0,8775000000.0
Beginning Cash Position,3772000000.0,2076000000.0,8775000000.0,1577000000.0
Effect Of Exchange Rate Changes,-37000000.0,-148000000.0,-72000000.0,67000000.0
Changes In Cash,-932000000.0,1844000000.0,-6627000000.0,7131000000.0
Financing Cash Flow,-2989000000.0,-7667000000.0,-6507000000.0,3238000000.0
Cash From Discontinued Financing Activities,0.0,-21000000.0,1082000000.0,
Cash Flow From Continuing Financing Activities,-2989000000.0,-7646000000.0,-7589000000.0,3238000000.0
Net Other Financing Charges,-65000000.0,-57000000.0,-81000000.0,-120000000.0
Cash Dividends Paid,-651000000.0,-652000000.0,-630000000.0,-882000000.0
Common Stock Dividend Paid,-651000000.0,-652000000.0,-630000000.0,-882000000.0
Net Common Stock Issuance,-1973000000.0,-4287000000.0,-2028000000.0,-175000000.0
Common Stock Payments,-2000000000.0,-4375000000.0,-2143000000.0,-232000000.0
Common Stock Issuance,27000000.0,88000000.0,115000000.0,57000000.0
Net Issuance Payments Of Debt,-300000000.0,-2650000000.0,-4850000000.0,4415000000.0
Net Short Term Debt Issuance,0.0,-150000000.0,150000000.0,-1829000000.0
Short Term Debt Payments,0.0,-750000000.0,0.0,
Short Term Debt Issuance,0.0,600000000.0,150000000.0,
Net Long Term Debt Issuance,-300000000.0,-2500000000.0,-5000000000.0,6244000000.0
Long Term Debt Payments,-300000000.0,-2500000000.0,-5000000000.0,-2031000000.0
Long Term Debt Issuance,,600000000.0,1250000000.0,8275000000.0
Investing Cash Flow,139000000.0,8923000000.0,-2401000000.0,-202000000.0
Cash From Discontinued Investing Activities,-33000000.0,-81000000.0,-103000000.0,
Cash Flow From Continuing Investing Activities,172000000.0,9004000000.0,-2298000000.0,-202000000.0
Net Other Investing Changes,6000000.0,12000000.0,39000000.0,29000000.0
Interest Received Cfi,,,,0.0
Net Investment Purchase And Sale,1302000000.0,-1302000000.0,0.0,0.0
Sale Of Investment,1334000000.0,15000000.0,2001000000.0,1000000.0
Purchase Of Investment,-32000000.0,-1317000000.0,-2001000000.0,-1000000.0
Net PPE Purchase And Sale,-517000000.0,10956000000.0,-1549000000.0,963000000.0
Sale Of PPE,1244000000.0,10956000000.0,797000000.0,1033000000.0
Purchase Of PPE,-1761000000.0,,-2346000000.0,-70000000.0
Capital Expenditure Reported,-619000000.0,-662000000.0,-788000000.0,-1194000000.0
Operating Cash Flow,1918000000.0,588000000.0,2281000000.0,4095000000.0
Cash From Discontinued Operating Activities,-273000000.0,-661000000.0,435000000.0,
Cash Flow From Continuing Operating Activities,2191000000.0,1249000000.0,1846000000.0,4095000000.0
Change In Working Capital,-155000000.0,-855000000.0,-230000000.0,1168000000.0
Change In Other Working Capital,-274000000.0,-423000000.0,143000000.0,113000000.0
Change In Payables And Accrued Expense,-310000000.0,-138000000.0,221000000.0,177000000.0
Change In Payable,-310000000.0,-138000000.0,221000000.0,177000000.0
Change In Account Payable,-310000000.0,-138000000.0,221000000.0,177000000.0
Change In Inventory,227000000.0,-215000000.0,-248000000.0,570000000.0
Change In Receivables,202000000.0,-79000000.0,-346000000.0,308000000.0
Other Non Cash Items,211000000.0,105000000.0,165000000.0,926000000.0
Asset Impairment Charge,804000000.0,0.0,0.0,3214000000.0
Deferred Tax,-381000000.0,-157000000.0,-252000000.0,-692000000.0
Deferred Income Tax,-381000000.0,-157000000.0,-252000000.0,-692000000.0
Depreciation Amortization Depletion,1147000000.0,1135000000.0,1112000000.0,3094000000.0
Depreciation And Amortization,1147000000.0,1135000000.0,1112000000.0,3094000000.0
Operating Gains Losses,32000000.0,-40000000.0,-156000000.0,-692000000.0
Pension And Employee Benefit Expense,31000000.0,2000000.0,3000000.0,37000000.0
Earnings Losses From Equity Investments,20000000.0,36000000.0,12000000.0,-87000000.0
Gain Loss On Sale Of Business,-19000000.0,-78000000.0,-171000000.0,
Net Income From Continuing Operations,533000000.0,1061000000.0,1207000000.0,-2923000000.0
