,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,0.0,0.0
Ordinary Shares Number,47923726.0,42148287.0,42482750.0,35368850.0
Share Issued,47923726.0,42148287.0,42482750.0,35368850.0
Net Debt,1272874000.0,1433000000.0,997797000.0,715861000.0
Total Debt,1307749000.0,1469191000.0,1038159000.0,736118000.0
Tangible Book Value,566455000.0,-173786000.0,633275000.0,867445000.0
Invested Capital,1862433000.0,1287641000.0,1657764000.0,1603898000.0
Working Capital,-333842000.0,-777408000.0,-436461000.0,-102032000.0
Net Tangible Assets,566455000.0,-173786000.0,633275000.0,867445000.0
Capital Lease Obligations,31122000.0,28862000.0,27804000.0,18878000.0
Common Stock Equity,585806000.0,-152688000.0,647409000.0,886658000.0
Total Capitalization,1661611000.0,1016545000.0,1598944000.0,1538939000.0
Total Equity Gross Minority Interest,598410000.0,-137724000.0,663950000.0,886658000.0
Minority Interest,12604000.0,14964000.0,16541000.0,0.0
Stockholders Equity,585806000.0,-152688000.0,647409000.0,886658000.0
Other Equity Interest,14442000.0,17650000.0,14156000.0,8797000.0
Treasury Stock,102470000.0,100828000.0,68537000.0,
Retained Earnings,-547255000.0,-1133972000.0,-362740000.0,27182000.0
Additional Paid In Capital,1208192000.0,1052959000.0,1052959000.0,841159000.0
Capital Stock,12897000.0,11503000.0,11571000.0,9520000.0
Common Stock,12897000.0,11503000.0,11571000.0,9520000.0
Total Liabilities Net Minority Interest,2875612000.0,3968652000.0,2830259000.0,1404024000.0
Total Non Current Liabilities Net Minority Interest,2237172000.0,2837022000.0,2056659000.0,1207518000.0
Other Non Current Liabilities,2224000.0,5375000.0,7775000.0,11023000.0
Derivative Product Liabilities,623684000.0,1177801000.0,556982000.0,168524000.0
Non Current Deferred Taxes Liabilities,13654000.0,12490000.0,0.0,17583000.0
Long Term Debt And Capital Lease Obligation,1096364000.0,1188802000.0,969712000.0,666146000.0
Long Term Capital Lease Obligation,20559000.0,19569000.0,18177000.0,13865000.0
Long Term Debt,1075805000.0,1169233000.0,951535000.0,652281000.0
Long Term Provisions,501246000.0,452554000.0,522190000.0,344242000.0
Current Liabilities,638440000.0,1131630000.0,773600000.0,196506000.0
Other Current Liabilities,,,,42821000.0
Current Debt And Capital Lease Obligation,211385000.0,280389000.0,68447000.0,69972000.0
Current Capital Lease Obligation,10563000.0,9293000.0,9627000.0,5013000.0
Current Debt,200822000.0,271096000.0,58820000.0,64959000.0
Current Provisions,5402000.0,4529000.0,3399000.0,1882000.0
Payables,276094000.0,412814000.0,310419000.0,80212000.0
Other Payable,4003000.0,3327000.0,806000.0,148000.0
Total Tax Payable,50226000.0,41907000.0,53629000.0,18025000.0
Accounts Payable,221865000.0,367580000.0,255984000.0,62039000.0
Total Assets,3474022000.0,3830928000.0,3494209000.0,2290682000.0
Total Non Current Assets,3169424000.0,3476706000.0,3157070000.0,2196208000.0
Other Non Current Assets,9172000.0,4351000.0,3635000.0,2376000.0
Non Current Deferred Taxes Assets,144860000.0,371156000.0,176955000.0,14777000.0
Financial Assets,24401000.0,13936000.0,219000.0,717000.0
Goodwill And Other Intangible Assets,19351000.0,21098000.0,14134000.0,19213000.0
Other Intangible Assets,19351000.0,21098000.0,14134000.0,19213000.0
Net PPE,2946583000.0,3018668000.0,2944058000.0,2137188000.0
Accumulated Depreciation,-893243000.0,-645462000.0,-433735000.0,-274387000.0
Gross PPE,3839826000.0,3664130000.0,3377793000.0,2411575000.0
Other Properties,58529000.0,54112000.0,25531000.0,12368000.0
Machinery Furniture Equipment,71175000.0,66389000.0,45562000.0,35129000.0
Properties,3710122000.0,3543629000.0,3306700000.0,2364078000.0
Current Assets,304598000.0,354222000.0,337139000.0,94474000.0
Other Current Assets,,,25004000.0,
Hedging Assets Current,87659000.0,27739000.0,1052000.0,17858000.0
Restricted Cash,11195000.0,7891000.0,1033000.0,250000.0
Prepaid Assets,3955000.0,5255000.0,5126000.0,1681000.0
Inventory,7829000.0,9227000.0,9444000.0,6315000.0
Accounts Receivable,190207000.0,296781000.0,282922000.0,66991000.0
Allowance For Doubtful Accounts Receivable,-16529000.0,-8941000.0,-6141000.0,-11082000.0
Gross Accounts Receivable,206736000.0,305722000.0,289063000.0,78073000.0
Cash Cash Equivalents And Short Term Investments,3753000.0,7329000.0,12558000.0,1379000.0
Cash And Cash Equivalents,3753000.0,7329000.0,12558000.0,1379000.0
Cash Financial,3753000.0,7329000.0,12558000.0,1379000.0
