,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,196327000.0,258770000.0,153860000.0,122620000.0
Repurchase Of Capital Stock,-111639000.0,-337000.0,-122000.0,-7000.0
Repayment Of Debt,-155862000.0,-70823000.0,-1075787000.0,-549752000.0
Issuance Of Debt,505000000.0,245000000.0,1345000000.0,674000000.0
Issuance Of Capital Stock,,,0.0,0.0
Capital Expenditure,-230637000.0,-238118000.0,-293091000.0,-297598000.0
Interest Paid Supplemental Data,197426000.0,150528000.0,145813000.0,141633000.0
End Cash Position,523183000.0,268938000.0,336006000.0,172517000.0
Beginning Cash Position,268938000.0,336006000.0,172517000.0,153804000.0
Changes In Cash,254245000.0,-67068000.0,163489000.0,18713000.0
Financing Cash Flow,60871000.0,-3003000.0,5246000.0,-136330000.0
Cash Flow From Continuing Financing Activities,60871000.0,-3003000.0,5246000.0,-136330000.0
Net Other Financing Charges,-46733000.0,19962000.0,-67316000.0,-64238000.0
Cash Dividends Paid,-129895000.0,-196805000.0,-196529000.0,-196333000.0
Common Stock Dividend Paid,-129895000.0,-196805000.0,-196529000.0,-196333000.0
Net Common Stock Issuance,-111639000.0,-337000.0,-122000.0,-7000.0
Common Stock Payments,-111639000.0,-337000.0,-122000.0,-7000.0
Common Stock Issuance,,,0.0,0.0
Net Issuance Payments Of Debt,349138000.0,174177000.0,269213000.0,124248000.0
Net Long Term Debt Issuance,349138000.0,174177000.0,269213000.0,124248000.0
Long Term Debt Payments,-155862000.0,-70823000.0,-1075787000.0,-549752000.0
Long Term Debt Issuance,505000000.0,245000000.0,1345000000.0,674000000.0
Investing Cash Flow,-233590000.0,-560953000.0,-288708000.0,-265175000.0
Cash Flow From Continuing Investing Activities,-233590000.0,-560953000.0,-288708000.0,-265175000.0
Net Other Investing Changes,2181000.0,5716000.0,3041000.0,17120000.0
Dividends Received Cfi,80000.0,1919000.0,1342000.0,1236000.0
Net Investment Properties Purchase And Sale,0.0,-330470000.0,0.0,20658000.0
Sale Of Investment Properties,,0.0,0.0,20658000.0
Purchase Of Investment Properties,0.0,-330470000.0,0.0,0.0
Net Business Purchase And Sale,-5214000.0,0.0,0.0,-6591000.0
Sale Of Business,,,0.0,0.0
Purchase Of Business,-5214000.0,0.0,0.0,-6591000.0
Capital Expenditure Reported,-230637000.0,-238118000.0,-293091000.0,-297598000.0
Operating Cash Flow,426964000.0,496888000.0,446951000.0,420218000.0
Cash Flow From Continuing Operating Activities,426964000.0,496888000.0,446951000.0,420218000.0
Dividend Received Cfo,1288000.0,1224000.0,943000.0,394000.0
Change In Working Capital,-8383000.0,10128000.0,-3305000.0,-13827000.0
Change In Other Working Capital,,447000.0,-4600000.0,-3063000.0
Change In Other Current Assets,-15943000.0,447000.0,-4600000.0,
Change In Payables And Accrued Expense,6248000.0,-1399000.0,-2842000.0,5557000.0
Change In Accrued Expense,6248000.0,-1399000.0,-2842000.0,5557000.0
Change In Interest Payable,6248000.0,-1399000.0,-2842000.0,5557000.0
Change In Payable,,,,5557000.0
Change In Account Payable,,,,5557000.0
Change In Prepaid Assets,529000.0,4832000.0,-962000.0,-4676000.0
Change In Receivables,783000.0,6248000.0,5099000.0,-11645000.0
Changes In Account Receivables,783000.0,6248000.0,5099000.0,-11645000.0
Other Non Cash Items,6434000.0,7652000.0,11493000.0,11186000.0
Stock Based Compensation,19834000.0,21025000.0,20887000.0,21365000.0
Depreciation Amortization Depletion,448988000.0,361543000.0,361748000.0,369370000.0
Depreciation And Amortization,448988000.0,361543000.0,361748000.0,369370000.0
Amortization Cash Flow,-10961000.0,-11255000.0,-9541000.0,-15878000.0
Amortization Of Intangibles,-10961000.0,-11255000.0,-9541000.0,-15878000.0
Depreciation,459949000.0,372798000.0,371289000.0,385248000.0
Operating Gains Losses,34643000.0,-1224000.0,-946000.0,-6823000.0
Earnings Losses From Equity Investments,34643000.0,-1224000.0,-946000.0,-430000.0
Gain Loss On Investment Securities,,,,-6393000.0
Gain Loss On Sale Of Business,,,0.0,0.0
Net Income From Continuing Operations,-75840000.0,96540000.0,56131000.0,38553000.0
