,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1115197.0,-10863600.0,-21422.0,2591499.790027
Tax Rate For Calcs,0.113,0.3,0.002,0.130475
Normalized EBITDA,91205000.0,38582000.0,-50174000.0,-145601000.0
Total Unusual Items,-9869000.0,-36212000.0,-10711000.0,19862000.0
Total Unusual Items Excluding Goodwill,-9869000.0,-36212000.0,-10711000.0,19862000.0
Net Income From Continuing Operation Net Minority Interest,24490000.0,-68521000.0,-104628000.0,-142587000.0
Reconciled Depreciation,43440000.0,41098000.0,39524000.0,33097000.0
Reconciled Cost Of Revenue,228938000.0,182898000.0,160240000.0,103825000.0
EBITDA,81336000.0,2370000.0,-60885000.0,-125739000.0
EBIT,37896000.0,-38728000.0,-100409000.0,-158836000.0
Net Interest Income,-26764000.0,-9247000.0,-4602000.0,-8869000.0
Interest Expense,10290000.0,8484000.0,5686000.0,5471000.0
Interest Income,15289000.0,17980000.0,5972000.0,3857000.0
Normalized Income,33243803.0,-43172600.0,-93938422.0,-159857500.209973
Net Income From Continuing And Discontinued Operation,24490000.0,-68521000.0,-104628000.0,-142587000.0
Total Expenses,640741000.0,539561000.0,413967000.0,304575000.0
Total Operating Income As Reported,64239000.0,-1753000.0,-95888000.0,-177217000.0
Diluted Average Shares,77170000.0,76823000.0,76653000.0,67994000.0
Basic Average Shares,77170000.0,76823000.0,76653000.0,67994000.0
Diluted EPS,-0.09,-1.28,-1.75,-2.21
Basic EPS,-0.09,-1.28,-1.75,-2.21
Diluted NI Availto Com Stockholders,-6584000.0,-98253000.0,-133834000.0,-142587000.0
Net Income Common Stockholders,-6584000.0,-98253000.0,-133834000.0,-142587000.0
Otherunder Preferred Stock Dividend,29074000.0,27259000.0,25851000.0,
Preferred Stock Dividends,2000000.0,2473000.0,3355000.0,
Net Income,24490000.0,-68521000.0,-104628000.0,-142587000.0
Minority Interests,0.0,0.0,1237000.0,282000.0
Net Income Including Noncontrolling Interests,24490000.0,-68521000.0,-105865000.0,-142869000.0
Net Income Continuous Operations,24490000.0,-68521000.0,-105865000.0,-142869000.0
Tax Provision,3116000.0,21309000.0,-230000.0,-21438000.0
Pretax Income,27606000.0,-47212000.0,-106095000.0,-164307000.0
Other Income Expense,-10929000.0,-36376000.0,-10369000.0,17803000.0
Special Income Charges,0.0,0.0,-5106000.0,-1917000.0
Impairment Of Capital Assets,0.0,0.0,5106000.0,1917000.0
Earnings From Equity Interest,-1060000.0,-164000.0,342000.0,-2059000.0
Gain On Sale Of Security,-9869000.0,-36212000.0,-5605000.0,21779000.0
Net Non Operating Interest Income Expense,-26764000.0,-9247000.0,-4602000.0,-8869000.0
Total Other Finance Cost,31763000.0,18743000.0,4888000.0,7255000.0
Interest Expense Non Operating,10290000.0,8484000.0,5686000.0,5471000.0
Interest Income Non Operating,15289000.0,17980000.0,5972000.0,3857000.0
Operating Income,65299000.0,-1589000.0,-91124000.0,-173241000.0
Operating Expense,411803000.0,356663000.0,253727000.0,200750000.0
Other Operating Expenses,4546000.0,,,
Research And Development,109130000.0,89992000.0,74743000.0,67043000.0
Selling General And Administration,298127000.0,266671000.0,178984000.0,133707000.0
Selling And Marketing Expense,220361000.0,165150000.0,95290000.0,57292000.0
General And Administrative Expense,77766000.0,101521000.0,83694000.0,76415000.0
Other Gand A,77766000.0,101521000.0,83694000.0,76415000.0
Gross Profit,477102000.0,355074000.0,162603000.0,27509000.0
Cost Of Revenue,228938000.0,182898000.0,160240000.0,103825000.0
Total Revenue,706040000.0,537972000.0,322843000.0,131334000.0
Operating Revenue,706040000.0,537972000.0,322843000.0,131334000.0
