,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-11135010.0,-2542190.0,-1393605.0,0.0
Tax Rate For Calcs,0.239,0.23,0.185,0.0
Normalized EBITDA,492464000.0,377300000.0,176557000.0,94616000.0
Total Unusual Items,-46590000.0,-11053000.0,-7533000.0,-1379000.0
Total Unusual Items Excluding Goodwill,-46590000.0,-11053000.0,-7533000.0,-1379000.0
Net Income From Continuing Operation Net Minority Interest,295900000.0,262313000.0,122377000.0,79093000.0
Reconciled Depreciation,17896000.0,17091000.0,9851000.0,7853000.0
Reconciled Cost Of Revenue,3011813000.0,2722139000.0,1610332000.0,962928000.0
EBITDA,445874000.0,366247000.0,169024000.0,93237000.0
EBIT,427978000.0,349156000.0,159173000.0,85384000.0
Net Interest Income,,-32000.0,-672172.0,-871000.0
Interest Expense,,32000.0,672172.0,871000.0
Normalized Income,331354990.0,270823810.0,128516395.0,80472000.0
Net Income From Continuing And Discontinued Operation,295900000.0,262313000.0,122377000.0,79093000.0
Total Expenses,3320608000.0,2993179000.0,1764737000.0,1053287000.0
Diluted Average Shares,106027548.0,106691248.0,95314000.0,91081482.0
Basic Average Shares,93066564.0,92745781.0,92521000.0,91081482.0
Diluted EPS,2.79,2.45,1.27,0.868381
Basic EPS,3.03,2.67,1.27,0.868381
Diluted NI Availto Com Stockholders,282418000.0,247800000.0,117532000.0,79093000.0
Net Income Common Stockholders,282418000.0,247800000.0,117532000.0,79093000.0
Preferred Stock Dividends,13482000.0,14513000.0,4845000.0,4115131.0
Net Income,295900000.0,262313000.0,122377000.0,79093000.0
Minority Interests,-12042000.0,-11984000.0,-13461000.0,-5420000.0
Net Income Including Noncontrolling Interests,307942000.0,274297000.0,134594000.0,84513000.0
Net Income Continuous Operations,307942000.0,274297000.0,134594000.0,84513000.0
Tax Provision,96483000.0,81859000.0,27455000.0,0.0
Pretax Income,404425000.0,356156000.0,162049000.0,84513000.0
Other Income Expense,-23553000.0,7000000.0,2876000.0,4864000.0
Other Non Operating Income Expenses,4962000.0,1931000.0,981000.0,-1749000.0
Special Income Charges,-46590000.0,-11053000.0,-7533000.0,-1379000.0
Gain On Sale Of Ppe,,,87023.0,117840.0
Other Special Charges,,,-6508309.0,
Restructuring And Mergern Acquisition,46590000.0,11053000.0,7533000.0,1379000.0
Earnings From Equity Interest,18075000.0,16122000.0,9428000.0,7992000.0
Net Non Operating Interest Income Expense,,-32000.0,-672172.0,-871000.0
Interest Expense Non Operating,,32000.0,672172.0,871000.0
Operating Income,427978000.0,349156000.0,159173000.0,80520000.0
Operating Expense,308795000.0,271040000.0,154405000.0,90359000.0
Selling General And Administration,308795000.0,271040000.0,154405000.0,90359000.0
Gross Profit,736773000.0,620196000.0,313578000.0,170879000.0
Cost Of Revenue,3011813000.0,2722139000.0,1610332000.0,962928000.0
Total Revenue,3748586000.0,3342335000.0,1923910000.0,1133807000.0
Operating Revenue,3738888000.0,3334559000.0,1917301000.0,1127976000.0
