,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,10483000.0,-40353000.0,-63323000.0,158544000.0
Repurchase Of Capital Stock,-393000.0,-171000.0,-383000.0,-171000.0
Repayment Of Debt,-967049000.0,-639067000.0,-503159000.0,-1423941000.0
Issuance Of Debt,750001000.0,0.0,1292500000.0,1415500000.0
Interest Paid Supplemental Data,186534000.0,201153000.0,235994000.0,195599000.0
Income Tax Paid Supplemental Data,677000.0,935000.0,2798000.0,399000.0
End Cash Position,246961000.0,688302000.0,1016945000.0,90849000.0
Beginning Cash Position,688302000.0,1016945000.0,90849000.0,52224000.0
Changes In Cash,-441341000.0,-328643000.0,926096000.0,38625000.0
Financing Cash Flow,-249713000.0,-675998000.0,746723000.0,-79483000.0
Cash Flow From Continuing Financing Activities,-249713000.0,-675998000.0,746723000.0,-79483000.0
Net Other Financing Charges,-22677000.0,-27192000.0,-32695000.0,-28046000.0
Cash Dividends Paid,-9595000.0,-9568000.0,-9540000.0,-42825000.0
Common Stock Dividend Paid,-9595000.0,-9568000.0,-9540000.0,-42825000.0
Net Common Stock Issuance,-393000.0,-171000.0,-383000.0,-171000.0
Common Stock Payments,-393000.0,-171000.0,-383000.0,-171000.0
Net Issuance Payments Of Debt,-217048000.0,-639067000.0,789341000.0,-8441000.0
Net Short Term Debt Issuance,-700000000.0,-100000000.0,800000000.0,-537500000.0
Short Term Debt Payments,-700000000.0,-100000000.0,0.0,-968000000.0
Short Term Debt Issuance,0.0,0.0,800000000.0,430500000.0
Net Long Term Debt Issuance,482952000.0,-539067000.0,-10659000.0,529059000.0
Long Term Debt Payments,-267049000.0,-539067000.0,-503159000.0,-455941000.0
Long Term Debt Issuance,750001000.0,0.0,492500000.0,985000000.0
Investing Cash Flow,-202111000.0,387708000.0,242696000.0,-40436000.0
Cash Flow From Continuing Investing Activities,-202111000.0,387708000.0,242696000.0,-40436000.0
Net Other Investing Changes,14540000.0,14466000.0,,
Dividends Received Cfi,0.0,0.0,11000.0,287000.0
Net Investment Purchase And Sale,,,0.0,0.0
Sale Of Investment,,,0.0,0.0
Net Investment Properties Purchase And Sale,-216651000.0,264818000.0,-124348000.0,-40723000.0
Sale Of Investment Properties,18356000.0,639310000.0,103257000.0,147388000.0
Purchase Of Investment Properties,-235007000.0,-374492000.0,-227605000.0,-188111000.0
Net Business Purchase And Sale,0.0,108424000.0,367033000.0,0.0
Sale Of Business,0.0,108424000.0,367033000.0,0.0
Operating Cash Flow,10483000.0,-40353000.0,-63323000.0,158544000.0
Cash Flow From Continuing Operating Activities,10483000.0,-40353000.0,-63323000.0,158544000.0
Dividend Received Cfo,5100000.0,8769000.0,0.0,0.0
Change In Working Capital,-27838000.0,1637000.0,-65116000.0,-13175000.0
Change In Other Working Capital,-9834000.0,-7874000.0,-20701000.0,-7672000.0
Change In Other Current Liabilities,-22106000.0,-1007000.0,-868000.0,22660000.0
Change In Other Current Assets,10672000.0,10946000.0,-51201000.0,-27858000.0
Change In Payables And Accrued Expense,-6570000.0,-428000.0,7654000.0,-305000.0
Change In Accrued Expense,-6570000.0,-428000.0,7654000.0,-305000.0
Change In Interest Payable,-6570000.0,-428000.0,7654000.0,-305000.0
Other Non Cash Items,10974000.0,-2296000.0,5751000.0,-23146000.0
Asset Impairment Charge,18380000.0,0.0,-174000.0,106972000.0
Depreciation Amortization Depletion,283841000.0,239525000.0,263920000.0,262742000.0
Depreciation And Amortization,283841000.0,239525000.0,263920000.0,262742000.0
Amortization Cash Flow,-242000.0,245000.0,-7211000.0,-7405000.0
Amortization Of Intangibles,-242000.0,245000.0,-7211000.0,-7405000.0
Depreciation,284083000.0,239280000.0,271131000.0,270147000.0
Operating Gains Losses,13598000.0,-272214000.0,-447630000.0,-40542000.0
Earnings Losses From Equity Investments,20461000.0,-6055000.0,0.0,0.0
Gain Loss On Investment Securities,-9331000.0,-296202000.0,-450040000.0,-40593000.0
Net Income From Continuing Operations,-293572000.0,-15774000.0,179926000.0,-134307000.0
