,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-4697700.0,55346340.0,3872682.0,-12075480.0
Tax Rate For Calcs,0.21,0.21,0.009,0.27
Normalized EBITDA,225562000.0,164235000.0,277948000.0,383297000.0
Total Unusual Items,-22370000.0,263554000.0,430298000.0,-44724000.0
Total Unusual Items Excluding Goodwill,-22370000.0,263554000.0,430298000.0,-44724000.0
Net Income From Continuing Operation Net Minority Interest,-293572000.0,-15774000.0,174515000.0,-139453000.0
Reconciled Depreciation,283841000.0,239525000.0,263920000.0,262742000.0
Reconciled Cost Of Revenue,1174393000.0,1108825000.0,1099023000.0,1243762000.0
EBITDA,203192000.0,427789000.0,708246000.0,338573000.0
EBIT,-80891000.0,188264000.0,437115000.0,68426000.0
Net Interest Income,-176239000.0,-193454000.0,-235124000.0,-183262000.0
Interest Expense,191775000.0,209383000.0,255759000.0,201483000.0
Interest Income,15536000.0,15929000.0,20635000.0,18221000.0
Normalized Income,-275899700.0,-223981660.0,-251910318.0,-106804480.0
Net Income From Continuing And Discontinued Operation,-293572000.0,-15774000.0,174515000.0,-139453000.0
Total Expenses,1484365000.0,1374785000.0,1397030000.0,1537097000.0
Diluted Average Shares,238836000.0,238314000.0,237967000.0,237739000.0
Basic Average Shares,238836000.0,238314000.0,237967000.0,237739000.0
Diluted EPS,-1.23,-0.07,0.73,-0.59
Basic EPS,-1.23,-0.07,0.73,-0.59
Diluted NI Availto Com Stockholders,-293572000.0,-15774000.0,174515000.0,-139453000.0
Net Income Common Stockholders,-293572000.0,-15774000.0,174515000.0,-139453000.0
Net Income,-293572000.0,-15774000.0,174515000.0,-139453000.0
Minority Interests,0.0,0.0,-5411000.0,-5146000.0
Net Income Including Noncontrolling Interests,-293572000.0,-15774000.0,179926000.0,-134307000.0
Net Income Continuous Operations,-293572000.0,-15774000.0,179926000.0,-134307000.0
Earnings From Equity Interest Net Of Tax,-20461000.0,6055000.0,0.0,0.0
Tax Provision,445000.0,710000.0,1430000.0,1250000.0
Pretax Income,-272666000.0,-21119000.0,181356000.0,-133057000.0
Other Income Expense,-22370000.0,263554000.0,430298000.0,-44724000.0
Special Income Charges,-31701000.0,-32648000.0,-19742000.0,-85317000.0
Other Special Charges,2468000.0,30043000.0,2410000.0,-22469000.0
Write Off,,0.0,-174000.0,106972000.0
Impairment Of Capital Assets,18380000.0,0.0,-174000.0,106972000.0
Restructuring And Mergern Acquisition,10853000.0,2605000.0,17506000.0,814000.0
Gain On Sale Of Security,9331000.0,296202000.0,450040000.0,40593000.0
Net Non Operating Interest Income Expense,-176239000.0,-193454000.0,-235124000.0,-183262000.0
Interest Expense Non Operating,191775000.0,209383000.0,255759000.0,201483000.0
Interest Income Non Operating,15536000.0,15929000.0,20635000.0,18221000.0
Operating Income,-74057000.0,-91219000.0,-13818000.0,94929000.0
Operating Expense,310214000.0,265715000.0,305218000.0,300740000.0
Depreciation Amortization Depletion Income Statement,284083000.0,239280000.0,271131000.0,270147000.0
Depreciation And Amortization In Income Statement,284083000.0,239280000.0,271131000.0,270147000.0
Selling General And Administration,26131000.0,26435000.0,34087000.0,30593000.0
General And Administrative Expense,26131000.0,26435000.0,34087000.0,30593000.0
Other Gand A,26131000.0,26435000.0,34087000.0,30593000.0
Gross Profit,236157000.0,174496000.0,291400000.0,395669000.0
Cost Of Revenue,1174151000.0,1109070000.0,1091812000.0,1236357000.0
Total Revenue,1410308000.0,1283566000.0,1383212000.0,1632026000.0
Operating Revenue,1410308000.0,1283566000.0,1383212000.0,1632026000.0
