,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,427627.0,428027.0,428027.0,424307.0,
Ordinary Shares Number,1377426.0,1377026.0,1377026.0,1380746.0,
Share Issued,1805053.0,1805053.0,1805053.0,1805053.0,
Net Debt,15634000.0,55434000.0,63008000.0,20982000.0,
Total Debt,28620000.0,76278000.0,76431000.0,33578000.0,
Tangible Book Value,278784000.0,200469000.0,179017000.0,254641000.0,
Invested Capital,307404000.0,276747000.0,255448000.0,288219000.0,
Working Capital,356052000.0,303207000.0,275835000.0,338324000.0,
Net Tangible Assets,278784000.0,200469000.0,179017000.0,254641000.0,
Common Stock Equity,278784000.0,200469000.0,179017000.0,254641000.0,
Total Capitalization,307240000.0,276589000.0,255302000.0,288072000.0,
Total Equity Gross Minority Interest,278784000.0,200469000.0,179017000.0,254641000.0,
Stockholders Equity,278784000.0,200469000.0,179017000.0,254641000.0,
Retained Earnings,276813000.0,198700000.0,177248000.0,252872000.0,
Additional Paid In Capital,1957000.0,1755000.0,1755000.0,1755000.0,
Capital Stock,14000.0,14000.0,14000.0,14000.0,
Common Stock,14000.0,14000.0,14000.0,14000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,124979000.0,154391000.0,140094000.0,127915000.0,
Total Non Current Liabilities Net Minority Interest,86536000.0,112193000.0,106475000.0,93903000.0,
Non Current Accrued Expenses,4556000.0,4474000.0,4547000.0,3383000.0,
Non Current Deferred Liabilities,53524000.0,31599000.0,25643000.0,57089000.0,
Non Current Deferred Taxes Liabilities,52641000.0,30599000.0,25273000.0,56094000.0,
Long Term Debt And Capital Lease Obligation,28456000.0,76120000.0,76285000.0,33431000.0,
Long Term Debt,28456000.0,76120000.0,76285000.0,33431000.0,
Current Liabilities,38443000.0,42198000.0,33619000.0,34012000.0,
Current Deferred Liabilities,23713000.0,25539000.0,21345000.0,17330000.0,
Current Deferred Revenue,2031000.0,5828000.0,6394000.0,5498000.0,
Current Debt And Capital Lease Obligation,164000.0,158000.0,146000.0,147000.0,
Current Debt,164000.0,158000.0,146000.0,147000.0,
Other Current Borrowings,164000.0,158000.0,146000.0,147000.0,
Payables And Accrued Expenses,14566000.0,16501000.0,12128000.0,16535000.0,
Current Accrued Expenses,8517000.0,8789000.0,7066000.0,6052000.0,
Payables,6049000.0,7712000.0,5062000.0,10483000.0,
Total Tax Payable,0.0,1069000.0,0.0,6244000.0,
Income Tax Payable,0.0,1069000.0,0.0,6244000.0,
Accounts Payable,6049000.0,6643000.0,5062000.0,4239000.0,
Total Assets,403763000.0,354860000.0,319111000.0,382556000.0,
Total Non Current Assets,9268000.0,9455000.0,9657000.0,10220000.0,
Non Current Deferred Assets,,,,8021000.0,11671000.0
Non Current Deferred Taxes Assets,,,,8021000.0,11671000.0
Net PPE,9268000.0,9455000.0,9657000.0,10220000.0,
Accumulated Depreciation,-10520000.0,-10264000.0,-9986000.0,-9706000.0,
Gross PPE,19788000.0,19719000.0,19643000.0,19926000.0,
Other Properties,126000.0,95000.0,104000.0,215000.0,
Machinery Furniture Equipment,3244000.0,3224000.0,3209000.0,3212000.0,
Properties,16418000.0,16400000.0,16330000.0,16499000.0,
Current Assets,394495000.0,345405000.0,309454000.0,372336000.0,
Other Current Assets,612000.0,380000.0,451000.0,557000.0,
Current Deferred Assets,748000.0,194000.0,,,
Current Deferred Taxes Assets,748000.0,194000.0,,,
Restricted Cash,2191000.0,2100000.0,2045000.0,2043000.0,
Prepaid Assets,,,451000.0,557000.0,613000.0
Inventory,15000.0,72000.0,56000.0,43000.0,
Receivables,19252000.0,18687000.0,17950000.0,9524000.0,
Taxes Receivable,33000.0,0.0,1019000.0,0.0,
Accounts Receivable,19219000.0,18687000.0,16931000.0,9524000.0,
Allowance For Doubtful Accounts Receivable,-250000.0,-250000.0,-250000.0,-250000.0,
Gross Accounts Receivable,19469000.0,18937000.0,17181000.0,9774000.0,
Cash Cash Equivalents And Short Term Investments,371677000.0,323972000.0,288952000.0,360169000.0,
Other Short Term Investments,358691000.0,303128000.0,275529000.0,347573000.0,
Cash And Cash Equivalents,12986000.0,20844000.0,13423000.0,12596000.0,
