,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,124971000.0,45473000.0,251146000.0,179732000.0
Repayment Of Debt,-393426000.0,-1292667000.0,-831820000.0,-441400000.0
Issuance Of Debt,431800000.0,2050811000.0,741000000.0,599600000.0
Issuance Of Capital Stock,0.0,3096000.0,0.0,10000.0
Capital Expenditure,-100348000.0,-146695000.0,-24016000.0,-13284000.0
Interest Paid Supplemental Data,136420000.0,78148000.0,44633000.0,40582000.0
Income Tax Paid Supplemental Data,20000.0,43000.0,34000.0,98000.0
End Cash Position,3755000.0,7970000.0,4292000.0,4243000.0
Beginning Cash Position,7970000.0,4292000.0,4243000.0,5545000.0
Changes In Cash,-4215000.0,3678000.0,49000.0,-1302000.0
Financing Cash Flow,-139905000.0,581947000.0,-258753000.0,-71180000.0
Cash Flow From Continuing Financing Activities,-139905000.0,581947000.0,-258753000.0,-71180000.0
Net Other Financing Charges,1746000.0,-8206000.0,-6216000.0,-72635000.0
Interest Paid Cff,,,-6216000.0,0.0
Cash Dividends Paid,-180025000.0,-171087000.0,-161717000.0,-156755000.0
Common Stock Dividend Paid,-180025000.0,-171087000.0,-161717000.0,-156755000.0
Net Preferred Stock Issuance,,0.0,0.0,10000.0
Preferred Stock Issuance,,0.0,0.0,10000.0
Net Common Stock Issuance,0.0,3096000.0,0.0,0.0
Common Stock Issuance,0.0,3096000.0,0.0,0.0
Net Issuance Payments Of Debt,38374000.0,758144000.0,-90820000.0,158200000.0
Net Short Term Debt Issuance,,,-488601000.0,158200000.0
Short Term Debt Payments,,,-829601000.0,-441400000.0
Short Term Debt Issuance,,,341000000.0,599600000.0
Net Long Term Debt Issuance,38374000.0,758144000.0,-90820000.0,158200000.0
Long Term Debt Payments,-393426000.0,-1292667000.0,-831820000.0,-441400000.0
Long Term Debt Issuance,431800000.0,2050811000.0,741000000.0,599600000.0
Investing Cash Flow,-89629000.0,-770437000.0,-16360000.0,-123138000.0
Cash Flow From Continuing Investing Activities,-89629000.0,-770437000.0,-16360000.0,-123138000.0
Net Other Investing Changes,,,,-100527000.0
Dividends Received Cfi,9002000.0,1737000.0,8774000.0,2741000.0
Net Business Purchase And Sale,0.0,-625622000.0,-1393000.0,-12175000.0
Purchase Of Business,0.0,-625622000.0,-1393000.0,-12175000.0
Net Intangibles Purchase And Sale,-4247000.0,-5597000.0,-964000.0,-13000.0
Purchase Of Intangibles,-4247000.0,-5597000.0,-964000.0,-13000.0
Net PPE Purchase And Sale,-94384000.0,-140955000.0,-22777000.0,-13164000.0
Sale Of PPE,1717000.0,143000.0,275000.0,107000.0
Purchase Of PPE,-96101000.0,-141098000.0,-23052000.0,-13271000.0
Operating Cash Flow,225319000.0,192168000.0,275162000.0,193016000.0
Cash Flow From Continuing Operating Activities,225319000.0,192168000.0,275162000.0,193016000.0
Dividend Received Cfo,28729000.0,22954000.0,20831000.0,25436000.0
Change In Working Capital,-29474000.0,-49423000.0,51429000.0,-19777000.0
Change In Other Working Capital,-30184000.0,-61149000.0,52995000.0,-15189000.0
Change In Payables And Accrued Expense,-20729000.0,18564000.0,-1913000.0,-13479000.0
Change In Payable,-20729000.0,18564000.0,-1913000.0,-13479000.0
Change In Account Payable,-20729000.0,18564000.0,-1913000.0,-13479000.0
Change In Inventory,-131000.0,2233000.0,55000.0,11363000.0
Change In Receivables,21570000.0,-9071000.0,292000.0,-2472000.0
Changes In Account Receivables,21570000.0,-9071000.0,292000.0,-2472000.0
Other Non Cash Items,16818000.0,21069000.0,12674000.0,7852000.0
Asset Impairment Charge,14848000.0,0.0,0.0,
Deferred Tax,,,,401000.0
Deferred Income Tax,,,,401000.0
Depreciation Amortization Depletion,99595000.0,70199000.0,49981000.0,42942000.0
Depreciation And Amortization,99595000.0,70199000.0,49981000.0,42942000.0
Amortization Cash Flow,7211000.0,7211000.0,7211000.0,7211000.0
Amortization Of Intangibles,7211000.0,7211000.0,7211000.0,7211000.0
Depreciation,92384000.0,62988000.0,42770000.0,35731000.0
Operating Gains Losses,-31433000.0,-31683000.0,-24575000.0,-22693000.0
Earnings Losses From Equity Investments,-31433000.0,-31683000.0,-24575000.0,-22693000.0
Net Income From Continuing Operations,126236000.0,159052000.0,164822000.0,159256000.0
