,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-115136000.0,-729164000.0,-517784000.0,-240228000.0
Repurchase Of Capital Stock,-80049000.0,-25519000.0,-17830000.0,-288785000.0
Repayment Of Debt,,0.0,0.0,-44500000.0
Issuance Of Debt,0.0,0.0,1248025000.0,78827000.0
Issuance Of Capital Stock,,0.0,0.0,2349892000.0
Capital Expenditure,-113385000.0,-103645000.0,-98276000.0,-46071000.0
Interest Paid Supplemental Data,0.0,0.0,0.0,417000.0
Income Tax Paid Supplemental Data,8341000.0,10366000.0,5632000.0,1442000.0
End Cash Position,1623493000.0,1778825000.0,2629842000.0,2104976000.0
Beginning Cash Position,1778825000.0,2629842000.0,2104976000.0,220533000.0
Effect Of Exchange Rate Changes,0.0,0.0,583000.0,-358000.0
Changes In Cash,-155332000.0,-851017000.0,524283000.0,1884801000.0
Financing Cash Flow,-63221000.0,-16732000.0,1138813000.0,2306299000.0
Cash Flow From Continuing Financing Activities,-63221000.0,-16732000.0,1138813000.0,2306299000.0
Net Other Financing Charges,,,416000.0,-18756000.0
Proceeds From Stock Option Exercised,16828000.0,8787000.0,-91798000.0,229621000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Payments,,,0.0,0.0
Preferred Stock Issuance,,,0.0,0.0
Net Common Stock Issuance,-80049000.0,-25519000.0,-17830000.0,2061107000.0
Common Stock Payments,-80049000.0,-25519000.0,-17830000.0,-288785000.0
Common Stock Issuance,,0.0,0.0,2349892000.0
Net Issuance Payments Of Debt,0.0,0.0,1248025000.0,34327000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,37750000.0
Short Term Debt Payments,,0.0,0.0,
Short Term Debt Issuance,0.0,0.0,0.0,37750000.0
Net Long Term Debt Issuance,0.0,0.0,1248025000.0,-3423000.0
Long Term Debt Payments,,,0.0,-44500000.0
Long Term Debt Issuance,0.0,0.0,1248025000.0,41077000.0
Investing Cash Flow,-90360000.0,-208766000.0,-195022000.0,-227341000.0
Cash Flow From Continuing Investing Activities,-90360000.0,-208766000.0,-195022000.0,-227341000.0
Net Other Investing Changes,-1400000.0,-8614000.0,-6776000.0,-2625000.0
Net Investment Purchase And Sale,24425000.0,0.0,-25000000.0,0.0
Sale Of Investment,24425000.0,0.0,,
Purchase Of Investment,,0.0,-25000000.0,0.0
Net Business Purchase And Sale,0.0,-96507000.0,-64970000.0,-178645000.0
Purchase Of Business,0.0,-96507000.0,-64970000.0,-178645000.0
Net Intangibles Purchase And Sale,-92483000.0,-71243000.0,-82351000.0,-34319000.0
Purchase Of Intangibles,-92483000.0,-71243000.0,-82351000.0,-34319000.0
Net PPE Purchase And Sale,-20902000.0,-32402000.0,-15925000.0,-11752000.0
Purchase Of PPE,-20902000.0,-32402000.0,-15925000.0,-11752000.0
Operating Cash Flow,-1751000.0,-625519000.0,-419508000.0,-194157000.0
Cash Flow From Continuing Operating Activities,-1751000.0,-625519000.0,-419508000.0,-194157000.0
Change In Working Capital,134882000.0,121722000.0,356750000.0,246264000.0
Change In Other Working Capital,6558000.0,1304000.0,-1059000.0,2640000.0
Change In Other Current Liabilities,176812000.0,168368000.0,216678000.0,167262000.0
Change In Payables And Accrued Expense,106545000.0,86002000.0,181154000.0,103163000.0
Change In Payable,2952000.0,-9267000.0,13227000.0,-411000.0
Change In Account Payable,,95269000.0,167927000.0,
Change In Tax Payable,2952000.0,-9267000.0,13227000.0,-411000.0
Change In Income Tax Payable,2952000.0,-9267000.0,13227000.0,-411000.0
Change In Prepaid Assets,-16904000.0,-31138000.0,-16536000.0,-2578000.0
Change In Receivables,-138129000.0,-102814000.0,-23487000.0,-24223000.0
Changes In Account Receivables,3558000.0,2506000.0,-1787000.0,-13802000.0
Other Non Cash Items,940000.0,-6398000.0,2109000.0,3114000.0
Stock Based Compensation,398463000.0,578799000.0,683293000.0,325038000.0
Deferred Tax,5849000.0,-73407000.0,-15509000.0,-2279000.0
Deferred Income Tax,5849000.0,-73407000.0,-15509000.0,-2279000.0
Depreciation Amortization Depletion,201920000.0,169252000.0,121138000.0,77410000.0
Depreciation And Amortization,201920000.0,169252000.0,121138000.0,77410000.0
Amortization Cash Flow,180900000.0,,,
Amortization Of Intangibles,180900000.0,,,
Depreciation,20400000.0,,,
Operating Gains Losses,58337000.0,-37500000.0,-44094000.0,388131000.0
Earnings Losses From Equity Investments,719000.0,2895000.0,-2718000.0,566000.0
Gain Loss On Investment Securities,57618000.0,-40395000.0,-41376000.0,387565000.0
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,-802142000.0,-1377987000.0,-1523195000.0,-1231835000.0
