,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,21800000.0,6900000.0,3200000.0,3200000.0
Ordinary Shares Number,385400000.0,386300000.0,388000000.0,384400000.0
Share Issued,407200000.0,393200000.0,391200000.0,387600000.0
Net Debt,1867900000.0,1328000000.0,929200000.0,849600000.0
Total Debt,2594000000.0,2145000000.0,2157900000.0,1839500000.0
Tangible Book Value,1908900000.0,1932800000.0,1984100000.0,1785800000.0
Invested Capital,4502800000.0,4102100000.0,4023900000.0,3493700000.0
Working Capital,2869900000.0,1829500000.0,2963600000.0,2810700000.0
Net Tangible Assets,1908900000.0,1932800000.0,1984100000.0,1785800000.0
Capital Lease Obligations,159800000.0,174700000.0,176100000.0,172300000.0
Common Stock Equity,2068600000.0,2131800000.0,2042100000.0,1826500000.0
Total Capitalization,4502800000.0,3329500000.0,4023900000.0,3493700000.0
Total Equity Gross Minority Interest,2068600000.0,2131800000.0,2042100000.0,1826500000.0
Stockholders Equity,2068600000.0,2131800000.0,2042100000.0,1826500000.0
Gains Losses Not Affecting Retained Earnings,-16700000.0,-11600000.0,500000.0,3200000.0
Other Equity Adjustments,-16700000.0,-11600000.0,500000.0,3200000.0
Treasury Stock,2451100000.0,595000000.0,206200000.0,100000000.0
Retained Earnings,1021400000.0,479900000.0,138700000.0,-202100000.0
Additional Paid In Capital,3514600000.0,2258100000.0,2108700000.0,2125300000.0
Capital Stock,400000.0,400000.0,400000.0,100000.0
Common Stock,400000.0,400000.0,400000.0,100000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,4195900000.0,3259900000.0,2891200000.0,2464000000.0
Total Non Current Liabilities Net Minority Interest,2639900000.0,1420600000.0,2170400000.0,1849900000.0
Other Non Current Liabilities,5200000.0,5900000.0,8200000.0,26900000.0
Tradeand Other Payables Non Current,38700000.0,32700000.0,2800000.0,
Non Current Deferred Liabilities,7400000.0,19000000.0,22000000.0,0.0
Non Current Deferred Revenue,7400000.0,19000000.0,16100000.0,
Non Current Deferred Taxes Liabilities,,4900000.0,5900000.0,
Long Term Debt And Capital Lease Obligation,2572900000.0,1351900000.0,2137400000.0,1823000000.0
Long Term Capital Lease Obligation,138700000.0,154200000.0,155600000.0,155800000.0
Long Term Debt,2434200000.0,1197700000.0,1981800000.0,1667200000.0
Long Term Provisions,15700000.0,11100000.0,,
Current Liabilities,1556000000.0,1839300000.0,720800000.0,614100000.0
Other Current Liabilities,,,15000000.0,
