,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,93959000.0,978000.0,31090000.0,102978000.0
Repurchase Of Capital Stock,-56215000.0,-47872000.0,-33511000.0,0.0
Repayment Of Debt,-439725000.0,-830719000.0,-3300000.0,-244375000.0
Issuance Of Debt,557870000.0,932152000.0,0.0,330000000.0
Issuance Of Capital Stock,,0.0,0.0,1142000.0
Capital Expenditure,-12263000.0,-4916000.0,-5999000.0,-6672000.0
Interest Paid Supplemental Data,48954000.0,25321000.0,19531000.0,13321000.0
Income Tax Paid Supplemental Data,21839000.0,26179000.0,6120000.0,6277000.0
End Cash Position,173211000.0,46117000.0,49080000.0,119419000.0
Beginning Cash Position,46117000.0,49080000.0,119419000.0,54327000.0
Effect Of Exchange Rate Changes,-60000.0,253000.0,88000.0,-168000.0
Changes In Cash,127154000.0,-3216000.0,-70427000.0,65260000.0
Financing Cash Flow,43579000.0,44312000.0,-38493000.0,77406000.0
Cash Flow From Continuing Financing Activities,43579000.0,44312000.0,-38493000.0,77406000.0
Net Other Financing Charges,-18261000.0,-9159000.0,-1592000.0,-9271000.0
Proceeds From Stock Option Exercised,,,,1142000.0
Cash Dividends Paid,-90000.0,-90000.0,-90000.0,-90000.0
Preferred Stock Dividend Paid,-90000.0,-90000.0,-90000.0,-90000.0
Net Common Stock Issuance,-56215000.0,-47872000.0,-33511000.0,1142000.0
Common Stock Payments,-56215000.0,-47872000.0,-33511000.0,0.0
Common Stock Issuance,,0.0,0.0,1142000.0
Net Issuance Payments Of Debt,118145000.0,101433000.0,-3300000.0,85625000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0
Short Term Debt Payments,-7870000.0,-827152000.0,0.0,0.0
Short Term Debt Issuance,7870000.0,827152000.0,0.0,0.0
Net Long Term Debt Issuance,118145000.0,101433000.0,-3300000.0,85625000.0
Long Term Debt Payments,-431855000.0,-3567000.0,-3300000.0,-244375000.0
Long Term Debt Issuance,550000000.0,105000000.0,0.0,330000000.0
Investing Cash Flow,-22647000.0,-53422000.0,-69023000.0,-121796000.0
Cash Flow From Continuing Investing Activities,-22647000.0,-53422000.0,-69023000.0,-121796000.0
Net Business Purchase And Sale,-10384000.0,-48506000.0,-64693000.0,-115247000.0
Purchase Of Business,-10384000.0,-48506000.0,-64693000.0,-115247000.0
Net PPE Purchase And Sale,-12263000.0,-4916000.0,-4330000.0,-6549000.0
Sale Of PPE,0.0,0.0,1669000.0,123000.0
Purchase Of PPE,-12263000.0,-4916000.0,-5999000.0,-6672000.0
Operating Cash Flow,106222000.0,5894000.0,37089000.0,109650000.0
Cash Flow From Continuing Operating Activities,106222000.0,5894000.0,37089000.0,109650000.0
Change In Working Capital,8407000.0,-70241000.0,-15570000.0,63075000.0
Change In Other Working Capital,-916000.0,6858000.0,-772000.0,11122000.0
Change In Other Current Liabilities,-3494000.0,-2902000.0,2584000.0,-8870000.0
Change In Payables And Accrued Expense,10604000.0,35965000.0,27004000.0,-15345000.0
Change In Prepaid Assets,9666000.0,-11865000.0,649000.0,13053000.0
Change In Inventory,-2026000.0,2072000.0,-5290000.0,22414000.0
Change In Receivables,-5427000.0,-100369000.0,-39745000.0,44884000.0
Changes In Account Receivables,13293000.0,-93940000.0,-43736000.0,44884000.0
Other Non Cash Items,4569000.0,3372000.0,2017000.0,-531000.0
Stock Based Compensation,3072000.0,1850000.0,1823000.0,3532000.0
Provisionand Write Offof Assets,-885000.0,659000.0,67000.0,
Asset Impairment Charge,,659000.0,67000.0,61077000.0
Deferred Tax,-9059000.0,-7541000.0,6140000.0,-14732000.0
Deferred Income Tax,-9059000.0,-7541000.0,6140000.0,-14732000.0
Depreciation Amortization Depletion,30105000.0,28500000.0,27143000.0,24558000.0
Depreciation And Amortization,30105000.0,28500000.0,27143000.0,24558000.0
Amortization Cash Flow,21682000.0,18915000.0,17197000.0,14162000.0
Amortization Of Intangibles,21682000.0,18915000.0,17197000.0,14162000.0
Depreciation,8423000.0,9585000.0,9946000.0,10396000.0
Operating Gains Losses,1201000.0,1193000.0,-282000.0,2288000.0
Gain Loss On Sale Of PPE,0.0,0.0,-282000.0,0.0
Gain Loss On Sale Of Business,0.0,1193000.0,0.0,0.0
Net Income From Continuing Operations,68812000.0,48102000.0,15751000.0,-29617000.0
