,2023-10-31,2022-10-31,2021-10-31
Free Cash Flow,1222483.0,762751.0,647765.0
Repayment Of Debt,-1891360.0,-1639794.0,-1234301.0
Issuance Of Debt,0.0,1510204.0,2751422.0
Capital Expenditure,-153794.0,-262385.0,-3394.0
Interest Paid Supplemental Data,6017.0,86671.0,93215.0
Income Tax Paid Supplemental Data,0.0,0.0,0.0
End Cash Position,1325458.0,1965358.0,747860.0
Beginning Cash Position,1965358.0,747860.0,1376.0
Effect Of Exchange Rate Changes,20058.0,-228683.0,8860.0
Changes In Cash,-659958.0,1446181.0,737624.0
Financing Cash Flow,-1893200.0,-178569.0,958903.0
Cash Flow From Continuing Financing Activities,-1893200.0,-178569.0,958903.0
Net Other Financing Charges,-1840.0,-48979.0,-558218.0
Net Issuance Payments Of Debt,-1891360.0,-129590.0,1517121.0
Net Short Term Debt Issuance,-1867293.0,-127448.0,1517121.0
Short Term Debt Payments,-1867293.0,-1637652.0,-1234301.0
Short Term Debt Issuance,0.0,1510204.0,2751422.0
Net Long Term Debt Issuance,-24067.0,-2142.0,0.0
Long Term Debt Payments,-24067.0,-2142.0,0.0
Investing Cash Flow,-143035.0,599614.0,-872438.0
Cash Flow From Continuing Investing Activities,-143035.0,599614.0,-872438.0
Net Other Investing Changes,10759.0,840004.0,-869044.0
Net Intangibles Purchase And Sale,0.0,-7559.0,0.0
Purchase Of Intangibles,0.0,-7559.0,0.0
Net PPE Purchase And Sale,-153794.0,-232831.0,-3394.0
Sale Of PPE,0.0,21995.0,0.0
Purchase Of PPE,-153794.0,-254826.0,-3394.0
Operating Cash Flow,1376277.0,1025136.0,651159.0
Cash Flow From Continuing Operating Activities,1376276.0,1025136.0,651159.0
Change In Working Capital,-746738.0,257554.0,-205433.0
Change In Other Working Capital,-4815839.0,2031881.0,-1099397.0
Change In Other Current Liabilities,4232.0,-324380.0,-289107.0
Change In Payables And Accrued Expense,1446282.0,144522.0,836558.0
Change In Payable,1446282.0,144522.0,836558.0
Change In Account Payable,87085.0,-371389.0,372187.0
Change In Tax Payable,344918.0,112414.0,0.0
Change In Income Tax Payable,344918.0,112414.0,0.0
Change In Prepaid Assets,1626312.0,-2209532.0,659568.0
Change In Inventory,1775773.0,479331.0,-30259.0
Change In Receivables,-783498.0,135732.0,-282796.0
Changes In Account Receivables,-626233.0,130082.0,-609172.0
Other Non Cash Items,76909.0,45574.0,44549.0
Provisionand Write Offof Assets,159146.0,400411.0,211791.0
Deferred Tax,-27991.0,-53400.0,78612.0
Deferred Income Tax,-27991.0,-53400.0,78612.0
Depreciation Amortization Depletion,60552.0,20798.0,4746.0
Depreciation And Amortization,60552.0,20798.0,4746.0
Amortization Cash Flow,383.0,220.0,0.0
Amortization Of Intangibles,383.0,220.0,0.0
Depreciation,60169.0,20578.0,4746.0
Operating Gains Losses,-5214.0,-18236.0,
Gain Loss On Sale Of PPE,-5214.0,-18236.0,0.0
Net Income From Continuing Operations,1859613.0,372435.0,516894.0
