,2023-12-31,2022-12-31
Free Cash Flow,-11734290.0,-37248095.0
End Cash Position,0.0,12025800.0
Beginning Cash Position,12025800.0,46768865.0
Changes In Cash,-12025800.0,-34743065.0
Financing Cash Flow,-291510.0,2505030.0
Net Other Financing Charges,-216510.0,2505030.0
Cash Dividends Paid,-75000.0,
Common Stock Dividend Paid,-75000.0,
Operating Cash Flow,-11734290.0,-37248095.0
Change In Working Capital,-490600.0,-7840148.0
Change In Other Current Liabilities,0.0,0.0
Change In Payable,-420527.0,-7655898.0
Change In Prepaid Assets,-61941.0,
Change In Receivables,-8132.0,-184250.0
Other Non Cash Items,72170.0,-25375657.0
Gain Loss On Investment Securities,-7175353.0,-104337.0
Net Income From Continuing Operations,-4140507.0,-3927953.0
