,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,62200000.0,126352000.0,146970000.0,173952000.0
Repurchase Of Capital Stock,0.0,0.0,-69708000.0,-100372000.0
Repayment Of Debt,0.0,0.0,-118000.0,-2646000.0
Issuance Of Capital Stock,42626000.0,246882000.0,237130000.0,117734000.0
Interest Paid Supplemental Data,178705000.0,28527000.0,5709000.0,46054000.0
End Cash Position,237864000.0,449877000.0,421307000.0,309735000.0
Beginning Cash Position,449877000.0,421307000.0,309735000.0,136230000.0
Changes In Cash,-212013000.0,28570000.0,111572000.0,173505000.0
Financing Cash Flow,2685839000.0,-32342000.0,519980000.0,-2353151000.0
Cash Flow From Continuing Financing Activities,2685839000.0,-32342000.0,519980000.0,-2353151000.0
Net Other Financing Charges,-445000.0,-1347000.0,-1182000.0,-245000.0
Cash Dividends Paid,-93041000.0,-72366000.0,-58895000.0,-52437000.0
Net Preferred Stock Issuance,0.0,0.0,-69708000.0,7843000.0
Preferred Stock Payments,0.0,0.0,-69708000.0,-100000000.0
Preferred Stock Issuance,,0.0,0.0,107843000.0
Net Common Stock Issuance,42626000.0,246882000.0,237130000.0,9519000.0
Common Stock Payments,,0.0,0.0,-372000.0
Common Stock Issuance,42626000.0,246882000.0,237130000.0,9891000.0
Net Issuance Payments Of Debt,0.0,0.0,-118000.0,-2646000.0
Net Long Term Debt Issuance,0.0,0.0,-118000.0,-2646000.0
Long Term Debt Payments,0.0,0.0,-118000.0,-2646000.0
Investing Cash Flow,-2960052000.0,-65440000.0,-555378000.0,2352704000.0
Cash Flow From Continuing Investing Activities,-2960052000.0,-65440000.0,-555378000.0,2352704000.0
Net Other Investing Changes,45566000.0,-1399000.0,-5847000.0,5681000.0
Net Investment Purchase And Sale,-3006507000.0,-65687000.0,-551632000.0,2344169000.0
Sale Of Investment,667750000.0,1487530000.0,990046000.0,4966604000.0
Purchase Of Investment,-3674257000.0,-1553217000.0,-1541678000.0,-2622435000.0
Operating Cash Flow,62200000.0,126352000.0,146970000.0,173952000.0
Cash Flow From Continuing Operating Activities,62200000.0,126352000.0,146970000.0,173952000.0
Change In Working Capital,21166000.0,12265000.0,-4978000.0,2029000.0
Change In Other Working Capital,-2111000.0,-1744000.0,-5137000.0,4383000.0
Change In Payables And Accrued Expense,36744000.0,15085000.0,-45000.0,-14175000.0
Change In Payable,36744000.0,15085000.0,-45000.0,-14175000.0
Change In Account Payable,36744000.0,15085000.0,-45000.0,-14175000.0
Change In Receivables,-13467000.0,-1076000.0,204000.0,11821000.0
Changes In Account Receivables,-13467000.0,-1076000.0,204000.0,11821000.0
Stock Based Compensation,4833000.0,4419000.0,2516000.0,1823000.0
Unrealized Gain Loss On Investment Securities,-142501000.0,213022000.0,14814000.0,-20000.0
Depreciation Amortization Depletion,2315000.0,2354000.0,2308000.0,1989000.0
Depreciation And Amortization,2315000.0,2354000.0,2308000.0,1989000.0
Operating Gains Losses,107821000.0,-346940000.0,-88122000.0,-135794000.0
Gain Loss On Investment Securities,74916000.0,89067000.0,-6705000.0,-308084000.0
Net Income From Continuing Operations,-6130000.0,143161000.0,102261000.0,177530000.0
