,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,,38141.0,370329.0
Ordinary Shares Number,61468743.0,55636505.0,51569381.0,45076574.0
Share Issued,61468743.0,55636505.0,51607522.0,45446903.0
Total Debt,27415000.0,30483000.0,32636000.0,0.0
Tangible Book Value,91292000.0,252364000.0,368197000.0,342367000.0
Invested Capital,91292000.0,252364000.0,368197000.0,342367000.0
Working Capital,78280000.0,237506000.0,353669000.0,338120000.0
Net Tangible Assets,91292000.0,252364000.0,368197000.0,342367000.0
Capital Lease Obligations,27415000.0,30483000.0,32636000.0,0.0
Common Stock Equity,91292000.0,252364000.0,368197000.0,342367000.0
Total Capitalization,91292000.0,252364000.0,368197000.0,342367000.0
Total Equity Gross Minority Interest,91292000.0,252364000.0,368197000.0,342367000.0
Stockholders Equity,91292000.0,252364000.0,368197000.0,342367000.0
Gains Losses Not Affecting Retained Earnings,0.0,-571000.0,-269000.0,-27000.0
Other Equity Adjustments,,-571000.0,-269000.0,-27000.0
Retained Earnings,-632510000.0,-396573000.0,-228474000.0,-79183000.0
Additional Paid In Capital,723796000.0,649502000.0,596934000.0,421572000.0
Capital Stock,6000.0,6000.0,6000.0,5000.0
Common Stock,6000.0,6000.0,6000.0,5000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,73790000.0,53961000.0,57466000.0,10967000.0
Total Non Current Liabilities Net Minority Interest,22695000.0,25873000.0,28743000.0,0.0
Non Current Deferred Liabilities,,,,0.0
Long Term Debt And Capital Lease Obligation,22695000.0,25873000.0,28743000.0,0.0
Long Term Capital Lease Obligation,22695000.0,25873000.0,28743000.0,0.0
Current Liabilities,51095000.0,28088000.0,28723000.0,10967000.0
Current Debt And Capital Lease Obligation,4720000.0,4610000.0,3893000.0,
Current Capital Lease Obligation,4720000.0,4610000.0,3893000.0,0.0
Payables And Accrued Expenses,46375000.0,23478000.0,24830000.0,10967000.0
Current Accrued Expenses,23439000.0,18219000.0,20799000.0,7527000.0
Payables,22936000.0,5259000.0,4031000.0,3440000.0
Accounts Payable,22936000.0,5259000.0,4031000.0,3440000.0
Total Assets,165082000.0,306325000.0,425663000.0,353334000.0
Total Non Current Assets,35707000.0,40731000.0,43271000.0,4247000.0
Other Non Current Assets,2315000.0,2319000.0,2311000.0,2301000.0
Net PPE,33392000.0,38412000.0,40960000.0,1946000.0
Accumulated Depreciation,-5288000.0,-3629000.0,-1983000.0,-995000.0
Gross PPE,38680000.0,42041000.0,42943000.0,2941000.0
Leases,,,0.0,14000.0
Construction In Progress,431000.0,906000.0,1460000.0,105000.0
Other Properties,36158000.0,39237000.0,40212000.0,2744000.0
Machinery Furniture Equipment,2091000.0,1898000.0,1271000.0,78000.0
Properties,,,0.0,0.0
Current Assets,129375000.0,265594000.0,382392000.0,349087000.0
Other Current Assets,6275000.0,9582000.0,5821000.0,3773000.0
Prepaid Assets,,,5821000.0,3773000.0
Cash Cash Equivalents And Short Term Investments,123100000.0,256012000.0,376571000.0,345314000.0
Other Short Term Investments,1474000.0,83865000.0,175746000.0,44462000.0
Cash And Cash Equivalents,121626000.0,172147000.0,200825000.0,300852000.0
Cash Equivalents,84868000.0,14044000.0,,163325000.0
Cash Financial,36758000.0,158103000.0,,137527000.0
