,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Free Cash Flow,38807436.0,49143644.0,43913262.0,12867396.0,
Repurchase Of Capital Stock,,-3838602.0,-2622416.0,-270774.0,-20323430.0
Repayment Of Debt,,-5000000.0,,,-1026800.0
Issuance Of Debt,,,,30600000.0,-66600000.0
End Cash Position,5279.0,1688.0,0.0,1742006.0,
Beginning Cash Position,1688.0,0.0,1742006.0,0.0,
Changes In Cash,3591.0,1688.0,-1742006.0,1742006.0,
Financing Cash Flow,-38803845.0,-49141956.0,-45655268.0,-11125390.0,
Net Other Financing Charges,-3645041.0,0.0,0.0,0.0,
Cash Dividends Paid,-35158804.0,-40303354.0,-43032852.0,-41454616.0,
Common Stock Dividend Paid,-35158804.0,-40303354.0,-43032852.0,-41454616.0,
Net Common Stock Issuance,,-3838602.0,-2622416.0,-270774.0,-20323430.0
Common Stock Payments,,-3838602.0,-2622416.0,-270774.0,-20323430.0
Net Issuance Payments Of Debt,,-5000000.0,,30600000.0,-67626800.0
Net Long Term Debt Issuance,,-5000000.0,,30600000.0,-67626800.0
Long Term Debt Payments,,-5000000.0,,,-1026800.0
Long Term Debt Issuance,,,,30600000.0,-66600000.0
Operating Cash Flow,38807436.0,49143644.0,43913262.0,12867396.0,
Change In Working Capital,10611539.0,-8367736.0,-18345915.0,21593796.0,
Change In Other Current Liabilities,0.0,0.0,0.0,0.0,
Change In Accrued Expense,834867.0,32836.0,-202270.0,-549370.0,
Change In Payable,4251965.0,-6235611.0,-14624663.0,20118041.0,
Change In Prepaid Assets,8688.0,-228.0,81618.0,-84846.0,
Change In Receivables,5516019.0,-2164733.0,-3600600.0,2109971.0,
Depreciation And Amortization,-2523579.0,-474810.0,1218795.0,-1355809.0,
Amortization Cash Flow,-2523579.0,-474810.0,1218795.0,-1355809.0,
Depreciation,0.0,0.0,0.0,0.0,
Gain Loss On Investment Securities,-7618203.0,68121504.0,90571372.0,-145216718.0,
Net Income From Continuing Operations,38337679.0,-10135314.0,-29530990.0,137846127.0,
