,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-11276440.0,1792548.0,0.0,0.0
Tax Rate For Calcs,0.068,0.153,0.149157,0.148
Normalized EBITDA,7698000.0,540907000.0,582240000.0,661903000.0
Total Unusual Items,,11716000.0,,21090000.0
Total Unusual Items Excluding Goodwill,,11716000.0,,21090000.0
Net Income From Continuing Operation Net Minority Interest,,382962000.0,388330000.0,434374000.0
Reconciled Depreciation,56889000.0,55496000.0,65716000.0,62963000.0
Reconciled Cost Of Revenue,,726373000.0,701335000.0,563864000.0
EBITDA,-158132000.0,552623000.0,582240000.0,661903000.0
EBIT,,497127000.0,516524000.0,598940000.0
Net Interest Income,,-44742000.0,-68986000.0,-96324000.0
Interest Expense,,44809000.0,60118000.0,88895000.0
Interest Income,,4480000.0,872000.0,1750000.0
Normalized Income,-100696440.0,373038548.0,388330000.0,434374000.0
Net Income From Continuing And Discontinued Operation,,382962000.0,388330000.0,434374000.0
Total Expenses,,806991000.0,837714000.0,635752000.0
Total Operating Income As Reported,,474259000.0,508074000.0,588609000.0
Diluted Average Shares,257042843.0,258791228.0,266317194.0,267930644.0
Basic Average Shares,257042843.0,258781843.0,266251097.0,267916483.0
Diluted EPS,-0.99,1.48,1.46,1.62
Basic EPS,-0.99,1.48,1.46,1.62
Diluted NI Availto Com Stockholders,,382962000.0,388330000.0,434374000.0
Net Income Common Stockholders,,382962000.0,388330000.0,434374000.0
Net Income,,382962000.0,388330000.0,434374000.0
Net Income Including Noncontrolling Interests,,382962000.0,388330000.0,434374000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,,382962000.0,388330000.0,434374000.0
Tax Provision,,69356000.0,68076000.0,75671000.0
Pretax Income,,452318000.0,456406000.0,510045000.0
Other Income Expense,,22801000.0,17318000.0,17760000.0
Other Non Operating Income Expenses,,11085000.0,17318000.0,17760000.0
Special Income Charges,,,,21090000.0
Other Special Charges,,,,-21090000.0
Gain On Sale Of Security,,11716000.0,,
Net Non Operating Interest Income Expense,,-44742000.0,-68986000.0,-96324000.0
Total Other Finance Cost,,4413000.0,9740000.0,9179000.0
Interest Expense Non Operating,,44809000.0,60118000.0,88895000.0
Interest Income Non Operating,,4480000.0,872000.0,1750000.0
Operating Income,,474259000.0,508074000.0,588609000.0
Operating Expense,,80618000.0,136379000.0,71888000.0
Other Taxes,,,,-21090000.0
Research And Development,,3641000.0,3771000.0,3975000.0
Selling General And Administration,,76977000.0,132608000.0,67913000.0
Gross Profit,,554877000.0,644453000.0,660497000.0
Cost Of Revenue,,726373000.0,701335000.0,563864000.0
Total Revenue,,1281250000.0,1345788000.0,1224361000.0
Operating Revenue,,1281250000.0,1345788000.0,1224361000.0
