,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-21801797.0,-9767943.0,-24369094.0,-38300224.0
Repayment Of Debt,0.0,0.0,-771629.0,-4871795.0
Issuance Of Debt,,0.0,0.0,10396981.0
Issuance Of Capital Stock,0.0,0.0,254727705.0,114191595.0
Capital Expenditure,-10148680.0,-14064728.0,-8519254.0,-22761282.0
Interest Paid Supplemental Data,0.0,0.0,4382.0,1493469.0
Income Tax Paid Supplemental Data,0.0,7666.0,928.0,293028.0
End Cash Position,242920162.0,252227116.0,240926602.0,14123751.0
Beginning Cash Position,252227116.0,240926602.0,14123751.0,5778167.0
Effect Of Exchange Rate Changes,-407061.0,394336.0,879537.0,-4993911.0
Changes In Cash,-8899893.0,10906178.0,225923314.0,13339495.0
Financing Cash Flow,0.0,0.0,248284174.0,92058970.0
Cash Flow From Continuing Financing Activities,0.0,0.0,248284174.0,92058970.0
Net Other Financing Charges,,,-5671902.0,-27657811.0
Cash Dividends Paid,,,,0.0
Net Common Stock Issuance,0.0,0.0,254727705.0,114191595.0
Common Stock Issuance,0.0,0.0,254727705.0,114191595.0
Net Issuance Payments Of Debt,0.0,0.0,-771629.0,5525186.0
Net Short Term Debt Issuance,0.0,0.0,-771629.0,-4105828.0
Short Term Debt Payments,0.0,0.0,-771629.0,-4871795.0
Short Term Debt Issuance,,0.0,0.0,765967.0
Net Long Term Debt Issuance,,0.0,0.0,9631014.0
Long Term Debt Payments,,,0.0,0.0
Long Term Debt Issuance,,0.0,0.0,9631014.0
Investing Cash Flow,2753224.0,6609393.0,-6511020.0,-63180533.0
Cash Flow From Continuing Investing Activities,2753224.0,6609393.0,-6511020.0,-63180533.0
Net Investment Purchase And Sale,5694982.0,26549112.0,2008234.0,-40835000.0
Sale Of Investment,5694982.0,55101678.0,474365880.0,39080000.0
Purchase Of Investment,0.0,-28552566.0,-472357646.0,-79915000.0
Net Business Purchase And Sale,7524.0,-5874991.0,0.0,53435.0
Sale Of Business,7524.0,,0.0,53435.0
Purchase Of Business,0.0,-5874991.0,0.0,0.0
Net Intangibles Purchase And Sale,-1963488.0,-10260785.0,-2365495.0,-11927846.0
Sale Of Intangibles,7199398.0,0.0,0.0,
Purchase Of Intangibles,-9162886.0,-10260785.0,-2365495.0,-11927846.0
Net PPE Purchase And Sale,-985794.0,-3803943.0,-6153759.0,-10471122.0
Sale Of PPE,,0.0,0.0,362314.0
Purchase Of PPE,-985794.0,-3803943.0,-6153759.0,-10833436.0
Operating Cash Flow,-11653117.0,4296785.0,-15849840.0,-15538942.0
Cash Flow From Continuing Operating Activities,-11653117.0,4296785.0,-15849840.0,-15538942.0
Change In Working Capital,-3223804.0,-4903362.0,-30723004.0,-6640160.0
Change In Other Working Capital,-916451.0,163883.0,51792.0,-204926.0
Change In Other Current Liabilities,,0.0,-1100792.0,1028971.0
Change In Other Current Assets,-323279.0,-850791.0,-51928.0,0.0
Change In Payables And Accrued Expense,-5403683.0,-15897076.0,-18869396.0,-16228492.0
Change In Accrued Expense,-4272841.0,-14109951.0,-18329126.0,-6993438.0
Change In Payable,-1130842.0,-1787125.0,-540270.0,-9235054.0
Change In Account Payable,-1130842.0,-1787125.0,559817.0,-9234394.0
Change In Tax Payable,0.0,0.0,705.0,-660.0
Change In Income Tax Payable,0.0,0.0,705.0,-660.0
Change In Prepaid Assets,1063216.0,10231528.0,-3770330.0,-313932.0
Change In Inventory,-122326.0,-185504.0,-5392810.0,9725152.0
Change In Receivables,2478719.0,1634598.0,-2690332.0,-646933.0
Changes In Account Receivables,2612509.0,2882106.0,333888.0,-1351955.0
Other Non Cash Items,4087093.0,1711943.0,1066838.0,666180.0
Stock Based Compensation,-153034.0,3903970.0,707000.0,0.0
Provisionand Write Offof Assets,975114.0,3803437.0,-310012.0,2740639.0
Asset Impairment Charge,23093825.0,31694933.0,5343374.0,3644243.0
Deferred Tax,-1031461.0,-80599.0,-2845588.0,8627604.0
Deferred Income Tax,-1031461.0,-80599.0,-2845588.0,8627604.0
Depreciation Amortization Depletion,3519859.0,10711543.0,6258055.0,7152958.0
Depreciation And Amortization,3519859.0,10711543.0,6258055.0,7152958.0
Amortization Cash Flow,481728.0,8888601.0,3399649.0,
Amortization Of Intangibles,481728.0,8888601.0,3399649.0,
Depreciation,3038131.0,1822942.0,2858406.0,
Operating Gains Losses,-887121.0,3212157.0,1885676.0,380518.0
Gain Loss On Investment Securities,-356996.0,509496.0,3656520.0,
Net Foreign Currency Exchange Gain Loss,-456647.0,2161264.0,-1780087.0,288346.0
Gain Loss On Sale Of PPE,-65954.0,547338.0,9243.0,92172.0
Gain Loss On Sale Of Business,-7524.0,-5941.0,0.0,0.0
Net Income From Continuing Operations,-38033588.0,-45757237.0,2767821.0,-32110924.0
