,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-115489.53,0.0,-469108.25,-72086.5
Tax Rate For Calcs,0.026,0.0,0.25,0.25
Normalized EBITDA,-31103285.0,-11715678.0,10527849.0,-14689732.0
Total Unusual Items,-4441905.0,-23402949.0,-1876433.0,-288346.0
Total Unusual Items Excluding Goodwill,-4441905.0,-23402949.0,-1876433.0,-288346.0
Net Income From Continuing Operation Net Minority Interest,-36772143.0,-43888242.0,4430941.0,-30675420.0
Reconciled Depreciation,3519859.0,10711543.0,6258055.0,7152958.0
Reconciled Cost Of Revenue,21558986.0,16915795.0,22227055.0,21903644.0
EBITDA,-35545190.0,-35118627.0,8651416.0,-14978078.0
EBIT,-39065049.0,-45830170.0,2393361.0,-22131036.0
Net Interest Income,11941453.0,4362832.0,1775289.0,96089.0
Interest Expense,0.0,0.0,4383.0,728346.0
Interest Income,11941453.0,4362832.0,1779672.0,824435.0
Normalized Income,-32445727.53,-20485293.0,5838265.75,-30459160.5
Net Income From Continuing And Discontinued Operation,-36772143.0,-43888242.0,4430941.0,-30675420.0
Total Expenses,52431425.0,59502318.0,48985274.0,41644535.0
Total Operating Income As Reported,-53639195.0,-47988299.0,2030369.0,-26646801.0
Diluted Average Shares,6275118.0,6247333.0,5928858.0,4064708.0
Basic Average Shares,6275118.0,6247333.0,5923845.0,4064708.0
Diluted EPS,-5.86,-7.03,0.75,-7.55
Basic EPS,-5.86,-7.03,0.75,-7.55
Diluted NI Availto Com Stockholders,-36772143.0,-43888242.0,4430941.0,-30675420.0
Net Income Common Stockholders,-36772143.0,-43888242.0,4430941.0,-30675420.0
Net Income,-36772143.0,-43888242.0,4430941.0,-30675420.0
Minority Interests,1261445.0,1868995.0,1663120.0,1435504.0
Net Income Including Noncontrolling Interests,-38033588.0,-45757237.0,2767821.0,-32110924.0
Net Income Continuous Operations,-38033588.0,-45757237.0,2767821.0,-32110924.0
Tax Provision,-1031461.0,-72933.0,-378843.0,9251542.0
Pretax Income,-39065049.0,-45830170.0,2388978.0,-22859382.0
Other Income Expense,-3430258.0,-23018803.0,-1851284.0,-315237.0
Other Non Operating Income Expenses,1011647.0,384146.0,25149.0,-26891.0
Special Income Charges,-5255548.0,-20732189.0,0.0,0.0
Gain On Sale Of Ppe,744803.0,0.0,0.0,
Gain On Sale Of Business,7524.0,5941.0,0.0,0.0
Impairment Of Capital Assets,6007875.0,20738130.0,0.0,
Gain On Sale Of Security,813643.0,-2670760.0,-1876433.0,-288346.0
Net Non Operating Interest Income Expense,11941453.0,4362832.0,1775289.0,96089.0
Interest Expense Non Operating,0.0,0.0,4383.0,728346.0
Interest Income Non Operating,11941453.0,4362832.0,1779672.0,824435.0
Operating Income,-47576244.0,-27174199.0,2464973.0,-22640234.0
Operating Expense,30872439.0,42586523.0,26758219.0,19740891.0
Other Operating Expenses,-62600.0,-81911.0,-434604.0,-4006567.0
Other Taxes,,,0.0,0.0
Selling General And Administration,30935039.0,42668434.0,27192823.0,23747458.0
Selling And Marketing Expense,1893607.0,1956120.0,1418586.0,925373.0
General And Administrative Expense,29041432.0,40712314.0,25774237.0,22822085.0
Other Gand A,29041432.0,40712314.0,25774237.0,22822085.0
Gross Profit,-16703805.0,15412324.0,29223192.0,-2899343.0
Cost Of Revenue,21558986.0,16915795.0,22227055.0,21903644.0
Total Revenue,4855181.0,32328119.0,51450247.0,19004301.0
Operating Revenue,4855181.0,32328119.0,51450247.0,19004301.0
