,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,5600000.0,5600000.0,3800000.0,1200000.0
Ordinary Shares Number,52200000.0,50100000.0,51300000.0,53100000.0
Share Issued,57800000.0,55700000.0,55100000.0,54300000.0
Net Debt,748500000.0,763200000.0,264900000.0,253500000.0
Total Debt,860200000.0,1405800000.0,841000000.0,874800000.0
Tangible Book Value,82700000.0,440700000.0,782000000.0,517200000.0
Invested Capital,1509500000.0,2793500000.0,2452500000.0,2321800000.0
Working Capital,28200000.0,-18500000.0,895900000.0,811400000.0
Net Tangible Assets,82700000.0,440700000.0,782000000.0,517200000.0
Common Stock Equity,649300000.0,1387700000.0,1611500000.0,1447000000.0
Total Capitalization,1095800000.0,1836200000.0,2420900000.0,2288000000.0
Total Equity Gross Minority Interest,649300000.0,1387700000.0,1611500000.0,1447000000.0
Stockholders Equity,649300000.0,1387700000.0,1611500000.0,1447000000.0
Gains Losses Not Affecting Retained Earnings,-5700000.0,3100000.0,-16100000.0,-25300000.0
Other Equity Adjustments,-5700000.0,3100000.0,-16100000.0,-25300000.0
Treasury Stock,227700000.0,227700000.0,152200000.0,39600000.0
Retained Earnings,-21800000.0,738700000.0,950300000.0,726900000.0
Additional Paid In Capital,904400000.0,873500000.0,829400000.0,784900000.0
Capital Stock,100000.0,100000.0,100000.0,100000.0
Common Stock,100000.0,100000.0,100000.0,100000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1173900000.0,1778600000.0,1346200000.0,1436200000.0
Total Non Current Liabilities Net Minority Interest,522600000.0,549700000.0,972200000.0,1051700000.0
Other Non Current Liabilities,28900000.0,41500000.0,69500000.0,102000000.0
Non Current Deferred Liabilities,47200000.0,59700000.0,93300000.0,108700000.0
Non Current Deferred Revenue,,,4700000.0,55500000.0
Non Current Deferred Taxes Liabilities,47200000.0,59700000.0,93300000.0,53200000.0
Long Term Debt And Capital Lease Obligation,446500000.0,448500000.0,809400000.0,841000000.0
Long Term Debt,446500000.0,448500000.0,809400000.0,841000000.0
Current Liabilities,651300000.0,1228900000.0,374000000.0,384500000.0
Other Current Liabilities,32700000.0,45900000.0,73100000.0,83100000.0
Current Debt And Capital Lease Obligation,413700000.0,957300000.0,31600000.0,33800000.0
Current Debt,413700000.0,957300000.0,31600000.0,33800000.0
Pensionand Other Post Retirement Benefit Plans Current,74100000.0,87300000.0,88700000.0,84600000.0
Payables And Accrued Expenses,130800000.0,138400000.0,180600000.0,183000000.0
Current Accrued Expenses,18600000.0,34900000.0,51700000.0,46900000.0
Payables,112200000.0,103500000.0,128900000.0,136100000.0
Accounts Payable,112200000.0,103500000.0,128900000.0,136100000.0
Total Assets,1823200000.0,3166300000.0,2957700000.0,2883200000.0
Total Non Current Assets,1143700000.0,1955900000.0,1687800000.0,1687300000.0
Other Non Current Assets,194300000.0,191300000.0,58200000.0,113400000.0
Goodwill And Other Intangible Assets,566600000.0,947000000.0,829500000.0,929800000.0
Other Intangible Assets,566600000.0,728800000.0,604600000.0,663100000.0
Goodwill,0.0,218200000.0,224900000.0,266700000.0
Net PPE,382800000.0,817600000.0,800100000.0,644100000.0
Accumulated Depreciation,-411400000.0,-383800000.0,-319100000.0,-259100000.0
Gross PPE,794200000.0,1201400000.0,1119200000.0,903200000.0
Construction In Progress,36700000.0,185500000.0,223200000.0,183400000.0
Machinery Furniture Equipment,497600000.0,633100000.0,574200000.0,420800000.0
Buildings And Improvements,229900000.0,327900000.0,269700000.0,246300000.0
Land And Improvements,30000000.0,54900000.0,52100000.0,52700000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,679500000.0,1210400000.0,1269900000.0,1195900000.0
Other Current Assets,47900000.0,57900000.0,70200000.0,
Restricted Cash,,0.0,200000.0,200000.0
Prepaid Assets,,,70300000.0,36500000.0
Inventory,328900000.0,350700000.0,344500000.0,307000000.0
Finished Goods,86900000.0,92200000.0,35900000.0,43900000.0
Work In Process,113300000.0,116200000.0,95800000.0,102500000.0
Raw Materials,128700000.0,142300000.0,212800000.0,160600000.0
Receivables,191000000.0,159200000.0,278900000.0,230900000.0
Receivables Adjustments Allowances,-2200000.0,-700000.0,-3200000.0,
Other Receivables,51400000.0,57200000.0,51600000.0,58200000.0
Accounts Receivable,141800000.0,102700000.0,230500000.0,172700000.0
Allowance For Doubtful Accounts Receivable,,-700000.0,-3200000.0,
Gross Accounts Receivable,141800000.0,102700000.0,230500000.0,172700000.0
Cash Cash Equivalents And Short Term Investments,111700000.0,642600000.0,576100000.0,621300000.0
Cash And Cash Equivalents,111700000.0,642600000.0,576100000.0,621300000.0
