,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-81570027.0,-74974805.0,-114708335.0,1221222.0
Repurchase Of Capital Stock,,-26959550.0,-26959575.0,-22725000.0
Repayment Of Debt,,-61310975.0,,-3744720.0
Issuance Of Debt,,93250000.0,44850000.0,
Issuance Of Capital Stock,219453031.0,216325556.0,145387467.0,37302355.0
End Cash Position,46445467.0,56833244.0,13916601.0,4760926.0
Other Cash Adjustment Outside Changein Cash,,,,22718.0
Beginning Cash Position,56833244.0,13916601.0,4760926.0,32869026.0
Effect Of Exchange Rate Changes,-150283.0,16799.0,-72620.0,111574.0
Changes In Cash,-10237494.0,42899844.0,9228295.0,-28242392.0
Financing Cash Flow,71332533.0,117874649.0,123936630.0,-29463614.0
Net Other Financing Charges,0.0,0.0,0.0,0.0
Cash Dividends Paid,-148120498.0,-103430382.0,-39214604.0,-40283104.0
Common Stock Dividend Paid,-148120498.0,-103430382.0,-39214604.0,-40283104.0
Net Preferred Stock Issuance,1293252.0,-16522750.0,49435459.0,-21980725.0
Preferred Stock Payments,,-26959550.0,-26959575.0,-22725000.0
Preferred Stock Issuance,1293252.0,10436800.0,76395034.0,744275.0
Net Common Stock Issuance,218159779.0,205888756.0,68992433.0,36558080.0
Common Stock Issuance,218159779.0,205888756.0,68992433.0,36558080.0
Net Issuance Payments Of Debt,,31939025.0,44850000.0,-3744720.0
Net Long Term Debt Issuance,,31939025.0,44850000.0,-3744720.0
Long Term Debt Payments,,-61310975.0,,-3744720.0
Long Term Debt Issuance,,93250000.0,44850000.0,
Operating Cash Flow,-81570027.0,-74974805.0,-114708335.0,1221222.0
Change In Working Capital,-519645.0,-9832583.0,-1975919.0,-3091932.0
Change In Other Current Liabilities,0.0,0.0,0.0,0.0
Change In Payable,-125353.0,2567712.0,3831528.0,1333107.0
Change In Prepaid Assets,-405643.0,101101.0,88525.0,-1114.0
Change In Receivables,11351.0,-12501396.0,-5895972.0,-4423925.0
Other Non Cash Items,-545723.0,1336160.0,984575.0,-835737.0
Gain Loss On Investment Securities,-197393044.0,37157351.0,-245423253.0,-55737335.0
Net Income From Continuing Operations,116888385.0,-103635733.0,131706262.0,60886226.0
