,2023-12-31,2022-12-31
Ordinary Shares Number,51000000.0,51000000.0
Share Issued,51000000.0,51000000.0
Net Debt,166964000.0,249004000.0
Total Debt,222178000.0,305223000.0
Tangible Book Value,303622000.0,234921000.0
Invested Capital,617381000.0,633363000.0
Working Capital,313880000.0,314430000.0
Net Tangible Assets,303622000.0,234921000.0
Capital Lease Obligations,53647000.0,54107000.0
Common Stock Equity,448850000.0,382247000.0
Total Capitalization,617381000.0,606363000.0
Total Equity Gross Minority Interest,448850000.0,382247000.0
Stockholders Equity,448850000.0,382247000.0
Gains Losses Not Affecting Retained Earnings,0.0,-35000.0
Other Equity Adjustments,,-35000.0
Retained Earnings,312665000.0,245954000.0
Additional Paid In Capital,136184000.0,136327000.0
Capital Stock,1000.0,1000.0
Common Stock,1000.0,1000.0
Total Liabilities Net Minority Interest,661732000.0,753339000.0
Total Non Current Liabilities Net Minority Interest,209549000.0,279638000.0
Other Non Current Liabilities,1979000.0,11733000.0
Non Current Deferred Liabilities,6535000.0,9640000.0
Non Current Deferred Taxes Liabilities,6535000.0,9640000.0
Long Term Debt And Capital Lease Obligation,201035000.0,258265000.0
Long Term Capital Lease Obligation,32504000.0,34149000.0
Long Term Debt,168531000.0,224116000.0
Current Liabilities,452183000.0,473701000.0
Current Deferred Liabilities,198231000.0,166189000.0
Current Deferred Revenue,198231000.0,166189000.0
Current Debt And Capital Lease Obligation,21143000.0,46958000.0
Current Capital Lease Obligation,21143000.0,19958000.0
Current Debt,,27000000.0
Other Current Borrowings,,27000000.0
Pensionand Other Post Retirement Benefit Plans Current,44721000.0,43899000.0
Payables And Accrued Expenses,188088000.0,216655000.0
Current Accrued Expenses,48343000.0,50801000.0
Payables,139745000.0,165854000.0
Dueto Related Parties Current,14615000.0,13193000.0
Total Tax Payable,8557000.0,13778000.0
Accounts Payable,116573000.0,138883000.0
Total Assets,1110582000.0,1135586000.0
Total Non Current Assets,344519000.0,347455000.0
Other Non Current Assets,272000.0,11160000.0
Duefrom Related Parties Non Current,0.0,2804000.0
Non Current Accounts Receivable,21355000.0,22315000.0
Investments And Advances,8413000.0,3406000.0
Goodwill And Other Intangible Assets,145228000.0,147326000.0
Other Intangible Assets,2004000.0,4102000.0
Goodwill,143224000.0,143224000.0
Net PPE,169251000.0,163248000.0
Accumulated Depreciation,-143831000.0,-135038000.0
Gross PPE,313082000.0,298286000.0
Other Properties,59951000.0,59817000.0
Machinery Furniture Equipment,191802000.0,179459000.0
Buildings And Improvements,52667000.0,50776000.0
Land And Improvements,8662000.0,8234000.0
Properties,0.0,0.0
Current Assets,766063000.0,788131000.0
Other Current Assets,17651000.0,13261000.0
Inventory,42709000.0,36844000.0
Receivables,704136000.0,735914000.0
Receivables Adjustments Allowances,-7967000.0,-2161000.0
Other Receivables,163783000.0,158833000.0
Duefrom Related Parties Current,11507000.0,5760000.0
Accounts Receivable,536813000.0,573482000.0
Cash Cash Equivalents And Short Term Investments,1567000.0,2112000.0
Cash And Cash Equivalents,1567000.0,2112000.0
