,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.272486,0.255453,0.246105
Normalized EBITDA,207507000.0,187492000.0,167761000.0
Net Income From Continuing Operation Net Minority Interest,118783000.0,124781000.0,109402000.0
Reconciled Depreciation,23148000.0,21469000.0,20270000.0
Reconciled Cost Of Revenue,2532123000.0,2423204000.0,1803699000.0
EBITDA,207507000.0,187492000.0,167761000.0
EBIT,184359000.0,166023000.0,147491000.0
Net Interest Income,-27885000.0,-6354000.0,-3540000.0
Interest Expense,27885000.0,6354000.0,3540000.0
Normalized Income,118783000.0,124781000.0,109402000.0
Net Income From Continuing And Discontinued Operation,118783000.0,124781000.0,109402000.0
Total Expenses,2674213000.0,2534606000.0,1905883000.0
Total Operating Income As Reported,180177000.0,164644000.0,145754000.0
Diluted Average Shares,50972059.0,50972000.0,50972000.0
Basic Average Shares,50972059.0,50972000.0,50972000.0
Diluted EPS,2.33,2.44803,2.146316
Basic EPS,2.33,2.44803,2.146316
Diluted NI Availto Com Stockholders,118783000.0,124781000.0,109402000.0
Net Income Common Stockholders,118783000.0,124781000.0,109402000.0
Net Income,118783000.0,124781000.0,109402000.0
Net Income Including Noncontrolling Interests,118783000.0,124781000.0,109402000.0
Net Income Continuous Operations,118783000.0,124781000.0,109402000.0
Earnings From Equity Interest Net Of Tax,4946000.0,5900000.0,878000.0
Tax Provision,42637000.0,40788000.0,35427000.0
Pretax Income,156474000.0,159669000.0,143951000.0
Other Income Expense,4182000.0,1379000.0,1737000.0
Other Non Operating Income Expenses,4182000.0,1379000.0,1737000.0
Net Non Operating Interest Income Expense,-27885000.0,-6354000.0,-3540000.0
Interest Expense Non Operating,27885000.0,6354000.0,3540000.0
Operating Income,180177000.0,164644000.0,145754000.0
Operating Expense,142090000.0,111402000.0,102184000.0
Selling General And Administration,142090000.0,111402000.0,102184000.0
Gross Profit,322267000.0,276046000.0,247938000.0
Cost Of Revenue,2532123000.0,2423204000.0,1803699000.0
Total Revenue,2854390000.0,2699250000.0,2051637000.0
Operating Revenue,2869444000.0,2715233000.0,2068099000.0
