,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-8558000.0,-4139000.0
Total Unusual Items,-826000.0,42000.0
Total Unusual Items Excluding Goodwill,-826000.0,42000.0
Net Income From Continuing Operation Net Minority Interest,-12453000.0,-5538000.0
Reconciled Depreciation,1036000.0,824000.0
Reconciled Cost Of Revenue,11188000.0,9859000.0
EBITDA,-9384000.0,-4097000.0
EBIT,-10420000.0,-4921000.0
Net Interest Income,-2033000.0,-617000.0
Interest Expense,2033000.0,617000.0
Normalized Income,-11627000.0,-5580000.0
Net Income From Continuing And Discontinued Operation,-12453000.0,-5538000.0
Total Expenses,20556000.0,15470000.0
Total Operating Income As Reported,-9004000.0,-4963000.0
Diluted Average Shares,258359.0,281819.0
Basic Average Shares,258359.0,281819.0
Diluted EPS,-973.600201,-393.044713
Basic EPS,-973.600201,-393.044713
Diluted NI Availto Com Stockholders,-12453000.0,-5538000.0
Net Income Common Stockholders,-12453000.0,-5538000.0
Net Income,-12453000.0,-5538000.0
Net Income Including Noncontrolling Interests,-12453000.0,-5538000.0
Net Income Continuous Operations,-12453000.0,-5538000.0
Pretax Income,-12453000.0,-5538000.0
Other Income Expense,-1416000.0,42000.0
Other Non Operating Income Expenses,-590000.0,
Special Income Charges,-826000.0,42000.0
Gain On Sale Of Ppe,,0.0
Other Special Charges,826000.0,-42000.0
Net Non Operating Interest Income Expense,-2033000.0,-617000.0
Interest Expense Non Operating,2033000.0,617000.0
Operating Income,-9004000.0,-4963000.0
Operating Expense,9368000.0,5611000.0
Selling General And Administration,9368000.0,5611000.0
Gross Profit,364000.0,648000.0
Cost Of Revenue,11188000.0,9859000.0
Total Revenue,11552000.0,10507000.0
Operating Revenue,11552000.0,10507000.0
