,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-20600800.0,86100.0,1857014.0,-36041490.0
Tax Rate For Calcs,0.275,0.21,0.053,0.27
Normalized EBITDA,1580433000.0,445385000.0,99499000.0,372239000.0
Total Unusual Items,-74912000.0,410000.0,35038000.0,-133487000.0
Total Unusual Items Excluding Goodwill,-74912000.0,410000.0,35038000.0,-133487000.0
Net Income From Continuing Operation Net Minority Interest,356516000.0,129133000.0,-328311000.0,-654934000.0
Reconciled Depreciation,361511000.0,266775000.0,282883000.0,310883000.0
Reconciled Cost Of Revenue,2441619000.0,2065777000.0,2597178000.0,1745275000.0
EBITDA,1505521000.0,445795000.0,134537000.0,238752000.0
EBIT,1144010000.0,179020000.0,-148346000.0,-72131000.0
Net Interest Income,-345683000.0,-282255000.0,-268677000.0,-284586000.0
Interest Expense,345683000.0,282255000.0,268677000.0,284586000.0
Normalized Income,410827200.0,128809100.0,-361491986.0,-557488490.0
Net Income From Continuing And Discontinued Operation,356516000.0,129133000.0,-328311000.0,-654934000.0
Total Expenses,5565688000.0,4691514000.0,5163619000.0,3498474000.0
Total Operating Income As Reported,319557000.0,577033000.0,-22240000.0,-153218000.0
Diluted Average Shares,464862899.0,287707832.0,262119930.0,253750271.0
Basic Average Shares,298915993.0,281369848.0,262119930.0,253750271.0
Diluted EPS,1.14,0.45,-1.14,0.0
Basic EPS,1.19,0.48,-1.14,0.0
Diluted NI Availto Com Stockholders,356516000.0,129133000.0,-296625000.0,0.0
Net Income Common Stockholders,356516000.0,129133000.0,-296625000.0,0.0
Otherunder Preferred Stock Dividend,0.0,0.0,-31686000.0,-654934000.0
Net Income,356516000.0,129133000.0,-328311000.0,-654934000.0
Minority Interests,-200953000.0,-192531000.0,139168000.0,-29616000.0
Net Income Including Noncontrolling Interests,557469000.0,321664000.0,-467479000.0,-625318000.0
Net Income Discontinuous Operations,,,0.0,0.0
Net Income Continuous Operations,557469000.0,321664000.0,-467479000.0,-625318000.0
Earnings From Equity Interest Net Of Tax,-21018000.0,-223604000.0,-72733000.0,-260094000.0
Tax Provision,219840000.0,-648503000.0,-22277000.0,8507000.0
Pretax Income,798327000.0,-103235000.0,-417023000.0,-356717000.0
Other Income Expense,749541000.0,-397603000.0,-62440000.0,-52400000.0
Other Non Operating Income Expenses,824453000.0,-398013000.0,-97478000.0,81087000.0
Special Income Charges,-74912000.0,410000.0,35038000.0,-133487000.0
Other Special Charges,,-1099000.0,-39562000.0,-86990000.0
Write Off,74912000.0,689000.0,4524000.0,220477000.0
Impairment Of Capital Assets,74912000.0,689000.0,4524000.0,220477000.0
Net Non Operating Interest Income Expense,-345683000.0,-282255000.0,-268677000.0,-284586000.0
Interest Expense Non Operating,345683000.0,282255000.0,268677000.0,284586000.0
Operating Income,394469000.0,576623000.0,-85906000.0,-19731000.0
Operating Expense,3124069000.0,2625737000.0,2566441000.0,1753199000.0
Other Operating Expenses,,,,-86990000.0
Depreciation Amortization Depletion Income Statement,361511000.0,266775000.0,282883000.0,310883000.0
Depreciation And Amortization In Income Statement,361511000.0,266775000.0,282883000.0,310883000.0
Selling General And Administration,2762558000.0,2358962000.0,2283558000.0,1442316000.0
Gross Profit,3518538000.0,3202360000.0,2480535000.0,1733468000.0
Cost Of Revenue,2441619000.0,2065777000.0,2597178000.0,1745275000.0
Total Revenue,5960157000.0,5268137000.0,5077713000.0,3478743000.0
Operating Revenue,5960157000.0,5268137000.0,5077713000.0,3478743000.0
