,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Ordinary Shares Number,3247389.0,3075473.0,2380287.0,1899343.0,
Share Issued,3247389.0,3075473.0,2380287.0,1899343.0,
Total Debt,19867.0,94487.0,18975.0,99320.0,
Tangible Book Value,-97693.0,4868780.0,7110097.0,10675927.0,
Invested Capital,1981155.0,7048800.0,9391289.0,13058291.0,
Working Capital,-157205.0,4614988.0,6951136.0,10632081.0,
Net Tangible Assets,-97693.0,4868780.0,7110097.0,10675927.0,
Capital Lease Obligations,19867.0,94487.0,18975.0,99320.0,
Common Stock Equity,1981155.0,7048800.0,9391289.0,13058291.0,
Total Capitalization,1981155.0,7048800.0,9391289.0,13058291.0,
Total Equity Gross Minority Interest,1981155.0,7048800.0,9391289.0,13058291.0,
Stockholders Equity,1981155.0,7048800.0,9391289.0,13058291.0,
Other Equity Interest,,,-213602.0,-205262.0,-287204.0
Gains Losses Not Affecting Retained Earnings,-242613.0,-214648.0,-213602.0,-205262.0,
Other Equity Adjustments,-242613.0,-214648.0,-213602.0,-205262.0,
Retained Earnings,-58589013.0,-52418968.0,-44044553.0,-26495629.0,
Additional Paid In Capital,13576757.0,13039265.0,11176345.0,4871461.0,
Capital Stock,47236024.0,46643151.0,42473099.0,34887721.0,
Common Stock,47236024.0,46643151.0,42473099.0,34887721.0,
Total Liabilities Net Minority Interest,1832827.0,1841637.0,2184439.0,1526364.0,
Total Non Current Liabilities Net Minority Interest,0.0,19773.0,43662.0,67714.0,
Preferred Securities Outside Stock Equity,,,,0.0,2476955.0
Tradeand Other Payables Non Current,,0.0,43662.0,47202.0,29928.0
Long Term Debt And Capital Lease Obligation,0.0,19773.0,0.0,20512.0,
Long Term Capital Lease Obligation,0.0,19773.0,0.0,20512.0,
Current Liabilities,1832827.0,1821864.0,2140777.0,1458650.0,
Current Debt And Capital Lease Obligation,19867.0,74714.0,18975.0,78808.0,
Current Capital Lease Obligation,19867.0,74714.0,18975.0,78808.0,
Payables And Accrued Expenses,1812960.0,1747150.0,2121802.0,1379842.0,
Total Assets,3813982.0,8890437.0,11575728.0,14584655.0,
Total Non Current Assets,2138360.0,2453585.0,2483815.0,2493924.0,
Non Current Prepaid Assets,41151.0,173490.0,171464.0,0.0,
Goodwill And Other Intangible Assets,2078848.0,2180020.0,2281192.0,2382364.0,
Other Intangible Assets,2078848.0,2180020.0,2281192.0,2382364.0,
Net PPE,18361.0,100075.0,31159.0,111560.0,
Accumulated Depreciation,-52548.0,-43846.0,-39518.0,-33853.0,
Gross PPE,70909.0,143921.0,70677.0,145413.0,
Other Properties,18361.0,91373.0,18465.0,96571.0,
Machinery Furniture Equipment,52548.0,52548.0,52212.0,48842.0,
Buildings And Improvements,,,18465.0,96571.0,
Properties,,,0.0,0.0,
Current Assets,1675622.0,6436852.0,9091913.0,12090731.0,
Other Current Assets,367394.0,448912.0,745543.0,948645.0,
Prepaid Assets,,,745543.0,948645.0,802877.0
Receivables,270908.0,626543.0,1255451.0,3302827.0,
Accounts Receivable,270908.0,626543.0,1255451.0,3302827.0,
Cash Cash Equivalents And Short Term Investments,1037320.0,5361397.0,7090919.0,7839259.0,
Cash And Cash Equivalents,1037320.0,5361397.0,7090919.0,7839259.0,
