,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,33753963.0,23210700.0,23210700.0,23210700.0
Ordinary Shares Number,345415772.0,354962058.0,353983712.0,342297534.0
Share Issued,379169735.0,378172758.0,377194412.0,365508234.0
Net Debt,23276000000.0,22554000000.0,23540000000.0,22947000000.0
Total Debt,25010000000.0,24415000000.0,25362000000.0,25079000000.0
Tangible Book Value,20750000000.0,20279000000.0,18305000000.0,16941000000.0
Invested Capital,45623000000.0,44523000000.0,44569000000.0,43066000000.0
Working Capital,75000000.0,1636000000.0,124000000.0,-2053000000.0
Net Tangible Assets,20750000000.0,20279000000.0,18305000000.0,16941000000.0
Capital Lease Obligations,545000000.0,579000000.0,830000000.0,860000000.0
Common Stock Equity,21158000000.0,20687000000.0,20037000000.0,18847000000.0
Total Capitalization,43085000000.0,40834000000.0,42641000000.0,39229000000.0
Total Equity Gross Minority Interest,21158000000.0,20889000000.0,20336000000.0,19065000000.0
Minority Interest,0.0,202000000.0,299000000.0,218000000.0
Stockholders Equity,21158000000.0,20687000000.0,20037000000.0,18847000000.0
Other Equity Interest,-122000000.0,-122000000.0,-122000000.0,-112000000.0
Gains Losses Not Affecting Retained Earnings,22000000.0,22000000.0,5000000.0,-25000000.0
Other Equity Adjustments,22000000.0,22000000.0,5000000.0,-25000000.0
Treasury Stock,2017000000.0,1038000000.0,1038000000.0,1038000000.0
Retained Earnings,13377000000.0,11985000000.0,11445000000.0,11178000000.0
Additional Paid In Capital,9861000000.0,9803000000.0,9710000000.0,8808000000.0
Capital Stock,37000000.0,37000000.0,37000000.0,36000000.0
Common Stock,37000000.0,37000000.0,37000000.0,36000000.0
Total Liabilities Net Minority Interest,45173000000.0,48176000000.0,42780000000.0,43830000000.0
Total Non Current Liabilities Net Minority Interest,38711000000.0,36840000000.0,37353000000.0,36476000000.0
Other Non Current Liabilities,,,,4513000000.0
Derivative Product Liabilities,121000000.0,13000000.0,84000000.0,240000000.0
Employee Benefits,592000000.0,577000000.0,737000000.0,2257000000.0
Non Current Pension And Other Postretirement Benefit Plans,592000000.0,577000000.0,737000000.0,2257000000.0
Non Current Deferred Liabilities,8486000000.0,7922000000.0,7130000000.0,6709000000.0
Non Current Deferred Taxes Liabilities,8069000000.0,7641000000.0,6873000000.0,6475000000.0
Long Term Debt And Capital Lease Obligation,22356000000.0,20623000000.0,23321000000.0,21146000000.0
Long Term Capital Lease Obligation,429000000.0,476000000.0,717000000.0,764000000.0
Long Term Debt,21927000000.0,20147000000.0,22604000000.0,20382000000.0
Long Term Provisions,1828000000.0,1678000000.0,1700000000.0,1611000000.0
Current Liabilities,6462000000.0,11336000000.0,5427000000.0,7354000000.0
Other Current Liabilities,1269000000.0,4860000000.0,1221000000.0,1228000000.0
Current Deferred Liabilities,396000000.0,358000000.0,300000000.0,311000000.0
Current Deferred Revenue,396000000.0,358000000.0,300000000.0,311000000.0
Current Debt And Capital Lease Obligation,2654000000.0,3792000000.0,2041000000.0,3933000000.0
Current Capital Lease Obligation,116000000.0,103000000.0,113000000.0,96000000.0
Current Debt,2538000000.0,3689000000.0,1928000000.0,3837000000.0
Other Current Borrowings,250000000.0,649000000.0,440000000.0,1967000000.0
Line Of Credit,0.0,400000000.0,0.0,165000000.0
Current Notes Payable,2288000000.0,2640000000.0,1488000000.0,1705000000.0
Payables And Accrued Expenses,2143000000.0,2326000000.0,1865000000.0,1882000000.0
Current Accrued Expenses,295000000.0,269000000.0,264000000.0,257000000.0
Interest Payable,170000000.0,153000000.0,151000000.0,149000000.0
Payables,1848000000.0,2057000000.0,1601000000.0,1625000000.0
Total Tax Payable,73000000.0,102000000.0,104000000.0,150000000.0
Accounts Payable,1775000000.0,1955000000.0,1497000000.0,1475000000.0
Total Assets,66331000000.0,69065000000.0,63116000000.0,62895000000.0
Total Non Current Assets,59794000000.0,56093000000.0,57565000000.0,57594000000.0
Other Non Current Assets,316000000.0,182000000.0,205000000.0,
Defined Pension Benefit,3275000000.0,3269000000.0,1654000000.0,0.0
Non Current Deferred Assets,,,282000000.0,285000000.0
Financial Assets,48000000.0,85000000.0,77000000.0,
Investments And Advances,999000000.0,841000000.0,853000000.0,1816000000.0
Goodwill And Other Intangible Assets,408000000.0,408000000.0,1732000000.0,1906000000.0
