,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,152480000.0,9360000.0,-54815618.221258,-13790000.0
Tax Rate For Calcs,0.16,0.24,0.137383,0.07
Normalized EBITDA,5104000000.0,5066000000.0,4733000000.0,4370000000.0
Total Unusual Items,953000000.0,39000000.0,-399000000.0,-197000000.0
Total Unusual Items Excluding Goodwill,953000000.0,39000000.0,-399000000.0,-197000000.0
Net Income From Continuing Operation Net Minority Interest,2519000000.0,1660000000.0,1346000000.0,1101000000.0
Reconciled Depreciation,2031000000.0,2056000000.0,2032000000.0,1920000000.0
Reconciled Cost Of Revenue,7258000000.0,7985000000.0,6008000000.0,5097000000.0
EBITDA,6057000000.0,5105000000.0,4334000000.0,4173000000.0
EBIT,4026000000.0,3049000000.0,2302000000.0,2253000000.0
Net Interest Income,-1023000000.0,-852000000.0,-905000000.0,-1019000000.0
Interest Expense,1023000000.0,951000000.0,919000000.0,1019000000.0
Interest Income,,99000000.0,14000000.0,
Normalized Income,1718480000.0,1630360000.0,1690184381.778742,1284210000.0
Net Income From Continuing And Discontinued Operation,2519000000.0,1660000000.0,1346000000.0,1101000000.0
Total Expenses,12332000000.0,13046000000.0,10850000000.0,9592000000.0
Total Operating Income As Reported,3196000000.0,2624000000.0,2826000000.0,2654000000.0
Diluted Average Shares,349300000.0,355800000.0,349400000.0,335700000.0
Basic Average Shares,347700000.0,354500000.0,348400000.0,334800000.0
Diluted EPS,7.21,4.66,3.85,3.28
Basic EPS,7.25,4.68,3.86,3.29
Diluted NI Availto Com Stockholders,2519000000.0,1660000000.0,1346000000.0,1101000000.0
Net Income Common Stockholders,2519000000.0,1660000000.0,1346000000.0,1101000000.0
Net Income,2519000000.0,1660000000.0,1346000000.0,1101000000.0
Minority Interests,3000000.0,60000000.0,153000000.0,-43000000.0
Net Income Including Noncontrolling Interests,2516000000.0,1600000000.0,1193000000.0,1144000000.0
Net Income Continuous Operations,2516000000.0,1600000000.0,1193000000.0,1144000000.0
Tax Provision,487000000.0,498000000.0,190000000.0,90000000.0
Pretax Income,3003000000.0,2098000000.0,1383000000.0,1234000000.0
Other Income Expense,1695000000.0,326000000.0,-538000000.0,-401000000.0
Other Non Operating Income Expenses,742000000.0,287000000.0,-139000000.0,-204000000.0
Special Income Charges,891000000.0,19000000.0,21000000.0,17000000.0
Gain On Sale Of Business,865000000.0,0.0,0.0,
Other Special Charges,-26000000.0,-19000000.0,-21000000.0,-17000000.0
Restructuring And Mergern Acquisition,,,,0.0
Gain On Sale Of Security,62000000.0,20000000.0,-420000000.0,-214000000.0
Net Non Operating Interest Income Expense,-1023000000.0,-852000000.0,-905000000.0,-1019000000.0
Interest Expense Non Operating,1023000000.0,951000000.0,919000000.0,1019000000.0
Interest Income Non Operating,,99000000.0,14000000.0,
Operating Income,2331000000.0,2624000000.0,2826000000.0,2654000000.0
Operating Expense,5074000000.0,5061000000.0,4842000000.0,4495000000.0
Other Taxes,3043000000.0,3005000000.0,2810000000.0,2575000000.0
Depreciation Amortization Depletion Income Statement,2031000000.0,2056000000.0,2032000000.0,1920000000.0
Depreciation And Amortization In Income Statement,2031000000.0,2056000000.0,2032000000.0,1920000000.0
Gross Profit,7405000000.0,7685000000.0,7668000000.0,7149000000.0
Cost Of Revenue,7258000000.0,7985000000.0,6008000000.0,5097000000.0
Total Revenue,14663000000.0,15670000000.0,13676000000.0,12246000000.0
Operating Revenue,14663000000.0,15670000000.0,13676000000.0,12246000000.0
