,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27,0.27
Net Income From Continuing Operation Net Minority Interest,11867528.0,-15555095.0,8832355.0,10660755.0
Net Interest Income,,41.0,265.0,
Interest Income,,41.0,265.0,
Normalized Income,11867528.0,-15555095.0,8832355.0,10660755.0
Net Income From Continuing And Discontinued Operation,11867528.0,-15555095.0,8832355.0,10660755.0
Diluted Average Shares,,6944239.0,7009806.0,7203213.0
Basic Average Shares,,6944239.0,7009806.0,7203213.0
Diluted EPS,,-2.24,1.26,1.48
Basic EPS,,-2.24,1.26,1.48
Diluted NI Availto Com Stockholders,11867528.0,-15555095.0,8832355.0,10660755.0
Net Income Common Stockholders,11867528.0,-15555095.0,8832355.0,10660755.0
Net Income,11867528.0,-15555095.0,8832355.0,10660755.0
Net Income Including Noncontrolling Interests,11867528.0,-15555095.0,8832355.0,10660755.0
Net Income Continuous Operations,11867528.0,-15555095.0,8832355.0,10660755.0
Pretax Income,11867528.0,-15555095.0,8832355.0,10660755.0
Gain On Sale Of Security,-2162461.0,-1440922.0,15564201.0,-2231635.0
Operating Expense,543691.0,536090.0,565836.0,495567.0
Other Operating Expenses,-67285.0,-65760.0,13196.0,17366.0
Selling General And Administration,610976.0,601850.0,565836.0,495567.0
General And Administrative Expense,610976.0,601850.0,565836.0,495567.0
Total Revenue,12411219.0,-15019005.0,9398191.0,11156322.0
Operating Revenue,12411219.0,-15019005.0,9398191.0,11156322.0
